,EP,BP,SP,MOM_12_1,REV_1M,ROE_TTM,GPM_change,VOL_20D,IVOL,TURN_1M,AMIHUD
2015-07,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
2015-08,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
2015-09,0.6981278230322986,0.009314440928854242,0.03496134523808927,0.0,-0.09871716884628559,0.029257580889059526,0.0,-0.1082431670214496,0.004308178754790849,-0.006041760325589924,0.011028534963582432
2015-10,0.04827488890052846,0.1529295502351258,0.03659394909344111,0.0,-0.3934908959216991,0.01589710906062992,0.0,-0.011845762486315787,-0.05200265886597018,0.0224953405273919,0.2664698449088977
2015-11,0.09163455163517835,0.062863067521568,-0.10790919086167543,0.0,-0.06884533967799401,0.08121165901495912,0.0,0.030034769167186393,-0.0636431542216987,0.15844625318714695,0.3354120147125931
2015-12,0.07641234597703608,0.012440789741445647,-0.052419441341793514,0.0,-0.12928091051746463,0.03908875811328163,0.0,0.008091101815483451,-0.11631736751224657,0.158781714735159,0.40716757024608957
2016-01,0.15482148465226747,-0.03985674976967487,-0.0054139119045638565,0.0,-0.13654653571172967,0.1408328745722916,0.0,-0.04664317845572411,-0.15290520577550912,0.09468759963357672,0.22829245952466262
2016-02,0.16815218790254052,-0.0877033217570877,0.005352668689909935,0.0,-0.054898089853471804,0.14983910126670225,0.0,-0.1107080208480555,-0.13254234235354562,0.05867805815590926,0.23212620917277751
2016-03,0.08492950841002019,-0.04583000373417416,-0.06707995272755761,0.0,-0.15895272550912337,0.07695272863034766,0.0,-0.0063317346310575815,-0.173824416094922,0.09018799537752038,0.29591093488527714
2016-04,0.08769599434086237,-0.07426672686476753,-0.062498723463419906,0.0,-0.16707664819970888,0.08740030074385872,0.0,-0.012450023343165398,-0.1437318953440195,0.11016635727389364,0.2547133304263041
2016-05,0.06941365142532946,-0.1135806790504006,-0.08352479680689823,0.0,-0.14281498304260365,0.10875146410718628,0.0,-0.010778347152595619,-0.13988112328983207,0.10261940125066822,0.22863555387448598
2016-06,0.08908838081840637,-0.13527930057806542,-0.10102654969916072,0.0,-0.12015257942264679,0.12817651919431017,0.0,0.009902425872634013,-0.11553647133700311,0.09922341429778198,0.20161435877999148
2016-07,0.12566884213889787,-0.0788434559997461,-0.058635445491483806,0.0,-0.17194022946898999,0.14239876567460452,0.0,-0.04031298844540229,-0.12068840652905068,0.08268984658221269,0.17882201966961195
2016-08,0.08153418677776704,-0.08451583892024307,-0.09362733877711944,-0.16585178748454651,-0.14779909751701562,0.08229011136373528,0.0,-0.013304625004171842,-0.05133157558852283,0.10082313924345601,0.17892229932342238
2016-09,0.03992173535322045,-0.0361179935313298,-0.04219973073079617,-0.09547960054535928,-0.0832576745280494,0.03646450083975987,-0.44638823657831167,-0.011585361265632374,-0.07747924275296666,0.033795956278243264,0.09730996759633126
2016-10,0.10281319779757438,-0.07028629269714921,-0.054662450665867245,-0.06447820890216902,-0.14316485805500798,0.0764989478180533,0.09521503676058486,-0.06368769739688922,-0.13454324415289134,0.047396551574122835,0.14725351417969068
2016-11,0.08134647850092515,0.016664989168218108,0.01993568955890411,-0.17251739503201657,-0.22668737041037892,0.031416471955471495,-0.002181909947701702,-0.11715095575434899,-0.17098667381424199,-0.07035621941142339,0.09075584644636957
2016-12,0.09146334632382,0.03717648358860251,0.002479385616383428,-0.11355880765046102,-0.2129468916814619,0.021867599517408395,-0.06803977165353911,-0.11603746842229139,-0.13159752985804193,-0.11615409480013991,0.08867862088785042
2017-01,0.06980708336684163,0.09732958093169654,0.015566505901954866,-0.045961524426998315,-0.24065615742716542,-0.04199976054730579,-0.05455001076562314,-0.1365855933094569,-0.11530943117744384,-0.11164480261162717,0.07058954953388624
2017-02,0.04595869598790267,0.07930454861591994,-0.007364251481678275,-0.03012707205953927,-0.3575620960998232,-0.056758371821558205,-0.05307307772340803,-0.06668456897719646,-0.14813060984117957,-0.042406046364077604,0.11263066102771671
2017-03,0.1544563576749898,0.05374407078763792,0.02754559294772038,0.0068782590965997216,-0.269926740838721,0.02191512825121539,-0.020862939085591503,-0.1828857484822688,-0.15072006897138537,-0.08452923242181462,0.026535861442055296
2017-04,0.1455673973024708,0.10383322783710087,0.05123787325731056,-0.001997115464113135,-0.08293519881173327,0.008301697849296553,-0.05756476048347169,-0.1859164885655791,-0.13351584781052517,-0.20491528617417343,-0.024215106444225372
2017-05,0.11475558291378794,0.09184507567327055,0.1041900433764008,0.04947486220654875,-0.03685037122840379,0.0398803496329164,-0.017999323023291703,-0.1979331651157652,-0.02638356254543219,-0.2447093638197361,-0.07597830046444656
2017-06,0.07317395399079968,0.06758327608887572,0.17388145453793244,0.07916312404468558,-0.0357576799864178,0.017490284281714945,0.017066824361587733,-0.1873336132654492,-0.06820531716642783,-0.18328778589100592,-0.09705668638510304
2017-07,-0.007859796986753237,0.03151817269138779,0.10922704355458313,0.17471718603807876,0.018267841591485718,-0.01278108775353094,0.04090972875930371,-0.22049583986589433,-0.07464504726335407,-0.24314005388351886,-0.0664382016121095
2017-08,-0.03284748924153006,0.0008405987099187016,0.15694159804525318,0.13354162344285558,0.012566655468338232,0.028869880411578255,0.039663827450713444,-0.16797286007722895,-0.06573738268514243,-0.28732015303810765,-0.07369793142933342
2017-09,-0.07791775016658538,-0.024713488102293266,0.08962299177594812,0.09588133699978969,0.04177787684317187,0.05225395384613554,0.05579057359359838,-0.13671266503854113,-0.060027610488158606,-0.2690078140562978,-0.09629393908948018
