,Ann_Return,Ann_Vol,Sharpe,Max_Drawdown,Monthly_WinRate,Months,Avg_Turnover,Benchmark_Ann_Return,Excess_Ann_Return,Tracking_Error,Info_Ratio
equal,0.15972517608185877,0.2265224257228408,0.7051186017109357,-0.305084371297506,0.592,125.0,0.45760000000000023,0.018716159782012465,0.14018342409292406,0.11296991960946778,1.240891598201824
ic,0.1722257997462151,0.22282379540630715,0.7729237329979533,-0.2717359122284896,0.624,125.0,0.3840000000000002,0.018716159782012465,0.1510957566943092,0.11837539875958318,1.2764118075004762
icir,0.17099237517489607,0.21874089748355016,0.781711957581024,-0.2639275454243688,0.6,125.0,0.39248000000000016,0.018716159782012465,0.1493638704221012,0.11380598794038,1.3124429841103709
