,EP,BP,SP,MOM_12_1,REV_1M,ROE_TTM,GPM_change,VOL_20D,IVOL,TURN_1M,AMIHUD
2015-07,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
2015-08,0.1150138081132304,0.15012263526200773,0.15063916158040894,0.0,-0.024550005653017005,-0.0022741505962943923,0.0,-0.24095172958999053,-0.15983159625985613,-0.08718539954006709,-0.06943151340512792
2015-09,0.19792417135089374,0.05817284989639643,0.1329407530168257,0.0,-0.05827955101985005,0.10953401668290824,0.0,-0.31001613072700757,0.043685208181879036,-0.023889886513001175,0.0655574326112381
2015-10,0.06306549741498466,0.13516543919676058,0.03812645556915188,0.0,-0.2442267323460453,0.015325772591949657,0.0,-0.028325838501313698,-0.08263784458318474,0.01367430533417776,0.37945211446243177
2015-11,0.08371728387319893,0.04298912225017807,-0.11978456895120394,0.0,-0.05690267286230875,0.057454427159999114,0.0,0.05035038447053782,-0.06879337603375503,0.12048469266993826,0.39952347172888003
2015-12,0.06873710952530444,0.008739815216628009,-0.061762886285897586,0.0,-0.10441836646625258,0.02822270449499987,0.0,0.01316326224165223,-0.12196115007429512,0.11961478370669262,0.47337992198827766
2016-01,0.15457515047757767,-0.026025925294338274,-0.005843270623430206,0.0,-0.09635933094481164,0.1363464383135369,0.0,-0.0710118796886609,-0.14460358948608848,0.06706405992959523,0.2981703552419608
2016-02,0.15482383042427772,-0.05317909423296715,0.005248760501978699,0.0,-0.04231033817829433,0.1338180310737887,0.0,-0.16084886289339703,-0.1205646091951468,0.0401172601540306,0.289089213346119
2016-03,0.08656853055759432,-0.02798420850687531,-0.07001877792699931,0.0,-0.15711188911923862,0.07423321740891224,0.0,-0.010859506259641948,-0.15303886036995806,0.05973621115807818,0.3604487986927019
2016-04,0.09059015979588167,-0.04740521371542085,-0.06586428978002151,0.0,-0.17038807474193876,0.0859964998105136,0.0,-0.021583109048489073,-0.12823828419201977,0.07582223483922451,0.31411213407649013
2016-05,0.07251966595275841,-0.07914633629306825,-0.08997135523486208,0.0,-0.1479416465011633,0.1096589295624437,0.0,-0.018719946204967267,-0.1250364023571857,0.07083733718864238,0.286168380704909
2016-06,0.09510289851776245,-0.10057172101678773,-0.11092685741268131,0.0,-0.12296222687996768,0.13492961224777936,0.0,0.017228510632787554,-0.10224261406862772,0.06727878577530065,0.24875677344830555
2016-07,0.07684600841926176,-0.03852575696745878,-0.040169335511419504,-0.38228115192028345,-0.10832520656522479,0.08377399501349708,0.0,-0.04460691008033884,-0.0600404931005401,0.03252511896679655,0.13290602345517907
2016-08,0.07454777239362155,-0.05722206398501136,-0.09043776977034208,-0.20534282042705412,-0.14118667960052142,0.07890745194740384,-0.045956288372407304,-0.021390936850480803,-0.0363849216091752,0.05507917596534053,0.1935441190786417
2016-09,0.06898958906078831,-0.04656110281463289,-0.08163094497461398,-0.16953460378182497,-0.15343844156281125,0.06561902945627496,-0.06501939802618828,-0.03680484175729123,-0.07275989655614515,0.03707396787302312,0.2025681841364058
2016-10,0.09277990936186871,-0.052322780989025354,-0.06091897162965031,-0.07304983010929741,-0.1513108140703079,0.07799012369887452,0.09838293761919606,-0.10227768263093796,-0.10027980778262043,0.03037916609226179,0.16030797601595964
2016-11,0.0752341210190261,0.01710213867470072,0.019629484211266847,-0.21936109334543327,-0.21377954985761644,0.034703021667391046,-0.0023963524024313548,-0.17996957282436876,-0.1264053170886741,-0.02925358700034857,0.08216576190874278
2016-12,0.08449643944004699,0.03803760968474696,0.002389385502151794,-0.14256732079157394,-0.20317875111440348,0.024824622797882345,-0.07301031095410115,-0.18073817119779198,-0.09834781438128701,-0.07051942330191893,0.08189015083409557
2017-01,0.05244357881188512,0.10084444819102895,0.01574915812533706,-0.06293155259591782,-0.23493342105373555,-0.03828823700097681,-0.05424542262576289,-0.21509959843814272,-0.08276717668306899,-0.06864515018057801,0.07405225629356603
2017-02,0.03845206413880497,0.09146131266134681,-0.00814746423947301,-0.04169656700007723,-0.32276021286091333,-0.05682843534825768,-0.05220748471142436,-0.1162995454890064,-0.1090308949557639,-0.02959110100864181,0.13352491758629045
2017-03,0.11630844321681202,0.06800986628376438,0.0297712538754418,0.01010473968828745,-0.24857244858553498,0.02411005012116284,-0.02135767457605421,-0.26605733764127515,-0.11863145945018166,-0.062186827610667135,0.03488989895081832
2017-04,0.10442181976979192,0.12283596538545226,0.05273808485353159,-0.002652682271619872,-0.11110600748243447,0.008574254823760645,-0.0540347732797198,-0.2637579714964369,-0.1050419667549368,-0.14356757468658235,-0.031268899195733474
2017-05,0.08075386148879583,0.10398133796050577,0.09481574113793673,0.06393887525811902,-0.04988590784494396,0.04393325899210689,-0.01560504878640457,-0.2618397884159696,-0.023993561493156075,-0.1620924150204022,-0.09916020360165939
2017-06,0.04608730555312325,0.07812267254249115,0.13357865476395775,0.10637406265613758,-0.048277364797090175,0.01809599510066071,0.0146866444837744,-0.23296989666627518,-0.06964298313470901,-0.12520573580345348,-0.12695868449832715
2017-07,-0.004645694840279962,0.03752090408242009,0.08539396493926618,0.2147953624486908,0.02342480334244232,-0.014535026456759756,0.03634048302549917,-0.22165735329145586,-0.08211071879144469,-0.18438334276870003,-0.09519234601304119
2017-08,-0.02008306921751939,0.0010196781861676763,0.11721126680329907,0.1824272333521076,0.01691982646275734,0.032358059221026185,0.036620804876909205,-0.18755307127814544,-0.07633579338286736,-0.22091385777067704,-0.1085573394485237
2017-09,-0.04421025861277461,-0.030590630040660576,0.06709480887118845,0.1404491068945934,0.055633641040108615,0.06041868735026341,0.05093804628229017,-0.13513796293782365,-0.07021411002589782,-0.2086086520524594,-0.13670409589193994
2017-10,-0.009248136057343663,-0.07400800227975488,0.0725578019605645,0.15069653444703218,0.08622911230192534,0.1079994377149494,-0.0018896095852497029,-0.1022353680033409,0.03980855685080432,-0.22496923802667967,-0.13035820277235544
