,Q1,Q2,Q3,Q4,Q5
2015,-0.23290653839128306,-0.21341166192092054,-0.18700013063195142,-0.22344120730623773,-0.26102600857542624
2016,0.3317108275392999,0.31884088138485933,0.23334542436301087,0.3585138056959343,0.048403557224256044
2017,0.34715684174061834,0.29485554418150195,0.2734403085937438,0.3519709771352535,0.47754746388936775
2018,-0.1833688746745824,-0.16450034305523042,-0.23291896082125263,-0.2009380420352166,-0.1862245193339841
2019,0.4405134777652271,0.2689050015966232,0.28218503042401744,0.41369486659453414,0.5512914830464144
2020,0.46348820973477145,0.3349068755483444,0.2627196142996686,0.4068502458374721,0.7741281902807216
2021,-0.007322105426236458,-0.002113607118656491,0.10096717115928056,-0.042999000490230976,-0.003709922214465644
2022,0.04800643526074033,0.10098791643181593,-0.035668898010211336,0.02586470588212708,-0.1266678932445966
2023,-0.24831804326786444,-0.12669841765024115,-0.12599432104304398,-0.08288363894719897,-0.10512516076017175
2024,0.23901807151833587,0.290094975055333,0.19393964951830855,0.2557127210140191,0.3101068975657024
2025,0.27642031230955033,0.14649684149327036,0.17697585566810092,0.15962777776981008,0.4387355750144304
