,Q1,Q2,Q3,Q4,Q5
2015,-0.1512893493548455,-0.16506423744801824,-0.22840275250052167,-0.33221254381880616,-0.23477935463141453
2016,0.34400784858150457,0.38989928088777215,0.15647426755936844,0.2256868684731732,0.16719747942018226
2017,0.37264911793508304,0.31306102551004056,0.35543908339499786,0.3908812563401012,0.31162137633547293
2018,-0.26781667122126196,-0.10540021466713734,-0.13868744842982816,-0.24989292941949437,-0.1926248968718085
2019,0.3091141803163786,0.3261995415106316,0.3285963297649892,0.4197547641961554,0.5754032349011295
2020,0.26873010284780796,0.3328467916801565,0.3092677613617263,0.6487389617741524,0.6953926074304755
2021,0.0608684464261815,-0.043038367874670524,0.015512514776170772,0.023080650521316137,-0.009888190971165334
2022,-0.03427986427363783,0.036810303042716264,0.006632891389522166,0.002362368766997802,-0.006976995035993694
2023,-0.057053073725193304,-0.1574732348840988,-0.04338615578487215,-0.18569320677182366,-0.24216067851864864
2024,0.20868139887670112,0.28556495611928856,0.25243757414815504,0.2527787125170837,0.2903860126721083
2025,0.16709472711736018,0.22279435914475365,0.19206894672458552,0.25402239099472124,0.356445467622148
