,Q1,Q2,Q3,Q4,Q5
2015,-0.19786603558836202,-0.22139528160175093,-0.15766823711725775,-0.2495773325680848,-0.28989836079268705
2016,0.2543692955189931,0.4087856975073567,0.21291593634185513,0.22231630764660126,0.18027622477914784
2017,0.4091132588886639,0.27595251706480983,0.37158377924000896,0.3567807445644333,0.3259841809226316
2018,-0.2421107959568387,-0.19204028975317744,-0.16267791441689472,-0.14310247725592673,-0.22198187308923423
2019,0.3317736958837698,0.2283717449184932,0.3303087984349564,0.5242609497044324,0.55460545234403
2020,0.2507707688904053,0.19651870558803153,0.4142388540980453,0.5684808401506465,0.8645998826232772
2021,0.03414414566692292,0.023580057978393354,-0.026011569235533716,-0.05619004813035611,0.07501548715498574
2022,-0.0688327902771303,0.02275561013671834,0.014859829116484313,0.005872362051015045,0.02981862696432236
2023,-0.07770590210020878,-0.10285501055910595,-0.011090662038293453,-0.24720206134698108,-0.2363754812463399
2024,0.23969777166278283,0.2781815523736839,0.23695510774395157,0.21110203826686424,0.3230114278813878
2025,0.20135594088730757,0.19379741407192697,0.12156730507422031,0.3152984814173099,0.3629374389458846
