,Q1,Q2,Q3,Q4,Q5
2015,-0.1515210938831434,-0.21996057326582685,-0.0988028977537998,-0.14068882285367446,-0.07029630632637696
2016,0.2625003368507344,0.2943636113199817,0.20368935152869305,0.31295786322058583,0.4021258553388378
2017,0.37020438515304965,0.3016837156401293,0.26980304357588647,0.16819015641135748,0.5128845914729618
2018,-0.2043704570494429,-0.11870896921848628,-0.17582819721889098,-0.20426986721142704,-0.20424208531637877
2019,0.6458107475829775,0.5199703863593172,0.32042171854439583,0.4171034748440514,0.3769173928174643
2020,0.6549255639884086,0.7107376319218721,0.6367568174943741,0.24107499700978519,0.28874228762186305
2021,0.1842531259949418,-0.06394371912816166,0.054655663137524124,0.13236605385561084,0.1478054617329838
2022,-0.02037185487613824,0.004997401490643538,0.038739375216710004,0.060084700692839554,0.07097371561252341
2023,-0.045766919281871266,-0.13722005159140638,-0.0940498449985262,-0.028932197270469362,-0.002155263820297071
2024,0.48505745025454816,0.2899164552394018,0.2671341270421095,0.22091654579895592,0.3182152363105002
2025,0.40239323594472887,0.30259071560701356,0.16722568325273368,0.19855283728999362,0.2235064562001392
