,Q1,Q2,Q3,Q4,Q5
2015,0.0,0.0,0.0,0.0,0.0
2016,0.3741923859670444,0.29459497732670537,0.29732287709221317,0.23900871217730235,0.2605387742902663
2017,0.45173808940881566,0.27821052591245876,0.2939037423396125,0.45698357255747424,0.14555358530202045
2018,-0.1822018252094797,-0.19807390909147526,-0.21839024486670688,-0.040462954659140404,-0.2576203517915139
2019,0.7001383643413008,0.38737423693556905,0.3138824050186695,0.3495532006814521,0.5290320828858468
2020,0.49376162521512557,0.5152755730169643,0.43518464237393184,0.4002943319040877,0.6489487772118745
2021,0.04882432226802558,0.26343657138148147,0.023171976076759693,0.004583680764393749,0.12580671949022948
2022,0.02799918352997266,0.03970208004129616,-0.006295434554483115,0.08224846772094785,0.0046917664763492795
2023,-0.08248029351750152,-0.09962996242523725,0.005686853892280519,-0.06140128222686758,-0.07786768664524069
2024,0.5708797099281973,0.1949062034480662,0.293888465214037,0.2565229782774163,0.2746220479399015
2025,0.30255909699374306,0.19440378266867775,0.12070867555479059,0.16810649099429242,0.5049504396149642
