,Q1,Q2,Q3,Q4,Q5
2015,-0.2118975496807749,-0.21825716143409646,-0.18455986405822578,-0.260301444680595,-0.24968362657515897
2016,0.28882512471759125,0.2418564244394532,0.30972168720571425,0.21157245809785863,0.21608228519746753
2017,0.31381237978432264,0.3717115094845982,0.4984752904134211,0.2774198854635821,0.28534355492726404
2018,-0.17983344225746867,-0.15335271395487615,-0.16096423703884177,-0.18275425085541208,-0.2822901204589726
2019,0.3866993511833916,0.28172028722746445,0.3024470933280248,0.29745197818047475,0.7071223288507513
2020,0.19981088969538674,0.2533288692109157,0.34017246780005883,0.560307949443315,0.9583317033209322
2021,-0.0019117599801631302,0.08538751269142542,0.012916391287404183,-0.02373254254381474,-0.02964073587115612
2022,-0.09908776834353539,-0.02549978604870129,0.08384586217300449,0.07784106153043391,-0.028809015677278893
2023,-0.025179549306636462,-0.08248887898688106,-0.1273427141507456,-0.19149846117645952,-0.25322008837779186
2024,0.24606246821781852,0.3202290747789731,0.25799252369269476,0.17483240729661875,0.29014101068933673
2025,0.18250061617305824,0.14652017035446674,0.1929598970848312,0.29896236330920334,0.3715908744839169
