industry,stock_code,stock_name
610101,600585,海螺水泥
340501,600519,贵州茅台
240302,600362,江西铜业
340501,000858,五粮液
280502,000625,长安汽车
330102,000651,格力电器
340501,000568,泸州老窖
640601,000425,徐工科技
640601,000157,中联重科
730204,000063,中兴通讯
480301,000001,深发展A
421002,600009,上海机场
230402,600010,包钢股份
480301,600015,华夏银行
480301,600016,民生银行
230402,600019,宝钢股份
750301,600028,中国石化
421001,600029,南方航空
490101,600030,中信证券
640601,600031,三一重工
480301,600036,招商银行
730102,600050,中国联通
340501,000858,五粮液
280502,000625,长安汽车
330102,000651,格力电器
340501,000568,泸州老窖
640601,000425,徐工科技
640601,000157,中联重科
730204,000063,中兴通讯
480301,000001,深发展A
430101,000002,万科A
