year_month,n_stocks,gross_ret,turnover,cost,net_ret,benchmark_monthly_ret,excess_ret,strategy_nav,benchmark_nav,excess_nav,year_month_ts
2015-07,50,-0.142662172999934,1.0,0.006,-0.148662172999934,-0.11322162675530834,-0.03544054624462567,0.851337827000066,0.8867783732446917,0.9645594537553743,2015-07-01
2015-08,50,-0.05592686360072548,0.9000000000000006,0.005400000000000004,-0.06132686360072548,-0.04482864137086906,-0.01649822222985642,0.7991279482054949,0.8470253035750627,0.9486459375334092,2015-08-01
2015-09,50,0.12133693217142584,0.46000000000000024,0.0027600000000000016,0.11857693217142584,0.09963158737786326,0.01894534479356258,0.8938860887161486,0.9314157791194627,0.966618361906992,2015-09-01
2015-10,50,0.12842622727772163,0.7600000000000005,0.004560000000000002,0.12386622727772162,0.009322651128914838,0.11454357614880678,1.0046083861414568,0.9400990434841598,1.0773382858509204,2015-10-01
2015-11,50,0.019484791928474025,0.3200000000000001,0.0019200000000000007,0.017564791928474023,0.043729253860586015,-0.02616446193211199,1.0222541234136315,0.9812088732107728,1.0491503092827672,2015-11-01
2015-12,50,-0.26583428613165966,0.24000000000000007,0.0014400000000000005,-0.26727428613165966,-0.20298672566371678,-0.06428756046794287,0.7490318823331076,0.782036496845533,0.9817029953347903,2015-12-01
2016-01,50,-0.013843798353064018,0.6800000000000004,0.004080000000000002,-0.01792379835306402,-0.022120055517002135,0.004196257163938115,0.735606385914153,0.7647378061189879,0.9858224735618234,2016-01-01
2016-02,50,0.13343428049925504,0.34000000000000014,0.002040000000000001,0.13139428049925503,0.1116827818681807,0.019711498631074326,0.8322608577220003,0.8501458517061259,1.0052545118999194,2016-02-01
2016-03,50,-0.0028099766434341654,0.6400000000000003,0.0038400000000000023,-0.006649976643434167,-0.01803383338653064,0.011383856743096473,0.8267263424569046,0.8348144630622074,1.0166981852537393,2016-03-01
2016-04,50,0.014319515816117125,0.5000000000000002,0.0030000000000000014,0.011319515816117124,0.005525759791971563,0.005793756024145561,0.8360844843659463,0.8394274472559529,1.0225886864892912,2016-04-01
2016-05,50,0.08574696258374225,0.4200000000000002,0.0025200000000000014,0.08322696258374224,0.0017779214481978833,0.08144904113554435,0.9056692564631184,0.8409198833186352,1.1058775544798998,2016-05-01
2016-06,50,0.0004026024272837606,0.3200000000000001,0.0019200000000000007,-0.00151739757271624,0.024604711197160345,-0.026122108769876584,0.9042949961316774,0.86161047418764,1.0769897007156106,2016-06-01
2016-07,50,0.03525127277705058,0.5800000000000003,0.0034800000000000018,0.03177127277705057,0.03731989607117536,-0.0055486232941247896,0.9330255991246987,0.8937656875381589,1.0710138905746875,2016-07-01
2016-08,50,-0.017481372529235328,0.5800000000000003,0.0034800000000000018,-0.020961372529235328,-0.019886148007590143,-0.001075224521645185,0.9134681019621329,0.8759921307916695,1.069862310176519,2016-08-01
2016-09,50,0.04055781198455148,0.38000000000000017,0.002280000000000001,0.03827781198455148,0.02354216680864263,0.014735645175908849,0.9484336622229246,0.8966148836578253,1.0856274215663584,2016-09-01
