,equal
Ann_Return,0.16973407492125592
Ann_Vol,0.22478911760506257
Sharpe,0.755081370173203
Max_Drawdown,-0.28040751407514075
Monthly_WinRate,0.592
Months,125.0
Avg_Turnover,0.4115200000000002
Benchmark_Ann_Return,0.018716159782012465
Excess_Ann_Return,0.14799667370712322
Tracking_Error,0.12752883696024148
Info_Ratio,1.1604957532331517
