year_month,stock_code,score,ret_next_month,weight
2015-07,601009,0.8699929079967306,-0.07679063360881544,0.02
2015-07,600233,0.669457086945414,-0.09651541739784408,0.02
2015-07,000408,0.61874995495405,-0.2540545790035933,0.02
2015-07,002352,0.6069217787535088,-0.12453392990305734,0.02
2015-07,601100,0.6024586152942504,-0.05290581162324648,0.02
2015-07,002179,0.5594537103442121,-0.19814541428307797,0.02
2015-07,002311,0.5514664423031265,-0.2547730547550433,0.02
2015-07,603993,0.5003882359442143,-0.2012195121951219,0.02
2015-07,300347,0.47672495884308846,-0.17077051017825506,0.02
2015-07,000617,0.3981826930730845,0.1149149149149149,0.02
2015-07,002422,0.3814322419885082,-0.17952883834281064,0.02
2015-07,002466,0.37596401400328,-0.017664061663633324,0.02
2015-07,000975,0.3679427971704468,-0.20278099652375448,0.02
2015-07,000301,0.3669160806978621,-0.12757201646090544,0.02
2015-07,600160,0.3627351720635624,0.04147619578548323,0.02
2015-07,603369,0.360300891783076,-0.17044025157232712,0.02
2015-07,002460,0.34793484379256784,-0.013530326594090147,0.02
2015-07,002736,0.3346422612612814,-0.29508196721311475,0.02
2015-07,601058,0.32736075594531183,-0.18154761904761907,0.02
2015-07,601238,0.3269519574591727,-0.03004926108374384,0.02
2015-07,000983,0.3078429294937159,-0.08855345911949697,0.02
2015-07,000596,0.28065417923856445,-0.18461781427668977,0.02
2015-07,600176,0.27164513807578317,-0.1278682781572955,0.02
2015-07,002709,0.26468052725752717,-0.13367819221344945,0.02
2015-07,002600,0.2556342419821891,-0.09168303863785199,0.02
2015-07,600803,0.25319559522576507,-0.08417863259122649,0.02
2015-07,601939,0.24671952578335232,-0.14414414414414423,0.02
2015-07,603288,0.2412268109252383,-0.0595004688432359,0.02
2015-07,600760,0.23812304231454376,-0.11927642736009036,0.02
2015-07,300014,0.23410020852423735,-0.0536467116357503,0.02
2015-07,002236,0.23010402358398166,-0.11759075068427582,0.02
2015-07,601998,0.22970760817528427,-0.15838509316770177,0.02
2015-07,601669,0.21968694957511645,-0.20742753623188404,0.02
2015-07,300308,0.2151692761948279,-0.271748135874068,0.02
2015-07,002230,0.2073373831558876,-0.25864524928019395,0.02
2015-07,300122,0.20733533613560778,-0.22571428571428576,0.02
2015-07,600023,0.2050166992462398,-0.05555555555555547,0.02
2015-07,002049,0.17737580669606468,-0.20555198973042366,0.02
2015-07,002384,0.16848148221637063,-0.09897769516728616,0.02
2015-07,000063,0.16007042927620882,-0.1616748532406853,0.02
2015-07,600188,0.14364867504837794,-0.17278063096111518,0.02
2015-07,600010,0.1396409109212562,-0.09593246354566387,0.02
2015-07,000002,0.1229689728453908,-0.02679632887916683,0.02
2015-07,600893,0.11126178009619941,-0.1154815670622833,0.02
2015-07,002648,0.11082231132429467,-0.3089627017999629,0.02
2015-07,000661,0.10133341516695102,-0.3135410624015912,0.02
2015-07,601186,0.0925662682569303,-0.16149732620320856,0.02
2015-07,601988,0.08971056400425739,-0.13273001508295623,0.02
2015-07,600161,0.08672231061617182,-0.050240478356948004,0.02
2015-07,601225,0.08631012436954713,-0.17806041335453104,0.02
2015-08,600061,0.9643419004460478,-0.02895987620205598,0.02
2015-08,603799,0.9517698888433522,-0.08868299139642621,0.02
2015-08,600023,0.5725748194327696,-0.06909430438842201,0.02
2015-08,300014,0.47409129865692734,-0.08764895868136768,0.02
2015-08,000963,0.46767879946423235,-0.043157320806945565,0.02
2015-08,300394,0.45259971046789615,0.0675113838843795,0.02
2015-08,300413,0.45125608308190357,0.02584269662921357,0.02
2015-08,002600,0.430517230913876,0.09949531362653219,0.02
2015-08,601939,0.39724442059936205,0.0013157894736843812,0.02
2015-08,000617,0.3864560311092816,0.0382474411923146,0.02
2015-08,601021,0.37959134412296724,0.14355478685522427,0.02
2015-08,000100,0.3645838337655083,-0.07793345008756569,0.02
2015-08,601669,0.361516931971589,-0.053714285714285825,0.02
2015-08,601100,0.3602024871284494,0.14346170122725344,0.02
2015-08,002352,0.3551269706706417,0.02555366269165238,0.02
2015-08,600188,0.35412215894840127,-0.03458980044345905,0.02
2015-08,600183,0.34952237778792494,-0.14962393983037292,0.02
2015-08,603288,0.3488484563277934,0.04359648327744048,0.02
2015-08,603019,0.32951624787951644,0.07076755579749583,0.02
2015-08,600547,0.31852518201237984,-0.01925552180404666,0.02
2015-08,300347,0.3071584570775938,0.1467253858899451,0.02
2015-08,601336,0.3069141013809101,-0.070959595959596,0.02
2015-08,000425,0.29750278906589583,-0.06208192824368397,0.02
2015-08,002179,0.2950044143631585,-0.07571486105517522,0.02
2015-08,000895,0.2722617399040085,-0.021681209618330755,0.02
2015-08,601318,0.2654466757668659,-0.008142340168878048,0.02
2015-08,601058,0.26246247120832455,-0.04145454545454552,0.02
2015-08,600426,0.25741794821352143,-0.08247743541861197,0.02
2015-08,000301,0.24234278085631056,-0.08679245283018866,0.02
2015-08,601607,0.24056329063014043,-0.06939501779359436,0.02
2015-08,000876,0.23795793112592536,-0.15321100917431185,0.02
2015-08,002709,0.2358143686912538,0.10339409176618486,0.02
2015-08,600160,0.22835443268279695,-0.0007493844342146838,0.02
2015-08,600233,0.22615105383080766,-0.026914539400665904,0.02
2015-08,002460,0.21827966768904927,0.23127857480687353,0.02
2015-08,002736,0.1912865401982311,-0.03811369509043927,0.02
2015-08,601601,0.18911893919644604,-0.018497109826589586,0.02
2015-08,601225,0.18455123833701342,-0.11605415860735002,0.02
2015-08,000338,0.17959730647385203,-0.09654731457800503,0.02
2015-08,600362,0.17207093884813665,-0.04686752749880441,0.02
2015-08,600115,0.1670798792328322,-0.06507177033492817,0.02
2015-08,601919,0.16015560359836983,-0.22423742786479806,0.02
2015-08,600570,0.15548250467698788,-0.12236113084244926,0.02
2015-08,002459,0.14875408410870702,-0.0296655879180151,0.02
2015-08,000333,0.14755136762381948,-0.12364060072501293,0.02
2015-08,000625,0.14719487839362796,0.022203947368421018,0.02
2015-08,000977,0.14031665989816344,0.16086193936356796,0.02
2015-08,002028,0.1378950881636837,-0.11074870996008179,0.02
2015-08,600803,0.13299119131239318,-0.10212888377445328,0.02
2015-08,600019,0.1290786365636219,-0.020321761219305734,0.02
2015-09,600061,2.372447357616075,0.21696072851451342,0.02
2015-09,601088,1.7987181105285797,0.043199999999999905,0.02
2015-09,000625,1.7223798600976559,0.042638777152051555,0.02
2015-09,601669,1.6703358928183558,0.1594202898550725,0.02
2015-09,600362,1.5507640018304674,0.08228800802809833,0.02
2015-09,000100,1.4022287958252861,0.05792972459639145,0.02
2015-09,600426,1.309247684302417,0.17791723202170973,0.02
2015-09,601607,1.1646480812867355,0.11065965583174009,0.02
2015-09,002028,1.0665226951829594,0.24393715443148856,0.02
