,icir
Ann_Return,0.17099237517489607
Ann_Vol,0.21874089748355016
Sharpe,0.781711957581024
Max_Drawdown,-0.2639275454243688
Monthly_WinRate,0.6
Months,125.0
Avg_Turnover,0.39248000000000016
Benchmark_Ann_Return,0.018716159782012465
Excess_Ann_Return,0.1493638704221012
Tracking_Error,0.11380598794038
Info_Ratio,1.3124429841103709
