year_month,EP,BP,SP,MOM_12_1,REV_1M,ROE_TTM,GPM_change,VOL_20D,IVOL,TURN_1M,AMIHUD,SIZE,BETA_60D,ABTURN_1M,OCF_QUALITY,ASSET_GROWTH
2015-07,0.11897247235049975,0.15526827838008397,-0.0518943396760908,,-0.025394993146237648,-0.0023524246642815366,,-0.24924505550001547,-0.2628808403955025,-0.18234662090669562,-0.07182127906514131,-0.09114473290939636,0.009500055398453446,,,
2015-08,0.12975248067822578,-0.013624549246341872,0.01493243670779505,,-0.04784304792277685,0.14000030753051423,,-0.14034226487086762,0.05618495201624138,0.015172456996151936,0.15420520031953946,0.08907884620860503,-0.20060252628547223,,0.003388063658026863,0.1499379200321129
2015-09,-0.18297050143312216,-0.05729697899615539,-0.17349056716974753,,-0.18140190483878907,-0.12166865788000218,,0.36005373936408425,0.22147161099834073,0.18592765382061946,0.31324707692973625,0.3835803851321093,0.2776532232187713,,0.01037423911790138,0.09340688477031911
2015-10,0.09229772895300231,-0.009474200692785187,-0.20632121650114554,,0.14721181268559025,0.09249058046712105,,0.12459146736969848,0.04434191262137102,0.1984246548152088,0.35864043736245044,0.3937668696252589,0.09807503190843848,,0.015559186475003102,0.19359253582006397
2015-11,-0.0326072431224755,-0.06965623724547841,0.07550897828084191,,-0.08313494890267135,-0.05696348777689932,,-0.07103498782044756,-0.13643481891968617,-0.07165522623058755,0.10964494241436157,0.12141173153290047,0.014721201820275238,,-0.018506712101725817,-0.11566043892507975
2015-12,0.2538599683708282,0.05232955698032607,0.11441769414592007,,-0.04588868152377183,0.2830679834352187,,-0.198275708599911,-0.22538601060382635,-0.19990403576149438,-0.13224975394622013,-0.26819236090388743,-0.3085326072213331,,0.01888291786612229,0.08157982105602586
2016-01,-0.0061460348826778664,-0.02767285444399407,0.015413642622190115,,0.13447471024966043,-0.01204394356513146,,-0.2134276904227434,-0.1203812900463467,-0.16197770867488548,-0.03489918097890667,-0.10028264560965398,-0.22491546296418038,0.011365342581401294,0.06171886745135739,-0.08856529374502367
2016-02,-0.1584040025562942,-0.01565441555120195,-0.20286540404393688,,-0.28777824044683104,-0.14101630584428299,,0.3607407820605791,0.1394161270670014,0.23680365548195226,0.19741585676670653,0.29544103467236177,0.3646805696116791,-0.18966144054972664,-0.05652488963067179,0.0883277159402357
2016-03,0.06429073857743671,-0.057662814019035426,-0.03783220757845609,,-0.13509248032803003,0.08074167644024177,,-0.03954290814334325,-0.06273466030027366,0.030557369576942717,0.07337886474881508,0.13005920837682985,-0.062104248181115485,-0.12033141760513427,0.07438254524980918,0.010818030468666187
2016-04,-0.027296286331522375,-0.1103878159493754,-0.20567793994153427,,0.011273855894195639,0.11578117293579615,,0.001497030215734192,-0.032464256089703936,0.023368388343970505,0.025860715632774825,-0.011440552299177285,0.09340497499554935,0.033041764626654875,-0.07869306731834191,0.10354366534309664
2016-05,0.14765986338348247,-0.11410805493233578,-0.12302582326902986,,-0.002837710228449831,0.18599486249587596,,0.13734117625497202,0.10927522537738722,0.13025250263967764,0.051295434849839325,0.15966683879378435,0.10675198622986876,-0.007014976807688546,-0.060814138901571654,0.13123718497020187
2016-06,0.13975937654664874,0.19261494512227373,0.2327777272733632,,-0.24362193595070747,0.021105089880283853,,-0.3853275089983196,-0.371229856800787,-0.30883954342346,-0.11222031251350686,-0.1731759372875018,-0.22524478180750845,-0.15737074230969028,0.08213319361937675,-0.044419452177719254
2016-07,0.020021882623273982,0.0759805464556014,-0.009892764633589853,-0.011414028897720623,-0.0990941024220153,-0.12416660789642121,-0.02261501066534501,-0.06259044631879479,-0.04576982168932442,0.004971001165154512,0.13859346586064392,0.10493609984966308,0.10892764932023703,-0.02002018514073207,0.09514048538095957,-0.11631862750288235
2016-08,0.07245527377290364,0.010708512582184384,0.11803974480854718,-0.040800530886414506,-0.06575721039870952,0.03825041029544401,-0.027094256999076406,-0.21830704480931631,-0.16904609453361916,-0.18414495080086726,0.13562968792050106,0.004740656448237453,-0.17449684752765035,0.05154604670968613,0.05176364648717922,-0.13752219860061676
2016-09,-0.0744647955658923,0.02509112612625179,-0.0029650802554572206,0.043349928939150045,-0.13120162864141108,-0.0727918696871351,0.17984953348298444,0.022602603459198758,-0.11061515080581585,0.02501201746266474,0.03801158461034768,0.10544064862888806,0.1900461153543097,-0.17589695676547762,-0.014263531584077739,-0.03731205940175752
2016-10,-0.07891698813382256,0.23265467185748648,0.19667109212794162,-0.224256479279599,0.0387690376436941,-0.1728958381322896,-0.13367578223385446,-0.09966247879641071,-0.08696838535992689,-0.11664436616849819,-0.14074707630448097,-0.18480426467219205,0.08207859788095993,0.13474851664836068,0.17998434656476678,-0.1783525750854628
2016-11,0.021377194759430933,0.033135878100806954,0.056329239024968177,-0.02889677889624125,-0.07303163056450758,-0.09472968928952587,-0.13132078127476565,-0.10545472955276093,-0.07493749459080312,-0.19905306771855127,0.12258484043721224,-0.06766819170479263,-0.2007020175504388,0.02913165308176992,0.02655403597643215,-0.03886746503400314
2016-12,0.07309886572644951,0.13466341319277492,0.1972043642130254,0.09401306326419963,-0.012640913841100996,0.03190711826040501,0.036327840454424234,-0.1912511337118413,-0.1792649981062519,-0.15846986304726812,-0.22176644397290746,-0.2685145072026762,-0.027729183567230083,0.15137761093525698,0.11837335658484247,-0.007682701765422259
2017-01,-0.06096894178695256,-0.14216576190765068,-0.11110799135344848,-0.08363787903933367,-0.16247456866949855,-0.07567542006294739,-0.00974149960269869,0.16071751171772625,0.15430454523729226,0.15336263991395985,0.17329463065051373,0.255300724102261,0.0024575144081572333,-0.09376319616480748,-0.05347440281926065,0.035965394207027664
2017-02,0.06950505898791937,-0.004109674063400452,-0.06829874912869459,0.10440448935298446,0.09238625263659607,0.14245677345814708,0.06491260529037589,-0.058445003369455656,-0.06963093448331581,-0.07913194371339166,-0.17396731968576845,-0.21802216574874256,-0.05344044179328143,0.04692593160614298,-0.07169630791122203,0.18213863225221633
2017-03,-0.00030065160596400785,0.05495049469058187,0.06301256080779541,-0.05611528074199523,0.32697374718872835,0.029555976074857205,-0.07230945761310559,0.036238599229381066,0.0506074878627848,-0.0748863194214617,-0.12698148088683986,-0.2453758132228192,-0.06179001107227847,0.1612902051987822,0.016507909295869844,0.05947029854575124
2017-04,-0.06813313413919445,-0.16415121934871052,-0.08772543669629898,0.12884750895931388,0.1712397809945249,0.23303400062558166,0.07513375204368579,-0.08244071559437653,0.007525930863455876,-0.07865055614528685,-0.20433131414865366,-0.2760084002100053,-0.16643516087902196,0.08758047773979029,-0.08115589403884775,0.043899940151696376
