Family,Trial,Score,Params,Ann_Return,Sharpe,Info_Ratio,Avg_Turnover,RankIC_Mean,Months
LightGBM,3,1.4856705738693063,"{""n_estimators"": 300, ""learning_rate"": 0.03596444270828742, ""max_depth"": 5, ""num_leaves"": 15, ""min_child_samples"": 20, ""subsample"": 0.7465447373174767, ""colsample_bytree"": 0.7824279936868144, ""reg_alpha"": 0.8023102291340046, ""reg_lambda"": 0.005477562363971304}",0.08768768059301735,0.49619717053956786,1.3732716425174691,0.7292043962006641,0.04930572771398773,24
LightGBM,1,1.3521627502432858,"{""n_estimators"": 250, ""learning_rate"": 0.1358198535217987, ""max_depth"": 5, ""num_leaves"": 39, ""min_child_samples"": 15, ""subsample"": 0.662397808134481, ""colsample_bytree"": 0.6232334448672797, ""reg_alpha"": 1.599409170128044, ""reg_lambda"": 0.16730402817820234}",0.06391293365754724,0.33479497186535534,1.2893166611871993,0.7518480500704033,0.04143678492694207,24
LightGBM,5,1.332208612760623,"{""n_estimators"": 250, ""learning_rate"": 0.02435000636897718, ""max_depth"": 5, ""num_leaves"": 31, ""min_child_samples"": 10, ""subsample"": 0.798070764044508, ""colsample_bytree"": 0.6137554084460873, ""reg_alpha"": 2.3096644596472733, ""reg_lambda"": 0.009061902594114376}",0.08052464788982694,0.4843617228464888,1.2210423146091862,0.6828443740501937,0.04586002817221275,24
LightGBM,6,1.1143228610717795,"{""n_estimators"": 400, ""learning_rate"": 0.03747971533796248, ""max_depth"": 5, ""num_leaves"": 39, ""min_child_samples"": 15, ""subsample"": 0.9878338511058234, ""colsample_bytree"": 0.9100531293444458, ""reg_alpha"": 2.9866092370009407, ""reg_lambda"": 2.0414536703077757}",0.06579735653759511,0.3814991275690973,1.0345222026065246,0.692981596109488,0.062321773316554176,24
LightGBM,4,1.0291736592987106,"{""n_estimators"": 350, ""learning_rate"": 0.06598254106850841, ""max_depth"": 3, ""num_leaves"": 43, ""min_child_samples"": 15, ""subsample"": 0.6260206371941118, ""colsample_bytree"": 0.9795542149013333, ""reg_alpha"": 3.7311604524743114, ""reg_lambda"": 0.9777718780862645}",0.06260805760702182,0.3810032663050231,0.9516079308629198,0.7347050291143233,0.05053799424301278,24
LightGBM,2,0.7378028270957769,"{""n_estimators"": 400, ""learning_rate"": 0.020846957895078073, ""max_depth"": 6, ""num_leaves"": 55, ""min_child_samples"": 15, ""subsample"": 0.6727299868828402, ""colsample_bytree"": 0.6733618039413735, ""reg_alpha"": 0.01334697757417809, ""reg_lambda"": 0.08730885649333642}",0.042256791331189314,0.23458424740909548,0.70553893836999,0.7622277099388342,0.03177354439018827,24
LightGBM,0,0.6553769942739155,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 4, ""num_leaves"": 15, ""min_child_samples"": 20, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1}",0.037881026807993656,0.2078715261430583,0.6288679931153216,0.717049133686471,0.02903701864520358,24
LightGBM,7,0.4856692127406558,"{""n_estimators"": 350, ""learning_rate"": 0.12815230690684767, ""max_depth"": 3, ""num_leaves"": 15, ""min_child_samples"": 10, ""subsample"": 0.7301321323053057, ""colsample_bytree"": 0.7554709158757928, ""reg_alpha"": 0.010085836630992925, ""reg_lambda"": 1.1627201204016835}",0.02546010433117396,0.15305032651628914,0.4757689726817145,0.7202971579189099,0.03125072991008336,24
CatBoost,5,1.2243302332036194,"{""iterations"": 300, ""learning_rate"": 0.09729870597990298, ""depth"": 3, ""l2_leaf_reg"": 3.2676417657817622, ""random_strength"": 1.184829137724085, ""bagging_temperature"": 0.09290082543999545}",0.07821610577266447,0.42621781329469083,1.1334892369141536,0.7404869539788269,0.03710570952144088,24
CatBoost,0,0.6921301057657644,"{""iterations"": 300, ""learning_rate"": 0.05, ""depth"": 4, ""l2_leaf_reg"": 3.0, ""random_strength"": 1.0, ""bagging_temperature"": 0.0}",0.04462720657570274,0.22809833139306124,0.66192607522481,0.7645093775392805,0.009067157771797067,24
CatBoost,3,0.6044050384325383,"{""iterations"": 450, ""learning_rate"": 0.030678895924589226, ""depth"": 3, ""l2_leaf_reg"": 1.5254729458052607, ""random_strength"": 0.6084844859190754, ""bagging_temperature"": 1.0495128632644757}",0.032621427513025436,0.17694116746686692,0.5885149096082357,0.7438444283151476,0.004851588378571632,24
CatBoost,1,0.5883299792308269,"{""iterations"": 250, ""learning_rate"": 0.1358198535217987, ""depth"": 5, ""l2_leaf_reg"": 3.968793330444372, ""random_strength"": 0.31203728088487304, ""bagging_temperature"": 0.3119890406724053}",0.026364946706895598,0.13844311998602252,0.5883694136620632,0.8314474085408615,0.008438440394757399,24
CatBoost,4,0.5677659599842532,"{""iterations"": 300, ""learning_rate"": 0.03596444270828742, ""depth"": 5, ""l2_leaf_reg"": 1.3787764619353768, ""random_strength"": 0.5842892970704363, ""bagging_temperature"": 0.7327236865873834}",0.038889097139487294,0.23377657752666176,0.5350880171084705,0.7491006076443165,0.009818452499700214,24
CatBoost,2,-0.35332105825025173,"{""iterations"": 150, ""learning_rate"": 0.11454791487656053, ""depth"": 5, ""l2_leaf_reg"": 5.105903209394756, ""random_strength"": 0.041168988591604894, ""bagging_temperature"": 1.9398197043239886}",-0.027088227727071645,-0.15985193120588873,-0.26611595841001756,0.7849904095693505,0.00889278267863378,24
XGBoost,6,1.0167706026369911,"{""n_estimators"": 150, ""learning_rate"": 0.0542425537773747, ""max_depth"": 3, ""min_child_weight"": 36.826214072757374, ""subsample"": 0.7035119926400067, ""colsample_bytree"": 0.8650089137415928, ""reg_alpha"": 0.014223612773743576, ""reg_lambda"": 0.08389112347840598}",0.08494633958944142,0.4401903115675945,0.9164780877736484,0.6352915721387135,0.04543364946176082,24
XGBoost,0,0.9034167344217275,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 20.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1}",0.06329962627738817,0.3284722270379361,0.8390366145853996,0.6832309655010578,0.04576101063222215,24
XGBoost,4,0.8641181732518054,"{""n_estimators"": 300, ""learning_rate"": 0.09729870597990298, ""max_depth"": 3, ""min_child_weight"": 22.998205344476407, ""subsample"": 0.836965827544817, ""colsample_bytree"": 0.6185801650879991, ""reg_alpha"": 0.1767218232266506, ""reg_lambda"": 0.0042733023193754}",0.05774281660060132,0.2937108771873556,0.8108595999130414,0.6970937963488532,0.04042225510555033,24
XGBoost,2,0.798183709057531,"{""n_estimators"": 350, ""learning_rate"": 0.08329844231669226, ""max_depth"": 3, ""min_child_weight"": 38.9468448256698, ""subsample"": 0.9329770563201687, ""colsample_bytree"": 0.6849356442713105, ""reg_alpha"": 0.004705059281907645, ""reg_lambda"": 0.004768785415482609}",0.050909845679532495,0.25727652447957655,0.7551602730880956,0.6831904274887509,0.04067006817883829,24
XGBoost,7,0.6721050560135732,"{""n_estimators"": 350, ""learning_rate"": 0.02902611884153732, ""max_depth"": 6, ""min_child_weight"": 32.12964881763901, ""subsample"": 0.9757995766256756, ""colsample_bytree"": 0.9579309401710595, ""reg_alpha"": 0.16278488880914346, ""reg_lambda"": 2.570307853015558}",0.04916454903488443,0.25348669354468556,0.6301430551273663,0.6816801435439759,0.04880429552045671,24
XGBoost,3,0.5934667178072648,"{""n_estimators"": 250, ""learning_rate"": 0.05757368425309993, ""max_depth"": 4, ""min_child_weight"": 15.193019906931466, ""subsample"": 0.8447411578889518, ""colsample_bytree"": 0.6557975442608167, ""reg_alpha"": 0.012040216379191714, ""reg_lambda"": 0.022654864504851786}",0.04464719300965503,0.22759895796422325,0.5593709473106613,0.6836783378532694,0.028925156672841776,24
XGBoost,1,0.5781104245329012,"{""n_estimators"": 250, ""learning_rate"": 0.1358198535217987, ""max_depth"": 5, ""min_child_weight"": 25.95304694689628, ""subsample"": 0.6624074561769746, ""colsample_bytree"": 0.662397808134481, ""reg_alpha"": 0.0016400214911202306, ""reg_lambda"": 1.599409170128044}",0.03896360942670429,0.20001581423792114,0.5554155530813082,0.7461974563956669,0.038327745597019604,24
XGBoost,5,0.5650441342842085,"{""n_estimators"": 150, ""learning_rate"": 0.13532030647336643, ""max_depth"": 6, ""min_child_weight"": 33.29390718407614, ""subsample"": 0.7218455076693483, ""colsample_bytree"": 0.6390688456025535, ""reg_alpha"": 0.33959199243313637, ""reg_lambda"": 0.042472797953697176}",0.03194237449906767,0.1573616800700339,0.5555561066586483,0.7544095279089992,0.030234336093747777,24
RandomForest,5,1.1709141942721761,"{""n_estimators"": 150, ""max_depth"": 8, ""min_samples_leaf"": 30, ""min_samples_split"": 50, ""max_features"": ""sqrt""}",0.0918051727600353,0.4956008920490819,1.0521726938816423,0.5987753444838115,0.04874058446035535,24
RandomForest,3,1.0062079705811908,"{""n_estimators"": 250, ""max_depth"": 6, ""min_samples_leaf"": 15, ""min_samples_split"": 20, ""max_features"": 0.5}",0.07679487930783524,0.40914295174672677,0.9125911662319393,0.582521623495327,0.03804434392917667,24
RandomForest,0,0.8941583407112399,"{""n_estimators"": 200, ""max_depth"": 4, ""min_samples_leaf"": 20, ""min_samples_split"": 20, ""max_features"": 0.7}",0.06701498132141981,0.36880721317857323,0.8130314187032877,0.5903048389123934,0.042682493753254634,24
RandomForest,1,0.8795997889401356,"{""n_estimators"": 250, ""max_depth"": 8, ""min_samples_leaf"": 25, ""min_samples_split"": 40, ""max_features"": ""log2""}",0.06620001251533902,0.36504847686124436,0.7994344704022673,0.5869844904100998,0.04319363029792548,24
RandomForest,2,0.7209573554094604,"{""n_estimators"": 350, ""max_depth"": 7, ""min_samples_leaf"": 5, ""min_samples_split"": 60, ""max_features"": 0.5}",0.05869048579678493,0.3086113528767167,0.657475769069905,0.5820363904691936,0.036298273128424534,24
RandomForest,4,0.7032106405708666,"{""n_estimators"": 300, ""max_depth"": 7, ""min_samples_leaf"": 10, ""min_samples_split"": 40, ""max_features"": ""sqrt""}",0.05467034684527983,0.2905154000053923,0.644439383773209,0.5676672640792019,0.03860036845716843,24
RandomForest,7,0.5621029533651565,"{""n_estimators"": 350, ""max_depth"": 4, ""min_samples_leaf"": 30, ""min_samples_split"": 50, ""max_features"": 0.5}",0.040672068548547546,0.22235242605541986,0.5237491835068243,0.5670391591658761,0.03956883350301667,24
RandomForest,6,0.3784897081279665,"{""n_estimators"": 150, ""max_depth"": 5, ""min_samples_leaf"": 5, ""min_samples_split"": 60, ""max_features"": 0.7}",0.02610924421728411,0.14000474156738896,0.3675087120128192,0.6204085271013885,0.02808340533089672,24
Ridge,0,0.8644003260734587,"{""alpha"": 1.0}",0.053820992111994315,0.31318294536008784,0.7935602588965351,0.4622963286220568,0.03085255806699126,24
Ridge,1,0.8644003260734587,"{""alpha"": 0.31489116479568624}",0.053820992111994315,0.31318294536008784,0.7935602588965351,0.4622963286220568,0.03079493596211264,24
Ridge,4,0.8644003260734587,"{""alpha"": 2.481040974867813}",0.053820992111994315,0.31318294536008784,0.7935602588965351,0.4622963286220568,0.030923769656643327,24
Ridge,5,0.8644003260734587,"{""alpha"": 0.04207988669606638}",0.053820992111994315,0.31318294536008784,0.7935602588965351,0.4622963286220568,0.030769736684125443,24
Ridge,6,0.8644003260734587,"{""alpha"": 0.042070539502879395}",0.053820992111994315,0.31318294536008784,0.7935602588965351,0.4622963286220568,0.030769736684125443,24
Ridge,7,0.8644003260734587,"{""alpha"": 0.017073967431528128}",0.053820992111994315,0.31318294536008784,0.7935602588965351,0.4622963286220568,0.03076212537131448,24
Ridge,9,0.8644003260734587,"{""alpha"": 2.5378155082656657}",0.053820992111994315,0.31318294536008784,0.7935602588965351,0.4622963286220568,0.030928003079120026,24
Ridge,3,0.7930636684683983,"{""alpha"": 8.471801418819979}",0.04967577249699251,0.29124646630514495,0.728962429253024,0.46545401352338606,0.031034169622816046,24
Ridge,8,0.7847340430685149,"{""alpha"": 29.154431891537552}",0.0488476056662861,0.2863282461239452,0.7222507737912017,0.4683040911974074,0.0314575943503916,24
Ridge,2,0.7825126673227514,"{""alpha"": 63.512210106407046}",0.05037611837254463,0.29190477891976924,0.7182986083606985,0.46714749427755775,0.03166042624389275,24
