year_month,strategy_ret
2017-10,-0.026577400896860143
2017-11,0.010653699730052802
2017-12,0.007279747443317403
2018-01,0.007600672208322088
2018-02,-0.004091558779500755
2018-03,-0.04509218239649241
2018-04,0.03308871937937332
2018-05,-0.08281338050614034
2018-06,0.0037165270535772423
2018-07,-0.039783500663841266
2018-08,0.022535809377822444
2018-09,-0.07342372126716318
2018-10,0.01581111746514688
2018-11,-0.027682017922938503
2018-12,0.04737267707888026
2019-01,0.15588516145689552
2019-02,0.06088490190981864
2019-03,-0.013462911592273731
2019-04,-0.05190777998714664
2019-05,0.05404973473613322
2019-06,0.03380499033563684
2019-07,0.012602574944858237
2019-08,0.012607212765103043
2019-09,0.019590927521055658
2019-10,0.010379934298283046
2019-11,0.08844895590104891
2019-12,0.029208874188318155
2020-01,0.0033519345368627313
2020-02,-0.09208845403015561
2020-03,0.10346083579585448
2020-04,0.02430256908260105
2020-05,0.10539153282248684
2020-06,0.1587785819930371
2020-07,0.008219359186608854
2020-08,-0.01455015862124405
2020-09,0.0033115266558358175
2020-10,0.0824632836537383
2020-11,0.07503110129090682
2020-12,0.06030357019923444
2021-01,-0.034812645270245204
2021-02,-0.02076578097169495
2021-03,0.09655514552537804
2021-04,0.06700714440617082
2021-05,0.030087572594722167
2021-06,-0.024197391234937995
2021-07,0.06208852285282915
2021-08,-0.02108767596223673
2021-09,-0.0009353263003319326
2021-10,-0.01173537193597411
2021-11,0.019713412113814246
2021-12,-0.07787981132689581
2022-01,0.06071892005520092
2022-02,-0.07723189082928583
2022-03,-0.04399379714474004
2022-04,0.07246010853151205
2022-05,0.07872611110415927
2022-06,-0.03184756323399446
2022-07,-0.0032962738027274485
2022-08,-0.06412972831498544
2022-09,-0.03766220899426257
2022-10,0.05957108401270844
2022-11,-0.027470725155417937
2022-12,0.06826011223155964
2023-01,0.10295973546571704
2023-02,0.07274305186595115
2023-03,0.03934159589702891
2023-04,-0.01994774580731828
2023-05,0.008862198538122347
2023-06,0.062409013447195384
2023-07,-0.03796600294663126
2023-08,-0.005284685252680444
2023-09,0.00014651673607894039
2023-10,-0.001594777552813704
2023-11,0.008942850514399494
2023-12,-0.0810253955452388
2024-01,0.1253990806524205
2024-02,0.03605746103768513
2024-03,0.029122160050623104
2024-04,0.011283119669017724
2024-05,-0.033923290645705345
2024-06,0.0363523713676869
2024-07,-0.054823216895353896
2024-08,0.26835170180063883
2024-09,0.008317678238965006
2024-10,0.03926787717447197
2024-11,0.001447872793559625
2024-12,-0.050109067024277885
2025-01,0.02925983425968201
2025-02,-0.02286404304871098
2025-03,-0.02376419642376091
2025-04,0.01879844316262163
2025-05,0.021814994440464985
2025-06,0.0480330136045093
2025-07,0.11827943941507965
2025-08,0.030000987351621735
2025-09,0.005836907463217097
2025-10,-0.03934797973616004
2025-11,0.04834359517620581
