Feature,Importance
ABTURN_1M,0.07005175
TURN_1M,0.06875815
BP,0.06635661
MOM_12_1,0.06460027
OCF_QUALITY,0.0636091
SIZE,0.063464396
AMIHUD,0.06312003
ROE_TTM,0.06213963
SP,0.06188296
IVOL,0.061592568
ASSET_GROWTH,0.061143044
BETA_60D,0.060595054
VOL_20D,0.060077447
GPM_change,0.05842853
REV_1M,0.057363395
EP,0.05681705
