year_month,strategy_ret
2017-10,-0.009648319798130332
2017-11,0.02899349940500176
2017-12,-0.0017634658251593851
2018-01,-0.011424832673025359
2018-02,-0.004857366835822481
2018-03,-0.02137017150636692
2018-04,0.01525882736186045
2018-05,-0.06772757740410484
2018-06,0.001186858841568475
2018-07,-0.05725620055070253
2018-08,0.01917820344803571
2018-09,-0.07989170092073854
2018-10,0.025073178780352957
2018-11,-0.025978286621705517
2018-12,0.0592523446255659
2019-01,0.14752990128643717
2019-02,0.08781092995813705
2019-03,0.009788527942750832
2019-04,-0.06705162875588491
2019-05,0.057301717509695385
2019-06,0.023762472276242695
2019-07,0.009547995703924181
2019-08,0.015030215566628917
2019-09,0.04522405188492321
2019-10,-0.005089074864594338
2019-11,0.07290176666694052
2019-12,0.033825705133552354
2020-01,-0.0041301915381397256
2020-02,-0.09138663408113867
2020-03,0.10183088578397784
2020-04,0.009318254186043595
2020-05,0.11594063553833142
2020-06,0.13439876303669848
2020-07,0.008912036552557935
2020-08,-0.02276518204062533
2020-09,0.023151717994710934
2020-10,0.11501346540245364
2020-11,0.08163771828660152
2020-12,0.044532865434517566
2021-01,-0.012806088357926525
2021-02,-0.054592293741839513
2021-03,0.09978776351645963
2021-04,0.08548658628221507
2021-05,0.021131705177116614
2021-06,-0.0073362281649890304
2021-07,0.04905907745987691
2021-08,-0.03505104540814059
2021-09,0.01619153243147191
2021-10,0.019888969716567718
2021-11,0.025338270653569736
2021-12,-0.10075422317451843
2022-01,0.03647745025044192
2022-02,-0.09834229663334122
2022-03,-0.06670753521251015
2022-04,0.09126878114334501
2022-05,0.08761256506436499
2022-06,-0.004266764964812725
2022-07,-0.021030482195500747
2022-08,-0.06853348025281082
2022-09,-0.0290886117566073
2022-10,0.035967248215493415
2022-11,-0.03442451430037286
2022-12,0.06966987048029144
2023-01,0.08679043252805363
2023-02,0.08159775583827503
2023-03,0.005650351219509195
2023-04,-0.05301053128191866
2023-05,0.022497235665719165
2023-06,0.015604995050446092
2023-07,-0.049931974534856045
2023-08,-0.0070699990465926035
2023-09,-0.026124347696732865
2023-10,0.0017423802711359088
2023-11,-0.016645663903749764
2023-12,-0.05508387104847982
2024-01,0.14231991882360792
2024-02,0.04192147619549733
2024-03,0.031208720814559516
2024-04,0.018995492083609605
2024-05,-0.02557322901123818
2024-06,0.001386517524927911
2024-07,-0.0412774352660005
2024-08,0.23807825245941439
2024-09,-0.013121932742388088
2024-10,0.029265196470557767
2024-11,-0.018788016304174142
2024-12,-0.015691533171461068
2025-01,0.0514844890802087
2025-02,-0.026804121949893095
2025-03,-0.04962522528223793
2025-04,0.016139689084323856
2025-05,0.049328846248658215
2025-06,0.05250410610880159
2025-07,0.1546408607206271
2025-08,0.02473866526333257
2025-09,0.0069191155901291105
2025-10,-0.049186446063914604
2025-11,0.04427057113136561
