Model,Ann_Return,Ann_Vol,Sharpe,Max_Drawdown,Monthly_WinRate,Months,Avg_Turnover,Benchmark_Ann_Return,Excess_Ann_Return,Tracking_Error,Info_Ratio,RankIC_Mean
LightGBM-tuned,0.1890339926566451,0.2065554548322709,0.9151730841973952,-0.21567199559800299,0.5918367346938775,98.0,0.7190422081778114,0.017860247584018607,0.1676098094841838,0.1022831061608859,1.6386851727062577,0.020543081194805465
CatBoost-tuned,0.19839005349034688,0.21026628888691176,0.9435181195262722,-0.20567394173636133,0.6020408163265306,98.0,0.6905198077566753,0.017860247584018607,0.17702433603903955,0.10587729815469939,1.6719763266001164,0.021438945326997354
XGBoost-tuned,0.1960067386688864,0.20805322720332903,0.9420990066033935,-0.2323568126602168,0.5714285714285714,98.0,0.6569333666990967,0.017860247584018607,0.17401890626964267,0.10882166785959631,1.5991200070023281,0.02357233850822748
RandomForest-tuned,0.22026858911257863,0.21467024073905983,1.0260788284125688,-0.22836143830967315,0.6122448979591837,98.0,0.5852705300285721,0.017860247584018607,0.19920289744919795,0.11104002961532394,1.7939737420756883,0.026650292550176903
Ridge-tuned,0.20881214693207584,0.20153279551643022,1.0361199347083545,-0.18728661150556836,0.6326530612244898,98.0,0.47084174177784593,0.017860247584018607,0.18607464569241006,0.0993760724615922,1.872429057450685,0.019836771544521705
