year_month,stock_code,score,ret_next_month,weight
2015-07,601009,0.8699929079967306,-0.07679063360881544,0.02
2015-07,600233,0.669457086945414,-0.09651541739784408,0.02
2015-07,000408,0.61874995495405,-0.2540545790035933,0.02
2015-07,002352,0.6069217787535088,-0.12453392990305734,0.02
2015-07,601100,0.6024586152942504,-0.05290581162324648,0.02
2015-07,002179,0.5594537103442121,-0.19814541428307797,0.02
2015-07,002311,0.5514664423031265,-0.2547730547550433,0.02
2015-07,603993,0.5003882359442143,-0.2012195121951219,0.02
2015-07,300347,0.47672495884308846,-0.17077051017825506,0.02
2015-07,000617,0.3981826930730845,0.1149149149149149,0.02
2015-07,002422,0.3814322419885082,-0.17952883834281064,0.02
2015-07,002466,0.37596401400328,-0.017664061663633324,0.02
2015-07,000975,0.3679427971704468,-0.20278099652375448,0.02
2015-07,000301,0.3669160806978621,-0.12757201646090544,0.02
2015-07,600160,0.3627351720635624,0.04147619578548323,0.02
2015-07,603369,0.360300891783076,-0.17044025157232712,0.02
2015-07,002460,0.34793484379256784,-0.013530326594090147,0.02
2015-07,002736,0.3346422612612814,-0.29508196721311475,0.02
2015-07,601058,0.32736075594531183,-0.18154761904761907,0.02
2015-07,601238,0.3269519574591727,-0.03004926108374384,0.02
2015-07,000983,0.3078429294937159,-0.08855345911949697,0.02
2015-07,000596,0.28065417923856445,-0.18461781427668977,0.02
2015-07,600176,0.27164513807578317,-0.1278682781572955,0.02
2015-07,002709,0.26468052725752717,-0.13367819221344945,0.02
2015-07,002600,0.2556342419821891,-0.09168303863785199,0.02
2015-07,600803,0.25319559522576507,-0.08417863259122649,0.02
2015-07,601939,0.24671952578335232,-0.14414414414414423,0.02
2015-07,603288,0.2412268109252383,-0.0595004688432359,0.02
2015-07,600760,0.23812304231454376,-0.11927642736009036,0.02
2015-07,300014,0.23410020852423735,-0.0536467116357503,0.02
2015-07,002236,0.23010402358398166,-0.11759075068427582,0.02
2015-07,601998,0.22970760817528427,-0.15838509316770177,0.02
2015-07,601669,0.21968694957511645,-0.20742753623188404,0.02
2015-07,300308,0.2151692761948279,-0.271748135874068,0.02
2015-07,002230,0.2073373831558876,-0.25864524928019395,0.02
2015-07,300122,0.20733533613560778,-0.22571428571428576,0.02
2015-07,600023,0.2050166992462398,-0.05555555555555547,0.02
2015-07,002049,0.17737580669606468,-0.20555198973042366,0.02
2015-07,002384,0.16848148221637063,-0.09897769516728616,0.02
2015-07,000063,0.16007042927620882,-0.1616748532406853,0.02
2015-07,600188,0.14364867504837794,-0.17278063096111518,0.02
2015-07,600010,0.1396409109212562,-0.09593246354566387,0.02
2015-07,000002,0.1229689728453908,-0.02679632887916683,0.02
2015-07,600893,0.11126178009619941,-0.1154815670622833,0.02
2015-07,002648,0.11082231132429467,-0.3089627017999629,0.02
2015-07,000661,0.10133341516695102,-0.3135410624015912,0.02
2015-07,601186,0.0925662682569303,-0.16149732620320856,0.02
2015-07,601988,0.08971056400425739,-0.13273001508295623,0.02
2015-07,600161,0.08672231061617182,-0.050240478356948004,0.02
2015-07,601225,0.08631012436954713,-0.17806041335453104,0.02
2015-08,601600,0.7787925504533876,-0.12979890310786102,0.02
2015-08,601111,0.7414935761234366,-0.025149700598802283,0.02
2015-08,600362,0.7277896183400625,-0.04686752749880441,0.02
2015-08,601607,0.7273935862152836,-0.06939501779359436,0.02
2015-08,600875,0.6110773368582507,-0.04132231404958686,0.02
2015-08,600028,0.601787278680727,-0.024958402662229484,0.02
2015-08,000338,0.5434291807727838,-0.09654731457800503,0.02
2015-08,600029,0.5278283273482707,-0.07235338918507239,0.02
2015-08,600089,0.4900641296552949,-0.08346647425655818,0.02
2015-08,000100,0.43297823021382364,-0.07793345008756569,0.02
2015-08,000807,0.42378185375655986,-0.13145258103241297,0.02
2015-08,600219,0.40897142797454644,0.0201691607026675,0.02
2015-08,601939,0.4058123116334408,0.0013157894736843812,0.02
2015-08,000725,0.401837496118222,-0.09141660851360789,0.02
2015-08,000063,0.3969264834944632,-0.06863165416220074,0.02
2015-08,600600,0.34433757728683323,-0.041934890564649496,0.02
2015-08,002422,0.34192015228935224,-0.09257425742574255,0.02
2015-08,600011,0.3335881701251503,-0.04531886024423337,0.02
2015-08,600585,0.3288907418913504,-0.07821001088139279,0.02
2015-08,600031,0.31057237674350224,-0.07825920367827832,0.02
2015-08,600050,0.30521033409350873,-0.08258706467661692,0.02
2015-08,601766,0.2887062367767092,-0.025050778605280932,0.02
2015-08,002648,0.26190080322177345,-0.03839957035445751,0.02
2015-08,601006,0.25545376840050105,-0.12353347135955839,0.02
2015-08,000768,0.2509717836491037,-0.2031997930053041,0.02
2015-08,601857,0.2472888961250747,-0.07245080500894463,0.02
2015-08,600019,0.23688858276807162,-0.020321761219305734,0.02
2015-08,600115,0.23572992899582076,-0.06507177033492817,0.02
2015-08,601012,0.2263138181901829,-0.04094126650086094,0.02
2015-08,600027,0.22563657090395298,-0.06445993031358888,0.02
2015-08,000776,0.21378283836150858,-0.02673877121826629,0.02
2015-08,600588,0.21026786405132994,-0.06685201366272153,0.02
2015-08,601601,0.2091335885722982,-0.018497109826589586,0.02
2015-08,000876,0.20901638039332426,-0.15321100917431185,0.02
2015-08,601336,0.20010044652236492,-0.070959595959596,0.02
2015-08,601988,0.19891303359357299,-0.034782608695652195,0.02
2015-08,601899,0.19427700867561043,-0.05031446540880502,0.02
2015-08,000157,0.17935067115394776,-0.13216123499142374,0.02
2015-08,601800,0.17838345726978258,-0.02765957446808498,0.02
2015-08,000895,0.17650267120879823,-0.021681209618330755,0.02
2015-08,000333,0.1709579190524193,-0.12364060072501293,0.02
2015-08,601668,0.16211222616874335,-0.05625879043600568,0.02
2015-08,601688,0.16102613074735894,-0.0462610899873257,0.02
2015-08,601398,0.1545142422639888,0.030595813204508993,0.02
2015-08,000792,0.14363677840646555,-0.07258566978193137,0.02
2015-08,601288,0.14256230133672065,0.01298701298701288,0.02
2015-08,601360,0.1342853127184446,-0.10351718625099915,0.02
2015-08,601669,0.13318988187559982,-0.053714285714285825,0.02
2015-08,601318,0.13225839982548138,-0.008142340168878048,0.02
2015-08,000166,0.12997935196263508,-0.08626198083067094,0.02
2015-09,601628,0.5327482272862873,0.037354352296093296,0.02
2015-09,601360,0.5291603860348009,0.24565314311190378,0.02
2015-09,603799,0.5115496290784798,0.29774872912127814,0.02
2015-09,601601,0.4812008271291672,0.11111111111111116,0.02
2015-09,601336,0.4647266959476587,0.1861918999728187,0.02
2015-09,600845,0.4516333894931016,0.22857142857142865,0.02
2015-09,600362,0.4341268765336373,0.08228800802809833,0.02
2015-09,000807,0.4295313614178512,0.21423635107118177,0.02
