Model,Ann_Return,Ann_Vol,Sharpe,Max_Drawdown,Monthly_WinRate,Months,Avg_Turnover,Benchmark_Ann_Return,Excess_Ann_Return,Tracking_Error,Info_Ratio,Model_Family,RankIC_Mean
LightGBM-default,0.15373427099655124,0.19990517100177627,0.769035989545189,-0.2558413578866745,0.5510204081632653,98.0,0.7708202459762954,0.017860247584018607,0.13143891244238315,0.10231346913366773,1.284668710340223,LightGBM,0.020488165631774132
RandomForest-default,0.1856773123695068,0.2093760777542577,0.8868124494500949,-0.20581409460586908,0.5816326530612245,98.0,0.759712128946855,0.017860247584018607,0.16564786768193018,0.09666647722102067,1.7136019894796488,RandomForest,0.020600594638043822
Ridge-default,0.1925081082707838,0.20639035225540983,0.9327379219381018,-0.20119200112310542,0.5918367346938775,98.0,0.4675296202678453,0.017860247584018607,0.17088695285729472,0.101288079377457,1.6871378538087658,Ridge,0.014330824103251651
