Factor,IC_mean,IC_std,ICIR,IC>0_pct,N_days
REV_1D,0.010790175290009849,0.15425476642241623,0.06995035252565023,0.5249343832020997,2667
MOM_5D,-0.024975368850147863,0.15773332115334165,-0.15833920612035973,0.4389785955689072,2663
MOM_20D,-0.03666916027796737,0.17359903336793633,-0.2112290579420942,0.42560422960725075,2648
MOM_60D,-0.03328525299144975,0.18584293152099085,-0.17910421837964927,0.44133435582822084,2608
VOL_20D,-0.03879270810697701,0.20422701588794268,-0.1899489542963414,0.4251790425932906,2653
TURN_5D,-0.04546468317650779,0.19402820530903028,-0.23431996963583632,0.3994748687171793,2666
TURN_20D,-0.03946231035365262,0.20009504469237274,-0.19721782922871578,0.42162773172569706,2654
AMIHUD_20D,0.046486617552032095,0.12827660907894448,0.36239356407856965,0.6385224274406333,2653
VOLUME_RATIO_5_20,-0.007637694102890474,0.11711244406529177,-0.06521675953267918,0.4660889223813112,2654
BIAS_20,-0.03274199760499199,0.17036362478090158,-0.19218889975545114,0.4231348907309721,2654
RANGE_20D,-0.02867152407458504,0.19677003267413248,-0.14571082641464753,0.43443858327053503,2654
SIZE,0.019095950937408433,0.10620514407953204,0.17980250488722443,0.5678410794602698,2668
BETA_60D,-0.003102832955762294,0.23081860465702503,-0.013442733354933912,0.4950532724505327,2628
