date,strategy_ret,gross_ret,turnover,n_holdings
2018-02-05,-0.010677052312652095,-0.007677052312652095,1.0,50
2018-02-12,0.05025961051716726,0.05229961051716726,0.68,50
2018-02-26,0.03642969932358455,0.038409699323584554,0.66,50
2018-03-05,0.059976689175023516,0.06165668917502352,0.56,50
2018-03-12,-0.02240203859757398,-0.02078203859757398,0.54,50
2018-03-19,0.007971426334512666,0.009231426334512667,0.42,50
2018-03-26,0.035537185914439766,0.03721718591443977,0.56,50
2018-04-02,-0.000945429280905175,0.0010945707190948251,0.68,50
2018-04-11,-0.00519220838986426,-0.00351220838986426,0.56,50
2018-04-18,0.01718513525089681,0.01856513525089681,0.46,50
2018-04-25,0.008442380395562575,0.010002380395562576,0.52,50
2018-05-04,0.023805255763228065,0.025245255763228065,0.48,50
2018-05-11,0.023503018799163104,0.025063018799163103,0.52,50
2018-05-18,0.008038163623483727,0.009538163623483727,0.5,50
2018-05-25,-0.016699614943514306,-0.014959614943514306,0.58,50
2018-06-01,0.024244762251098173,0.02598476225109817,0.58,50
2018-06-08,-0.03904833230640588,-0.03748833230640588,0.52,50
2018-06-15,-0.05898293035213443,-0.05694293035213443,0.68,50
2018-06-25,0.021805421089774617,0.02372542108977462,0.64,50
2018-07-02,0.021946629171290165,0.023386629171290165,0.48,50
2018-07-09,0.028096580095306436,0.029776580095306437,0.56,50
2018-07-16,0.0019353217047977048,0.003975321704797705,0.68,50
2018-07-23,-0.009023603521233086,-0.0072236035212330865,0.6,50
2018-07-30,-0.05068611861278953,-0.04864611861278953,0.68,50
2018-08-06,0.03839615561495061,0.039896155614950614,0.5,50
2018-08-13,-0.03235291555820712,-0.030972915558207123,0.46,50
2018-08-20,0.031230060326169876,0.033210060326169875,0.66,50
2018-08-27,-0.03706303974464196,-0.03496303974464196,0.7,50
2018-09-03,-0.02834631287118419,-0.02660631287118419,0.58,50
2018-09-10,-0.006584212393605595,-0.004724212393605595,0.62,50
2018-09-17,0.042961218230328294,0.045001218230328294,0.68,50
2018-09-25,-0.01212989230670769,-0.00978989230670769,0.78,50
2018-10-09,-0.076505765971241,-0.07512576597124099,0.46,50
2018-10-16,0.03542762680811226,0.03764762680811226,0.74,50
2018-10-23,0.03741671796341444,0.03981671796341444,0.8,50
2018-10-30,0.060303385813257886,0.062163385813257886,0.62,50
2018-11-06,0.02675086166033187,0.02855086166033187,0.6,50
2018-11-13,-0.0064416301144442165,-0.004641630114444217,0.6,50
2018-11-20,-0.013703551054387305,-0.011723551054387306,0.66,50
2018-11-27,0.01748937826643737,0.01934937826643737,0.62,50
2018-12-04,-0.0059482641893646455,-0.0039682641893646455,0.66,50
2018-12-11,-0.026262060869894115,-0.024522060869894117,0.58,50
