Label,Ann_Return,Ann_Vol,Sharpe,Max_Drawdown,WinRate,Periods,Avg_Turnover,Benchmark_Ann_Return,Excess_Ann_Return,Tracking_Error,Info_Ratio
IC-weight,0.15048528835771346,0.19868882660891835,0.7573918016734554,-0.34602792491824075,0.5699152542372882,472,0.3417372881355932,0.016749703703405894,0.12165039980097281,0.10537368820178634,1.1544665644427023
IC-weight size-neutral,0.13745771626028702,0.1987437377944117,0.6916329429331688,-0.3141988798251957,0.565677966101695,472,0.34796610169491526,0.016749703703405894,0.1094546074449061,0.10114356545356053,1.082170743675845
Ridge,0.36469392462976824,0.27215229495069165,1.3400361907506355,-0.3092969521456924,0.5848563968668408,383,0.3563446475195823,0.028580753767303957,0.32851498261311374,0.1254878197358728,2.6179033415719006
Ridge size-neutral,0.2686582151445327,0.2640675353381648,1.0173844914350758,-0.3316751982711259,0.5587467362924282,383,0.4424543080939948,0.028580753767303957,0.2333911694744666,0.12033696331485853,1.9394802980344839
LightGBM,0.40707757521083243,0.30644929844921887,1.3283684357276755,-0.28452429722906114,0.577023498694517,383,0.5796344647519582,0.028580753767303957,0.37912524116367075,0.14353184689945792,2.6414015380798572
