date,REV_1D,MOM_5D,MOM_20D,MOM_60D,VOL_20D,TURN_5D,TURN_20D,AMIHUD_20D,VOLUME_RATIO_5_20,BIAS_20,RANGE_20D,SIZE,BETA_60D
2016-04-15,0.002516589832424357,-0.10862201039455788,-0.15685877180604743,-0.135672558134874,-0.020524620259774796,-0.0618215199346058,-0.034153857617436514,0.10534199970593505,-0.04898702270494627,-0.14778910885999264,-0.006118135132342654,0.09012063280823997,0.08147317280882269
2016-04-22,0.005501071186071272,-0.11110152007049418,-0.15576378225517296,-0.13175289916877986,-0.017571803432827972,-0.06403166813754863,-0.035936378875344475,0.11144490634079866,-0.051789399094815634,-0.1469938779679482,-0.0001884038920245556,0.09278072388776282,0.07514356569041075
2016-04-29,0.004204911206439822,-0.10958934734398512,-0.15226875647797303,-0.12881354223259806,-0.011448982659038102,-0.06090368312749573,-0.032400840972539154,0.12049110026225265,-0.049680704839523894,-0.14272786258383877,0.005999048280043047,0.10141312954149527,0.08005809047277732
2016-05-09,0.002586293153875343,-0.10586301853295044,-0.1507887333482606,-0.13238753693052024,-0.01882322258579783,-0.06758657513247927,-0.04223669614365206,0.12360654679828009,-0.042564879788654524,-0.138084740130417,-0.0009973106093171696,0.09922772873114984,0.0752467181146456
2016-05-16,0.001173885611786885,-0.1079245818137511,-0.15176476688953067,-0.138534197066284,-0.023433537453413613,-0.06546148620377451,-0.04160050042071555,0.12085915721740982,-0.03800743429430798,-0.13788608211358847,-0.00053921895548349,0.10083215964175386,0.0719829923182001
2016-05-23,0.005638684865892647,-0.11233608261230735,-0.15267421653385652,-0.14061445095972078,-0.02239719855237707,-0.06230221800335336,-0.03748796704273295,0.11396172760395376,-0.04057814544428581,-0.14141269646391375,0.0001835031299495059,0.09909699218276014,0.07131611660489615
2016-05-30,0.002221831978268784,-0.11216222971718058,-0.15612187565453137,-0.1453084250948482,-0.01787675318353368,-0.05395519421837555,-0.02810655627904115,0.10922332512815909,-0.04024282169995733,-0.14479243851608342,0.006852427772985169,0.10172493057547347,0.0814111901815621
2016-06-06,0.0020728284442941814,-0.11635663955845431,-0.16075234549455902,-0.14573799072362154,-0.016411541547580195,-0.048624388241507166,-0.023439801779816583,0.1054718610894541,-0.04152629876268269,-0.1502409446258091,0.005706610050360825,0.09930668896147007,0.0843520607203902
2016-06-15,-0.0001679230448267662,-0.11370906396161488,-0.15162141913031973,-0.14053365752607083,-0.0033705255067484775,-0.04180961697444693,-0.014516476293114517,0.11582442112526076,-0.04297138711977188,-0.14323383193680359,0.024493408778975368,0.11142022069571307,0.09632804790633319
2016-06-22,-0.0021412582253125425,-0.11256339038304648,-0.14762923811286888,-0.13687570879073044,0.006698961937955161,-0.0362269289090137,-0.00724979601860948,0.11485113114742158,-0.04966156643043803,-0.14028953115188642,0.030353041200833288,0.11336509607954323,0.10209435161234078
