date,strategy_ret,gross_ret,turnover,n_holdings
2018-02-05,-0.03782406995156639,-0.03482406995156639,1.0,50
2018-02-12,0.050678881763041236,0.052778881763041234,0.7,50
2018-02-26,0.04374696672054942,0.04554696672054942,0.6,50
2018-03-05,0.04576236890862917,0.04768236890862917,0.64,50
2018-03-12,-0.02199756299621371,-0.01995756299621371,0.68,50
2018-03-19,0.0026874145081599355,0.0048474145081599355,0.72,50
2018-03-26,0.04389366405805005,0.04539366405805005,0.5,50
2018-04-02,0.000584525655025029,0.002204525655025029,0.54,50
2018-04-11,-0.013217640288026977,-0.011117640288026977,0.7,50
2018-04-18,0.013298675850119126,0.015398675850119125,0.7,50
2018-04-25,0.005738270096609242,0.007538270096609241,0.6,50
2018-05-04,0.03090285680687973,0.03276285680687973,0.62,50
2018-05-11,0.011925839585791622,0.013725839585791622,0.6,50
2018-05-18,-0.009748965833095353,-0.007948965833095354,0.6,50
2018-05-25,-0.003354723901231074,-0.0015547239012310742,0.6,50
2018-06-01,0.01585067564628073,0.017650675646280728,0.6,50
2018-06-08,-0.041698299631373774,-0.03989829963137377,0.6,50
2018-06-15,-0.04576699623752786,-0.04396699623752786,0.6,50
2018-06-25,0.020139639635722316,0.022299639635722315,0.72,50
2018-07-02,0.011952376716741852,0.013812376716741853,0.62,50
2018-07-09,0.02734304462127148,0.02926304462127148,0.64,50
2018-07-16,-0.011103923977223673,-0.009183923977223674,0.64,50
2018-07-23,-0.01406532550146757,-0.01190532550146757,0.72,50
2018-07-30,-0.053907714251943,-0.051867714251942997,0.68,50
2018-08-06,0.03054208716348573,0.03252208716348573,0.66,50
2018-08-13,-0.03481883664532448,-0.03283883664532448,0.66,50
2018-08-20,0.03466168185623713,0.03616168185623713,0.5,50
2018-08-27,-0.02532908605223694,-0.02340908605223694,0.64,50
2018-09-03,-0.02394913314156879,-0.02190913314156879,0.68,50
2018-09-10,-0.0059562830207688855,-0.004276283020768885,0.56,50
2018-09-17,0.031574297732502525,0.033314297732502524,0.58,50
2018-09-25,-0.013191527737962172,-0.011271527737962172,0.64,50
2018-10-09,-0.07773549179651594,-0.07581549179651594,0.64,50
2018-10-16,0.014172012176094583,0.016272012176094582,0.7,50
2018-10-23,0.053827613543404214,0.055807613543404216,0.66,50
2018-10-30,0.060982676133878984,0.06224267613387898,0.42,50
2018-11-06,0.017916476522247978,0.019716476522247978,0.6,50
2018-11-13,-0.009875476197285247,-0.007655476197285247,0.74,50
2018-11-20,-0.02071926952109482,-0.01849926952109482,0.74,50
2018-11-27,0.0193684164083668,0.021288416408366803,0.64,50
2018-12-04,-0.013981843135290425,-0.012241843135290425,0.58,50
2018-12-11,-0.02601684551173238,-0.02427684551173238,0.58,50
2018-12-18,-0.014566397505184155,-0.012946397505184155,0.54,50
2018-12-25,-0.03206484161097679,-0.030264841610976784,0.6,50
2019-01-03,0.062647405082482,0.06462740508248199,0.66,50
2019-01-10,0.0027581836963793114,0.004318183696379312,0.52,50
2019-01-17,0.02383011795172687,0.02569011795172687,0.62,50
2019-01-24,-0.023340661605303292,-0.02166066160530329,0.56,50
2019-01-31,0.08169403370216219,0.08331403370216219,0.54,50
2019-02-14,0.041277988039393046,0.043017988039393044,0.58,50
2019-02-21,0.11479139107891033,0.11671139107891033,0.64,50
2019-02-28,0.07682801936354619,0.07826801936354619,0.48,50
2019-03-07,-0.007179403655391187,-0.005619403655391186,0.52,50
2019-03-14,0.03168356242676786,0.03372356242676786,0.68,50
2019-03-21,-0.030073363657872023,-0.028333363657872025,0.58,50
2019-03-28,0.0924814074448813,0.0942214074448813,0.58,50
2019-04-04,-0.016599684947386745,-0.015099684947386744,0.5,50
2019-04-12,0.005586991203198372,0.006966991203198372,0.46,50
2019-04-19,-0.062046323885764254,-0.06054632388576425,0.5,50
2019-04-26,-0.0822077245857088,-0.08046772458570879,0.58,50
2019-05-08,0.030781741936037135,0.032701741936037136,0.64,50
2019-05-15,-0.017534411508079308,-0.016454411508079306,0.36,50
2019-05-22,0.0026832806387874384,0.0037032806387874385,0.34,50
2019-05-29,-0.023126945873447304,-0.022046945873447302,0.36,50
2019-06-05,0.027095151220607516,0.028535151220607517,0.48,50
2019-06-13,0.012599255872772391,0.01349925587277239,0.3,50
2019-06-20,0.017486000877843882,0.01844600087784388,0.32,50
2019-06-27,0.013751341622023449,0.014651341622023448,0.3,50
2019-07-04,-0.025238359998646223,-0.024098359998646224,0.38,50
2019-07-11,0.0006872797716007072,0.0017672797716007072,0.36,50
2019-07-18,-0.00818931884331831,-0.006689318843318311,0.5,50
2019-07-25,-0.013104842549094027,-0.011604842549094028,0.5,50
2019-08-01,-0.025826098437159675,-0.024566098437159675,0.42,50
2019-08-08,0.006503836686851282,0.007883836686851282,0.46,50
2019-08-15,0.04782019949086251,0.04908019949086251,0.42,50
2019-08-22,0.012787444073755068,0.013627444073755069,0.28,50
2019-08-29,0.024414649156002055,0.025194649156002055,0.26,50
2019-09-05,0.032076059854406196,0.03315605985440619,0.36,50
2019-09-12,-0.013744613818614148,-0.012784613818614147,0.32,50
2019-09-20,-0.005361697584340745,-0.004521697584340745,0.28,50
2019-09-27,0.012036212636554681,0.012996212636554682,0.32,50
2019-10-11,-0.024155546469983365,-0.022835546469983363,0.44,50
2019-10-18,0.013140560025387498,0.0141005600253875,0.32,50
2019-10-25,-0.016593189668953703,-0.015033189668953704,0.52,50
2019-11-01,-0.0030255389439297893,-0.0012255389439297893,0.6,50
2019-11-08,-0.03017852027120642,-0.02915852027120642,0.34,50
2019-11-15,0.006714166884681255,0.008094166884681255,0.46,50
2019-11-22,-0.004372699646981399,-0.0035926996469813986,0.26,50
2019-11-29,0.027340728915721483,0.028720728915721482,0.46,50
2019-12-06,0.026837491771948947,0.02773749177194895,0.3,50
2019-12-13,0.015513879428603277,0.016413879428603277,0.3,50
2019-12-20,0.001602130325221943,0.002562130325221943,0.32,50
2019-12-27,0.05843641518610994,0.059516415186109936,0.36,50
2020-01-06,0.03209412999062338,0.033054129990623383,0.32,50
2020-01-13,0.022124148253057564,0.023204148253057565,0.36,50
2020-01-20,-0.082538208365613,-0.081578208365613,0.32,50
2020-02-04,0.07898149444853615,0.08078149444853615,0.6,50
2020-02-11,0.11007292551078446,0.11079292551078446,0.24,50
2020-02-18,0.03942116518266438,0.040501165182664375,0.36,50
2020-02-25,-0.04453788053985327,-0.04333788053985327,0.4,50
2020-03-03,0.027618479368314852,0.028938479368314854,0.44,50
2020-03-10,-0.07774403118075278,-0.07654403118075277,0.4,50
2020-03-17,-0.019875622877188668,-0.01867562287718867,0.4,50
2020-03-24,-0.02984253916650224,-0.02882253916650224,0.34,50
2020-03-31,0.07543275405382138,0.07651275405382138,0.36,50
2020-04-08,-0.016033974579347358,-0.015073974579347359,0.32,50
2020-04-15,0.04811547054571505,0.04937547054571505,0.42,50
2020-04-22,-0.028819240681083495,-0.027559240681083494,0.42,50
2020-04-29,0.05817831796656201,0.05949831796656201,0.44,50
2020-05-11,0.005583448068960587,0.006723448068960587,0.38,50
2020-05-18,-0.02860242197933808,-0.027702421979338077,0.3,50
2020-05-25,0.06913308878530482,0.07033308878530482,0.4,50
2020-06-01,0.009997311900177773,0.011257311900177773,0.42,50
2020-06-08,0.009764270989601436,0.010844270989601435,0.36,50
2020-06-15,0.03912338005160122,0.040083380051601225,0.32,50
2020-06-22,0.03565178767657201,0.03703178767657201,0.46,50
2020-07-01,0.10694406398078331,0.1080240639807833,0.36,50
2020-07-08,0.012906333120981927,0.014586333120981928,0.56,50
2020-07-15,-0.015665051362512387,-0.01434505136251239,0.44,50
2020-07-22,-0.0022133523695759194,-0.0010133523695759195,0.4,50
2020-07-29,0.05976758862150741,0.060727588621507414,0.32,50
2020-08-05,-0.03127097337441889,-0.03031097337441889,0.32,50
2020-08-12,0.005602284295859442,0.007042284295859442,0.48,50
2020-08-19,-0.03904756396951775,-0.03772756396951775,0.44,50
2020-08-26,0.04031306269822078,0.041513062698220776,0.4,50
2020-09-02,-0.0649571386489528,-0.0637571386489528,0.4,50
2020-09-09,0.010542443794675244,0.011802443794675245,0.42,50
2020-09-16,0.04113966664786019,0.042039666647860185,0.3,50
2020-09-23,0.013713705855749153,0.015153705855749154,0.48,50
2020-09-30,0.047359899841627584,0.048379899841627584,0.34,50
2020-10-15,-0.01576249576027782,-0.014322495760277823,0.48,50
2020-10-22,0.006031661798212877,0.007231661798212876,0.4,50
2020-10-29,0.03582651113412344,0.03696651113412344,0.38,50
2020-11-05,-0.02199714871614317,-0.02061714871614317,0.46,50
2020-11-12,0.006919970299650864,0.008059970299650865,0.38,50
2020-11-19,-0.014587079621708035,-0.013387079621708035,0.4,50
2020-11-26,0.018380906321435266,0.019340906321435265,0.32,50
2020-12-03,-0.0018820203418602923,-0.0008620203418602923,0.34,50
2020-12-10,0.01828757494253595,0.01924757494253595,0.32,50
2020-12-17,-0.025262599242554737,-0.024302599242554738,0.32,50
2020-12-24,0.039091546335180624,0.040291546335180624,0.4,50
2020-12-31,-0.03885225942731887,-0.03813225942731887,0.24,50
2021-01-08,0.01265996635349281,0.01379996635349281,0.38,50
2021-01-15,0.04888338842252842,0.04960338842252842,0.24,50
2021-01-22,-0.04680310769377599,-0.04578310769377599,0.34,50
2021-01-29,-0.01920193841067773,-0.01776193841067773,0.48,50
2021-02-05,0.07980364050964586,0.08106364050964586,0.42,50
2021-02-19,-0.03321074680581606,-0.03207074680581606,0.38,50
2021-02-26,0.006436400055201311,0.007576400055201311,0.38,50
2021-03-05,-0.052745086791352466,-0.051245086791352465,0.5,50
2021-03-12,0.0145499023935914,0.0162899023935914,0.58,50
2021-03-19,0.012825860617509737,0.014145860617509737,0.44,50
2021-03-26,0.034568716573787184,0.035588716573787184,0.34,50
2021-04-02,-0.03448174533454809,-0.03334174533454809,0.38,50
2021-04-12,0.03264809807426089,0.034088098074260886,0.48,50
2021-04-19,0.005679266690236714,0.006999266690236714,0.44,50
2021-04-26,0.009720602281818253,0.010920602281818253,0.4,50
2021-05-06,0.020077965180017317,0.021757965180017318,0.56,50
2021-05-13,0.052169937600192624,0.053669937600192626,0.5,50
2021-05-20,0.0338896893423368,0.0350896893423368,0.4,50
2021-05-27,0.01097077207887229,0.012410772078872291,0.48,50
2021-06-03,0.03785230856495843,0.03917230856495843,0.44,50
2021-06-10,0.0063088443177400375,0.007688844317740038,0.46,50
2021-06-18,0.035300604757355816,0.036320604757355816,0.34,50
2021-06-25,0.0024823236334870057,0.0038023236334870057,0.44,50
2021-07-02,0.06856971395032307,0.06946971395032307,0.3,50
2021-07-09,-0.016913744005506416,-0.015833744005506415,0.36,50
2021-07-16,0.06028436256353038,0.06136436256353038,0.36,50
2021-07-23,0.001961947917806256,0.002981947917806256,0.34,50
2021-07-30,0.027046206157219595,0.028186206157219593,0.38,50
2021-08-06,-0.009761254400223207,-0.008861254400223208,0.3,50
2021-08-13,0.016688000063202365,0.017768000063202366,0.36,50
