,Ann_Return,Ann_Vol,Sharpe,Max_Drawdown,Monthly_WinRate,Months,Benchmark_Ann_Return,Excess_Ann_Return,Tracking_Error,Info_Ratio
Equal-weight,16.97%,22.48%,0.755,-28.04%,59.2%,125.0,1.87%,14.80%,12.75%,1.160
IC-weight,18.25%,21.90%,0.833,-26.69%,60.8%,125.0,1.87%,16.03%,11.74%,1.365
ICIR-weight,17.37%,21.82%,0.796,-26.65%,60.0%,125.0,1.87%,15.13%,11.84%,1.277
LightGBM,18.50%,21.02%,0.880,-22.86%,59.2%,98.0,1.79%,16.39%,10.64%,1.541
CatBoost,20.13%,22.03%,0.914,-24.76%,58.2%,98.0,1.79%,18.21%,10.71%,1.700
XGBoost,21.09%,21.09%,1.000,-22.47%,59.2%,98.0,1.79%,18.95%,10.74%,1.764
RandomForest,21.50%,21.32%,1.009,-22.87%,59.2%,98.0,1.79%,19.33%,11.41%,1.693
Ridge,20.20%,19.85%,1.018,-20.85%,62.2%,98.0,1.79%,17.87%,10.09%,1.771
HS300 (Benchmark),1.87%,19.01%,0.098,-39.92%,53.6%,125.0,—,—,—,—
