date,strategy_ret,gross_ret,turnover,n_holdings
2018-02-05,-0.0067942991960597745,-0.003794299196059774,1.0,50
2018-02-12,0.05869639832483426,0.06061639832483426,0.64,50
2018-02-26,0.041710693061889424,0.04333069306188943,0.54,50
2018-03-05,0.05472876503522561,0.05646876503522561,0.58,50
2018-03-12,-0.02436375789639893,-0.02250375789639893,0.62,50
2018-03-19,-0.00314635651334133,-0.0017663565133413295,0.46,50
2018-03-26,0.029711234539309687,0.03181123453930969,0.7,50
2018-04-02,0.007173791684989888,0.009273791684989888,0.7,50
2018-04-11,-0.006813822409413478,-0.005253822409413478,0.52,50
2018-04-18,0.007187678637661924,0.008627678637661925,0.48,50
2018-04-25,-0.008983643299472262,-0.007423643299472263,0.52,50
2018-05-04,0.03379914419321549,0.03547914419321549,0.56,50
2018-05-11,0.021651085716093324,0.023331085716093325,0.56,50
2018-05-18,0.003023798696678996,0.004643798696678996,0.54,50
2018-05-25,-0.026157104916281454,-0.024597104916281455,0.52,50
2018-06-01,0.012637380010254195,0.014437380010254195,0.6,50
2018-06-08,-0.04473203093626598,-0.04335203093626598,0.46,50
2018-06-15,-0.05759555313706577,-0.05591555313706577,0.56,50
2018-06-25,0.02549913463707814,0.02765913463707814,0.72,50
2018-07-02,0.023884724553409523,0.02562472455340952,0.58,50
2018-07-09,0.03278418025449895,0.03452418025449895,0.58,50
2018-07-16,0.006486199205421683,0.008526199205421683,0.68,50
2018-07-23,-0.010656960696912405,-0.008916960696912404,0.58,50
2018-07-30,-0.060309366148464966,-0.05832936614846496,0.66,50
2018-08-06,0.04685931196707426,0.04937931196707426,0.84,50
2018-08-13,-0.033176066005452455,-0.031076066005452457,0.7,50
2018-08-20,0.04516451108538449,0.04720451108538449,0.68,50
2018-08-27,-0.021121932027083738,-0.019021932027083736,0.7,50
2018-09-03,-0.023333669224799902,-0.021293669224799902,0.68,50
2018-09-10,-0.012678286003103617,-0.010638286003103617,0.68,50
2018-09-17,0.05400247138895388,0.05598247138895388,0.66,50
2018-09-25,-0.020006796470180124,-0.018086796470180123,0.64,50
2018-10-09,-0.07252250948502706,-0.07066250948502706,0.62,50
2018-10-16,0.04032392583901328,0.04272392583901328,0.8,50
2018-10-23,0.02716887670726164,0.02896887670726164,0.6,50
2018-10-30,0.06471855292751427,0.06675855292751427,0.68,50
2018-11-06,0.025271447696470408,0.027251447696470407,0.66,50
2018-11-13,0.001377407102378494,0.0034774071023784938,0.7,50
2018-11-20,-0.011466573297472507,-0.009606573297472507,0.62,50
2018-11-27,0.020032181236895076,0.021832181236895076,0.6,50
2018-12-04,-0.008613019418167066,-0.0065730194181670655,0.68,50
2018-12-11,-0.022622127713987777,-0.021002127713987778,0.54,50
2018-12-18,-0.018170672767256334,-0.016370672767256334,0.6,50
2018-12-25,-0.028962630322536577,-0.027042630322536575,0.64,50
2019-01-03,0.05709930237492975,0.05913930237492975,0.68,50
2019-01-10,0.006681231128802014,0.008661231128802014,0.66,50
2019-01-17,0.024376287349770678,0.02605628734977068,0.56,50
2019-01-24,-0.0022329650636491267,-0.00031296506364912656,0.64,50
2019-01-31,0.0893098958924462,0.0911698958924462,0.62,50
2019-02-14,0.03012795492828784,0.03234795492828784,0.74,50
2019-02-21,0.09809184438504348,0.10043184438504348,0.78,50
2019-02-28,0.08914785997594116,0.09106785997594116,0.64,50
2019-03-07,-0.010094007913551669,-0.008654007913551668,0.48,50
2019-03-14,0.05619349907362542,0.057453499073625416,0.42,50
2019-03-21,-0.03386927750434079,-0.032549277504340786,0.44,50
2019-03-28,0.08458366784371381,0.0860236678437138,0.48,50
2019-04-04,-0.0037074329252545016,-0.0017874329252545017,0.64,50
2019-04-12,0.013332294547499755,0.014952294547499755,0.54,50
2019-04-19,-0.06684075913808267,-0.06552075913808267,0.44,50
2019-04-26,-0.09702299504897385,-0.09552299504897385,0.5,50
2019-05-08,0.03249353583619072,0.03411353583619072,0.54,50
2019-05-15,-0.02639908605162248,-0.02465908605162248,0.58,50
2019-05-22,0.017222090657178675,0.018662090657178675,0.48,50
2019-05-29,-0.024320621369809146,-0.022520621369809146,0.6,50
2019-06-05,0.024693070402841726,0.026073070402841726,0.46,50
2019-06-13,0.013208551869454606,0.014348551869454607,0.38,50
2019-06-20,0.0096377906080739,0.0105377906080739,0.3,50
2019-06-27,0.013591403136140377,0.015451403136140377,0.62,50
2019-07-04,-0.02266070433497271,-0.02098070433497271,0.56,50
2019-07-11,-0.005841165806133376,-0.0043411658061333755,0.5,50
2019-07-18,0.008966870121044206,0.010466870121044206,0.5,50
2019-07-25,-0.003071731281565454,-0.001751731281565454,0.44,50
