Label,Ann_Return,Ann_Vol,Sharpe,Max_Drawdown,WinRate,Periods,Avg_Turnover,Benchmark_Ann_Return,Excess_Ann_Return,Tracking_Error,Info_Ratio
IC-weight,0.10311872113474774,0.19778428009874646,0.5213696512344881,-0.3586541633285142,0.559322033898305,472,0.3671186440677966,0.016749703703405894,0.07522633702674031,0.10634466502458335,0.7073823309269955
IC-weight size-neutral,0.1003237455216377,0.19702260685745449,0.5091991580145001,-0.3338989521849326,0.5677966101694916,472,0.3704237288135593,0.016749703703405894,0.07259435889245558,0.10399900862112497,0.6980293356153179
Ridge,0.21393266479730855,0.26700065862451045,0.8012439590951245,-0.3653860398376063,0.566579634464752,383,0.3538903394255875,0.028580753767303957,0.18168008704940752,0.11686545481180097,1.554608993239135
Ridge size-neutral,0.12812034159356345,0.25759326403821253,0.4973745803172769,-0.38930123890662427,0.5404699738903395,383,0.43634464751958224,0.028580753767303957,0.09610326561795435,0.1129047408449232,0.8511889305866616
RidgeCV,0.21300708545111635,0.2670010325525456,0.7977762610681917,-0.36476714600733817,0.566579634464752,383,0.353733681462141,0.028580753767303957,0.18077679965101257,0.11687132101913758,1.546802056095614
LightGBM,0.2106933482756279,0.2888801047996583,0.7293453054572456,-0.31597134383951886,0.5587467362924282,383,0.5909660574412533,0.028580753767303957,0.18376625289688575,0.12740434631685804,1.4423860583206018
XGBoost,0.19165896093214263,0.28670690066779175,0.6684839481914616,-0.38056456827816776,0.556135770234987,383,0.5907571801566579,0.028580753767303957,0.16475068609886612,0.12771554906900223,1.2899814259096558
CatBoost,0.2078087035558278,0.2886630954933324,0.7199004888403818,-0.3295318553999177,0.5639686684073107,383,0.5491383812010444,0.028580753767303957,0.1799712968545657,0.13406826253448753,1.3423855389210413
RandomForest,0.197811348412265,0.2853386895341126,0.693251058015448,-0.3322611722428682,0.5691906005221932,383,0.5367624020887729,0.028580753767303957,0.16997063701514636,0.12964247102137366,1.311072179325585
LightGBM Optuna,0.17964103771809348,0.28077638195763877,0.6398010988872854,-0.36254765429722824,0.5639686684073107,383,0.6102872062663186,0.028580753767303957,0.15237275716677945,0.11841182224084752,1.2868035833183615
XGBoost Optuna,0.20219045915451916,0.2861329750386209,0.7066311008971561,-0.33995963943085616,0.5587467362924282,383,0.5918537859007833,0.028580753767303957,0.17533732735913365,0.12224119264153631,1.4343555030037871
CatBoost Optuna,0.20801944448137744,0.28374572339760146,0.7331192237561521,-0.38181691083921576,0.5587467362924282,383,0.5485117493472585,0.028580753767303957,0.18054281010953344,0.12304433053322479,1.4672988940419545
RandomForest Optuna,0.1928997232581915,0.28382080613854804,0.6796532145850748,-0.3406746945777529,0.566579634464752,383,0.5400522193211489,0.028580753767303957,0.16546328820785372,0.12780535183679312,1.2946506999108272
