Label,Ann_Return,Ann_Vol,Sharpe,Max_Drawdown,WinRate,Periods,Avg_Turnover,Benchmark_Ann_Return,Excess_Ann_Return,Tracking_Error,Info_Ratio,Cost_Bps
IC-weight,0.10311872113474774,0.19778428009874646,0.5213696512344881,-0.3586541633285142,0.559322033898305,472,0.3671186440677966,0.016749703703405894,0.07522633702674031,0.10634466502458335,0.7073823309269955,30.0
IC-weight,0.043606199871069506,0.19781431195207388,0.2204400654368949,-0.3929980438810424,0.5338983050847458,472,0.3671186440677966,0.016749703703405894,0.01720173081423315,0.10644795710896998,0.16159756637343325,60.0
IC-weight,-0.030882931862173835,0.19791180560335211,-0.1560439093970388,-0.46958092346200475,0.510593220338983,472,0.3671186440677966,0.016749703703405894,-0.055423624652882975,0.10669214592883076,-0.5194723957455446,100.0
IC-weight size-neutral,0.1003237455216377,0.19702260685745449,0.5091991580145001,-0.3338989521849326,0.5677966101694916,472,0.3704237288135593,0.016749703703405894,0.07259435889245558,0.10399900862112497,0.6980293356153179,30.0
IC-weight size-neutral,0.04043260298244933,0.19708480887259056,0.20515332061228422,-0.365694839754113,0.5360169491525424,472,0.3704237288135593,0.016749703703405894,0.014197098350876569,0.10415406549542174,0.13630863359338216,60.0
IC-weight size-neutral,-0.03448790889234277,0.19723089502171756,-0.17486058098831433,-0.44809133294577286,0.5084745762711864,472,0.3704237288135593,0.016749703703405894,-0.05885328736883555,0.10447976745807057,-0.5632984146184508,100.0
Ridge,0.21393266479730855,0.26700065862451045,0.8012439590951245,-0.3653860398376063,0.566579634464752,383,0.3538903394255875,0.028580753767303957,0.18168008704940752,0.11686545481180097,1.554608993239135,30.0
Ridge,0.15080965954244907,0.2671313827401527,0.5645523861535449,-0.387657905674783,0.556135770234987,383,0.3538903394255875,0.028580753767303957,0.12026769965878992,0.11689847754018948,1.0288217792865788,60.0
Ridge,0.07161147271720147,0.26736005962761433,0.26784656173754484,-0.4161823752827366,0.5483028720626631,383,0.3538903394255875,0.028580753767303957,0.043213375885381655,0.11706696375478863,0.36913382306469883,100.0
Ridge size-neutral,0.12812034159356345,0.25759326403821253,0.4973745803172769,-0.38930123890662427,0.5404699738903395,383,0.43634464751958224,0.028580753767303957,0.09610326561795435,0.1129047408449232,0.8511889305866616,30.0
Ridge size-neutral,0.05610474575052482,0.2578456305462673,0.21759044600314645,-0.41922118042681056,0.5248041775456919,383,0.43634464751958224,0.028580753767303957,0.02616960130225232,0.11309865011465046,0.23138738858265462,60.0
Ridge size-neutral,-0.032966118093678554,0.25825990976164764,-0.1276470596001661,-0.565322176261482,0.5065274151436031,383,0.43634464751958224,0.028580753767303957,-0.06032963846171824,0.11353461722071809,-0.5313765963066033,100.0
RidgeCV,0.21300708545111635,0.2670010325525456,0.7977762610681917,-0.36476714600733817,0.566579634464752,383,0.353733681462141,0.028580753767303957,0.18077679965101257,0.11687132101913758,1.546802056095614,30.0
RidgeCV,0.14995751960551207,0.2671349248423933,0.5613549770550794,-0.387061170429972,0.556135770234987,383,0.353733681462141,0.028580753767303957,0.11943616539328561,0.11691009807054026,1.021606921595611,60.0
RidgeCV,0.07084952133589928,0.2673676513335174,0.2649891300706412,-0.4156139947829086,0.5483028720626631,383,0.353733681462141,0.028580753767303957,0.04246996144546267,0.11708584669728221,0.3627249803750061,100.0
LightGBM,0.2106933482756279,0.2888801047996583,0.7293453054572456,-0.31597134383951886,0.5587467362924282,383,0.5909660574412533,0.028580753767303957,0.18376625289688575,0.12740434631685804,1.4423860583206018,30.0
LightGBM,0.10744912754588909,0.2887830973642089,0.3720755422550783,-0.43731711342402924,0.5404699738903395,383,0.5909660574412533,0.028580753767303957,0.08282383635198554,0.12725512188349067,0.6508487448372844,60.0
LightGBM,-0.016893437062333594,0.28867387481635254,-0.058520837997829894,-0.6035535462023893,0.5143603133159269,383,0.5909660574412533,0.028580753767303957,-0.03874697723817233,0.12710170339170085,-0.3048501806365431,100.0
XGBoost,0.19165896093214263,0.28670690066779175,0.6684839481914616,-0.38056456827816776,0.556135770234987,383,0.5907571801566579,0.028580753767303957,0.16475068609886612,0.12771554906900223,1.2899814259096558,30.0
XGBoost,0.09004374322331787,0.2866028486888082,0.31417602314583715,-0.525316577132762,0.5378590078328982,383,0.5907571801566579,0.028580753767303957,0.06542297514244866,0.12763898071715274,0.5125626573861914,60.0
XGBoost,-0.03233706579161699,0.2864823326528665,-0.11287630023174985,-0.6679496470429,0.5065274151436031,383,0.5907571801566579,0.028580753767303957,-0.054201764430613975,0.12757786914486993,-0.4248524042133486,100.0
CatBoost,0.2078087035558278,0.2886630954933324,0.7199004888403818,-0.3295318553999177,0.5639686684073107,383,0.5491383812010444,0.028580753767303957,0.1799712968545657,0.13406826253448753,1.3423855389210413,30.0
CatBoost,0.11181649398826266,0.2885234488396449,0.3875473360586641,-0.4553043077510017,0.5404699738903395,383,0.5491383812010444,0.028580753767303957,0.08618986814892082,0.1338790660583693,0.6437889857354048,60.0
CatBoost,-0.004629133390721352,0.28835794168821327,-0.01605342777667139,-0.6081634518459735,0.5039164490861618,383,0.5491383812010444,0.028580753767303957,-0.027573486692357818,0.13367124960820914,-0.20627836406987887,100.0
RandomForest,0.197811348412265,0.2853386895341126,0.693251058015448,-0.3322611722428682,0.5691906005221932,383,0.5367624020887729,0.028580753767303957,0.16997063701514636,0.12964247102137366,1.311072179325585,30.0
RandomForest,0.10465120662232708,0.28525134424933885,0.36687366679278893,-0.41086629878854997,0.5613577023498695,383,0.5367624020887729,0.028580753767303957,0.07895783142607038,0.1296395228536658,0.6090567883005572,60.0
RandomForest,-0.008598842974920307,0.2851614113239607,-0.030154300804576595,-0.5686861446370834,0.5378590078328982,383,0.5367624020887729,0.028580753767303957,-0.031679557937296376,0.12969402037434982,-0.2442638284005404,100.0
LightGBM Optuna,0.17964103771809348,0.28077638195763877,0.6398010988872854,-0.36254765429722824,0.5639686684073107,383,0.6102872062663186,0.028580753767303957,0.15237275716677945,0.11841182224084752,1.2868035833183615,30.0
LightGBM Optuna,0.07582706827842789,0.2807722285859609,0.27006612676870484,-0.4935403687428017,0.5430809399477807,383,0.6102872062663186,0.028580753767303957,0.05097976711433394,0.11831095974636485,0.4308964040493325,60.0
LightGBM Optuna,-0.04877900143085012,0.28079686138745136,-0.17371633425611369,-0.6628187211223509,0.5013054830287206,383,0.6102872062663186,0.028580753767303957,-0.07072291189037949,0.1182480050956156,-0.5980896830622452,100.0
XGBoost Optuna,0.20219045915451916,0.2861329750386209,0.7066311008971561,-0.33995963943085616,0.5587467362924282,383,0.5918537859007833,0.028580753767303957,0.17533732735913365,0.12224119264153631,1.4343555030037871,30.0
XGBoost Optuna,0.09948542557118101,0.28608423091395047,0.34774872160327014,-0.478236867675907,0.5404699738903395,383,0.5918537859007833,0.028580753767303957,0.07495763313046466,0.12206851426016514,0.6140619764627194,60.0
XGBoost Optuna,-0.024189097860826125,0.2860576677835495,-0.08456021489740043,-0.6277541322334228,0.5143603133159269,383,0.5918537859007833,0.028580753767303957,-0.045920364558820204,0.12192811238567523,-0.37661835043888675,100.0
CatBoost Optuna,0.20801944448137744,0.28374572339760146,0.7331192237561521,-0.38181691083921576,0.5587467362924282,383,0.5485117493472585,0.028580753767303957,0.18054281010953344,0.12304433053322479,1.4672988940419545,30.0
CatBoost Optuna,0.11211500033835065,0.2836122527213612,0.39531084874707295,-0.5110565105403271,0.5430809399477807,383,0.5485117493472585,0.028580753767303957,0.08682100484537214,0.12284360513835144,0.7067604760344733,60.0
CatBoost Optuna,-0.004239206327286249,0.283464357037737,-0.014954988950240023,-0.6425794840205735,0.5195822454308094,383,0.5485117493472585,0.028580753767303957,-0.026885014960665976,0.12264519044871074,-0.21920969637948484,100.0
RandomForest Optuna,0.1928997232581915,0.28382080613854804,0.6796532145850748,-0.3406746945777529,0.566579634464752,383,0.5400522193211489,0.028580753767303957,0.16546328820785372,0.12780535183679312,1.2946506999108272,30.0
RandomForest Optuna,0.09951910816320386,0.2838577252995941,0.35059503157142424,-0.42145225695885347,0.556135770234987,383,0.5400522193211489,0.028580753767303957,0.07424530828639142,0.127915586252924,0.5804242505646512,60.0
RandomForest Optuna,-0.01392970100763069,0.2839389280477208,-0.049058792689706726,-0.5743438895596509,0.5248041775456919,383,0.5400522193211489,0.028580753767303957,-0.03657755339404056,0.12813331039440592,-0.2854648278535187,100.0
