date,strategy_ret,gross_ret,turnover,n_holdings
2018-02-05,-0.012490631482832384,-0.009490631482832383,1.0,50
2018-02-12,0.05452667461793599,0.05656667461793599,0.68,50
2018-02-26,0.041231124156156415,0.04321112415615642,0.66,50
2018-03-05,0.0421880872031431,0.0436880872031431,0.5,50
2018-03-12,-0.02430761642460377,-0.022387616424603768,0.64,50
2018-03-19,-0.0005390498434206324,0.001140950156579368,0.56,50
2018-03-26,0.0344127233072718,0.0366327233072718,0.74,50
2018-04-02,-0.0012140233631887953,0.00046597663681120506,0.56,50
2018-04-11,-0.011929477907655382,-0.010249477907655381,0.56,50
2018-04-18,0.011287085550096849,0.01266708555009685,0.46,50
2018-04-25,0.013417163912067293,0.014977163912067293,0.52,50
2018-05-04,0.023007673040884927,0.024627673040884927,0.54,50
2018-05-11,0.020194277949178847,0.021814277949178847,0.54,50
2018-05-18,-0.006083415982806026,-0.004523415982806025,0.52,50
2018-05-25,-0.019916688625880967,-0.018236688625880966,0.56,50
2018-06-01,0.012243023665370322,0.013923023665370323,0.56,50
2018-06-08,-0.04355528859022331,-0.04187528859022331,0.56,50
2018-06-15,-0.06296520002442094,-0.06092520002442093,0.68,50
2018-06-25,0.004375660317087363,0.006175660317087364,0.6,50
2018-07-02,-0.004373546111525942,-0.0026335461115259418,0.58,50
2018-07-09,0.015521728242154913,0.017741728242154912,0.74,50
2018-07-16,-0.005230834827156762,-0.003370834827156761,0.62,50
2018-07-23,-0.004941247169896997,-0.0029012471698969967,0.68,50
2018-07-30,-0.06215573219246161,-0.059995732192461605,0.72,50
2018-08-06,0.054936387208503086,0.057336387208503085,0.8,50
2018-08-13,-0.03948503317389423,-0.037325033173894226,0.72,50
2018-08-20,0.03245870019344848,0.03419870019344848,0.58,50
2018-08-27,-0.016794858305673132,-0.014994858305673132,0.6,50
2018-09-03,-0.02494868781481749,-0.023268687814817487,0.56,50
2018-09-10,-0.023297977969665897,-0.0215579779696659,0.58,50
2018-09-17,0.040872999071134175,0.042612999071134174,0.58,50
2018-09-25,-0.020308231287682964,-0.018988231287682966,0.44,50
2018-10-09,-0.09496817932635825,-0.09340817932635824,0.52,50
2018-10-16,0.021159363421358025,0.022899363421358024,0.58,50
2018-10-23,0.013541883470128442,0.015401883470128443,0.62,50
2018-10-30,0.04514208007661208,0.04682208007661208,0.56,50
2018-11-06,0.02822137197150794,0.03056137197150794,0.78,50
2018-11-13,-0.013028696323735024,-0.010988696323735024,0.68,50
2018-11-20,-0.02197939898936507,-0.01999939898936507,0.66,50
2018-11-27,0.023370820268279278,0.025110820268279276,0.58,50
2018-12-04,-0.009943520562048313,-0.008023520562048313,0.64,50
