date,best_score,n_trials,train_rows,val_rows,val_start,val_end,param_objective,param_n_estimators,param_learning_rate,param_max_depth,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_random_state,param_n_jobs,param_verbose
2018-02-05,0.05438788758772144,20,60000,22115,2017-11-07,2018-02-02,regression,154,0.0512862366542338,5,13,63,0.9999576028378886,0.8197211977963347,8.312816228174706,27.555554354218028,2027,-1,-1
2018-08-13,0.07477336117649645,20,60000,22929,2018-05-15,2018-08-10,regression,107,0.05326394172954616,4,15,158,0.8204823578972107,0.9697738394434581,2.854213759825655,0.6625623080762946,2052,-1,-1
2019-02-21,0.03781500032211301,20,60000,24207,2018-11-15,2019-02-20,regression,61,0.010274112578412825,3,12,109,0.8263189656771851,0.7581367669301267,0.0014778743761054327,0.10164282231014679,2077,-1,-1
2019-08-22,0.03903178602485523,20,60000,24801,2019-05-24,2019-08-21,regression,125,0.05332018988477137,3,16,73,0.8411494984537566,0.746038653439786,0.14944834125019374,1.5487363144453834,2102,-1,-1
2020-03-03,0.06523171532655375,20,60000,25569,2019-11-26,2020-03-02,regression,208,0.055654419873004,2,25,93,0.6679902789419607,0.8917570430346816,0.01881626071636101,2.540414583392698,2127,-1,-1
2020-09-02,0.016146995923377292,20,60000,26271,2020-06-03,2020-09-01,regression,189,0.07988577943426078,3,22,102,0.6076033583488979,0.9950230141448371,0.009919417540723525,0.445002423967768,2152,-1,-1
2021-03-12,-0.014725617027259642,20,60000,27450,2020-12-07,2021-03-11,regression,239,0.116670775135662,5,23,80,0.8069588143214644,0.8684759629110343,0.3575312536838611,0.010181320232783385,2177,-1,-1
2021-09-10,0.03978341454846952,20,60000,28374,2021-06-15,2021-09-09,regression,144,0.07320457525019716,3,13,81,0.8970712344383873,0.9642245611621763,0.0519993133220082,0.018157467062488976,2202,-1,-1
2022-03-23,0.021290039773424585,20,60000,29026,2021-12-16,2022-03-22,regression,238,0.08852793572272989,5,25,78,0.6157163196183478,0.7590066894778031,0.0022399697390682923,0.06855320306748136,2227,-1,-1
2022-09-23,0.06587948018647694,20,60000,29716,2022-06-27,2022-09-22,regression,151,0.010539677856722067,4,18,53,0.6228952725492809,0.9923895285412112,0.5431329212334083,0.1710936212630871,2252,-1,-1
2023-04-03,0.0907610687327002,20,60000,30190,2022-12-27,2023-03-31,regression,212,0.06188198081962757,2,23,27,0.6711164190830586,0.7918208136230713,1.3544707846282922,2.168779055440561,2277,-1,-1
2023-10-11,0.060806843328292434,20,60000,30750,2023-07-06,2023-10-10,regression,69,0.019943680020373677,3,20,82,0.7603781940197748,0.7265698390228923,4.4345011025127015,3.100014617275849,2302,-1,-1
2024-04-16,-8.746277987149918e-05,20,60000,30953,2024-01-08,2024-04-15,regression,223,0.0787726280460563,5,30,39,0.8591667633557714,0.7022350575101084,5.303006810559442,0.05768335056906206,2327,-1,-1
2024-10-23,0.04898814833439543,20,60000,31218,2024-07-17,2024-10-22,regression,160,0.04825678528836708,4,16,121,0.8234615295013845,0.661308558633138,1.4003557478709945,0.060020681564188404,2352,-1,-1
2025-04-28,0.0573965480313617,20,60000,31278,2025-01-20,2025-04-25,regression,60,0.012889766075943556,2,25,113,0.6079104622003683,0.997352012410126,0.2043252756272746,28.650537819082558,2377,-1,-1
2025-11-03,0.010033228748094102,20,60000,31406,2025-07-29,2025-10-31,regression,89,0.015180138926377313,2,20,56,0.63808947204337,0.8458543361747883,0.409280074931124,3.7250370296817215,2402,-1,-1
