date,REV_1D,MOM_5D,MOM_20D,MOM_60D,VOL_20D,TURN_5D,TURN_20D,AMIHUD_20D,VOLUME_RATIO_5_20,BIAS_20,RANGE_20D,SIZE,BETA_60D,VOLUME_PRICE_REVERSAL_20D
2016-04-15,0.0011602400320022336,-0.10290011065163279,-0.1467337579270232,-0.13149417295569288,-0.018441760885224624,-0.055794510302358415,-0.028966665878408036,0.10141170271020408,-0.046814372923177285,-0.14062753423855542,-0.003972125629333392,0.08860928577488773,0.07875495118835835,0.05431880890314153
2016-04-22,0.0023754921044374265,-0.10253189643217243,-0.14806416569602734,-0.1280658001895143,-0.019373865675481296,-0.05835537066741735,-0.032238952117255346,0.09943578621472479,-0.04624046563177656,-0.13950301185177671,-0.005775109441160015,0.08506783621415324,0.07690521364952771,0.05606703411457543
2016-04-29,0.005145738760789577,-0.10392510456089489,-0.14570248316493004,-0.12324254261893633,-0.016436782394349255,-0.0598956504121723,-0.033615129026051474,0.10424631037359237,-0.04844415011297415,-0.13749905606995796,-0.0001762342600344982,0.08678770934144953,0.07028979366348355,0.06459331524038406
2016-05-09,0.003915204511303062,-0.10203894590088279,-0.14177786236723455,-0.11993864719274258,-0.010660179574742705,-0.056707588633633135,-0.030168513083324692,0.11218959834304232,-0.046257842356939076,-0.13289430954477072,0.005585730527098479,0.09442604678028328,0.07454231054993199,0.06889722063407058
2016-05-16,0.002399895289722167,-0.09823331866007162,-0.13992117264951962,-0.12284617690048165,-0.017466605884703765,-0.06271551353946331,-0.03919263675762822,0.11469804534552501,-0.039497167735729095,-0.12813277447877044,-0.0009254330005490095,0.09207624372932682,0.06982357900913101,0.07207143701937825
2016-05-23,0.0010960721396136082,-0.10077057433682711,-0.14170472070899506,-0.12935116698207033,-0.02188019622813273,-0.06112223416422952,-0.03884292391634536,0.11284775425566199,-0.03548803172122771,-0.1287460136896339,-0.000503475695010309,0.09414828825797251,0.06721144855494086,0.06628709934933895
2016-05-30,0.005282624711378994,-0.10524251312160225,-0.1430334569556583,-0.13173521682510583,-0.02098290600599447,-0.05836808479739958,-0.035120753471643416,0.10676550520380675,-0.038015799599394794,-0.13248305635267082,0.0001719156491170908,0.09283941773275653,0.06681279214155372,0.06314595743191719
2016-06-06,0.002079119980563834,-0.10495786141816425,-0.14609390550286286,-0.1359750210249311,-0.01672849931724074,-0.05048956152032486,-0.026301224987377057,0.10220772760437047,-0.03765795770742447,-0.13549217713029574,0.006412284834105705,0.09519096752119477,0.07618201277301602,0.06423167867812798
2016-06-15,0.0019409170680831798,-0.10895189533193943,-0.15052233191977224,-0.1364634658706373,-0.015367138168591206,-0.04553001254051213,-0.021948131536000753,0.09875980617427613,-0.03888363374435315,-0.14067985922900014,0.005343450818676819,0.09298697541068178,0.07898403499376067,0.06363834719371504
2016-06-22,-0.00015672514862055724,-0.10612641026890159,-0.1415105917819295,-0.13116221412424764,-0.003145763057830964,-0.039021555622985635,-0.013548449570052865,0.1081007054956227,-0.04010585348619325,-0.13368232824116402,0.022860073404868956,0.10399019780689145,0.08990444188302275,0.06668469010766816
2016-06-29,-0.0019904362414928153,-0.10463485862431034,-0.13723080307184163,-0.12723471094539301,0.006227112855452387,-0.03367524353955941,-0.0067391483046209235,0.10676145973889008,-0.04616359692816533,-0.13040807680539881,0.02821508986233772,0.10538009525875944,0.09490321863036963,0.07043614919340845
2016-07-06,-0.0034251539836305336,-0.1039719114406382,-0.13441455468066502,-0.12438413224327914,0.010159713507955822,-0.033631358109265506,-0.005096731663324521,0.10425435906027498,-0.05013128054799539,-0.13172973469114785,0.029196252222912552,0.10318198219740363,0.09244306531465049,0.07397977033685647
2016-07-13,-0.0007864413078762591,-0.10426273708288698,-0.13427962952806288,-0.12122308193161814,0.011975793282877317,-0.034789247811562556,-0.007160123979835845,0.10703022278306072,-0.048407912509457966,-0.13282522713161002,0.02781058349657977,0.10270819363379724,0.09129828101683651,0.07544252450393767
2016-07-20,0.004958000724648456,-0.10656878665196075,-0.13739192539472156,-0.12468748396027522,0.007099450259667862,-0.038622057296496676,-0.011029349678040838,0.10668304218933006,-0.04845235919711101,-0.13494985269033527,0.019460089450459832,0.10069563271861255,0.08900386985221129,0.07039809993612858
2016-07-27,0.004867294112495902,-0.1077551212426473,-0.1363628348987255,-0.1278560265453021,-0.0020447591168905096,-0.043720898706147884,-0.013670473154365686,0.1099512548886388,-0.05246023393681966,-0.1357531114686953,0.0013523033480767096,0.10400870745063666,0.082125310255852,0.07807167087470589
2016-08-03,0.006270100346393952,-0.10536350891543507,-0.11966975929470766,-0.13403385649898766,-0.016434163861989513,-0.060289409413218524,-0.03145816748687075,0.11390126309191709,-0.04978226551244521,-0.11960631097535314,-0.01952571476137187,0.1007587613810533,0.054366974349557964,0.06853974411069828
2016-08-10,0.006843598362267374,-0.10595196810641036,-0.11021716340869497,-0.13626595935438426,-0.02296418248065817,-0.06627963085509525,-0.03814399825613617,0.1102360222812188,-0.05098994956518023,-0.11161694929431241,-0.029504025690583104,0.09406777201751966,0.047081094194507456,0.06983768613303169
2016-08-17,0.008783830467160325,-0.10599941803706982,-0.11195328347238863,-0.13075883488242313,-0.02309138550386789,-0.06384642741115351,-0.036862963687507334,0.11371059406487694,-0.04574284399220132,-0.11325097771107005,-0.02845464100245939,0.09547180866170533,0.04851969382075459,0.07355329728536196
2016-08-24,0.009163988304976674,-0.0975089439842469,-0.11135001551853448,-0.12862460835703168,-0.03450697944676443,-0.06983097156284639,-0.041864106110619186,0.11036542240073079,-0.04691913284110142,-0.10787514376344773,-0.0368903952258255,0.09222765199091064,0.039757841813115785,0.0731147986798484
2016-08-31,0.012102803701156828,-0.09472459427834781,-0.10956802466023438,-0.12223431538125255,-0.04195126491821189,-0.07182908133533442,-0.0442543618753436,0.10927543877650504,-0.045149542732229285,-0.10592677840174618,-0.04325205739402462,0.0905956646972282,0.03148175893181582,0.07765431291656927
2016-09-07,0.012494115317158999,-0.09319073576373924,-0.10788167270830419,-0.12472636079458962,-0.037658039778605525,-0.0700599802140249,-0.04244902215908966,0.11318086544445098,-0.042903175990869735,-0.10584068827870487,-0.040528965363245226,0.09152119526524191,0.03757031461199917,0.079994868309976
2016-09-14,0.014919623544290479,-0.0881502960966411,-0.10625475503704189,-0.1263277578132885,-0.035537164493022216,-0.07024632970264195,-0.04465270630879255,0.12442095088295702,-0.03812321002386284,-0.10014797932561438,-0.04359497288742076,0.0916511088105899,0.037054308333737684,0.07891883674009871
2016-09-23,0.007874726480432005,-0.08732426909981118,-0.10081419899988218,-0.12535824106226506,-0.03438944773078911,-0.07254317710972512,-0.0461927078538248,0.13468253354749019,-0.03870739911033635,-0.09364302314336613,-0.04573893308015148,0.09678873185324738,0.036973829528202606,0.07896878140047645
2016-09-30,0.010130325518380114,-0.08316589951041944,-0.10246856719207387,-0.12411743434471716,-0.038703852179347784,-0.07361035496483388,-0.04849015284506985,0.13368329525122977,-0.036042044758170126,-0.09514658942386076,-0.04697289752647856,0.09301038493973608,0.03629129929247279,0.07816690225320962
2016-10-14,0.012390024606387886,-0.07966606593138761,-0.09120190256579792,-0.11500912851456073,-0.04871766453598916,-0.08093403854355029,-0.0538523543039952,0.1327716018395251,-0.04599066348755144,-0.08749866418594875,-0.055577380644456574,0.08962278614802793,0.027443239230940497,0.07932448546188091
