date,strategy_ret,gross_ret,turnover,n_holdings
2016-04-15,-0.06556882677358011,-0.06256882677358011,1.0,50
2016-04-22,-0.004200215212038117,-0.0025202152120381172,0.56,50
2016-04-29,-0.05220609969708517,-0.051006099697085173,0.4,50
2016-05-09,0.0032358118775143046,0.004795811877514305,0.52,50
2016-05-16,0.002623121426514651,0.004003121426514651,0.46,50
2016-05-23,-0.011025411943904634,-0.009645411943904635,0.46,50
2016-05-30,0.0636196110796512,0.06469961107965119,0.36,50
2016-06-06,-0.026973055117471875,-0.025893055117471874,0.36,50
2016-06-15,0.01485777028735333,0.01617777028735333,0.44,50
2016-06-22,0.022583978881323963,0.023603978881323963,0.34,50
2016-06-29,0.03723908095520987,0.03825908095520987,0.34,50
2016-07-06,0.023422686208544822,0.025102686208544823,0.56,50
2016-07-13,-0.00035859462553500753,0.0014414053744649924,0.6,50
2016-07-20,-0.05294715889802595,-0.05144715889802595,0.5,50
2016-07-27,-0.016431493374360284,-0.014991493374360286,0.48,50
2016-08-03,0.023314490823510475,0.024574490823510476,0.42,50
2016-08-10,0.03595832685938618,0.03727832685938618,0.44,50
2016-08-17,-0.011123748752412925,-0.009923748752412925,0.4,50
2016-08-24,0.006068253268888107,0.007568253268888108,0.5,50
2016-08-31,0.015712639633040294,0.016972639633040295,0.42,50
2016-09-07,-0.03733301360188354,-0.03571301360188354,0.54,50
2016-09-14,0.0155160516126654,0.0173760516126654,0.62,50
2016-09-23,-0.001967121778535573,-0.0003471217785355729,0.54,50
2016-09-30,0.02546701327004911,0.026967013270049113,0.5,50
2016-10-14,0.0032936539359629713,0.0048536539359629715,0.52,50
2016-10-21,0.0012167039055093296,0.0024767039055093296,0.42,50
2016-10-28,-0.0010348628028332197,0.00010513719716678028,0.38,50
2016-11-04,0.012816528377382052,0.013836528377382052,0.34,50
2016-11-11,0.009162931619513799,0.010242931619513798,0.36,50
2016-11-18,0.006748233538984419,0.008068233538984419,0.44,50
2016-11-25,-0.026040734784330284,-0.024720734784330282,0.44,50
2016-12-02,0.0035650250200698927,0.004705025020069893,0.38,50
2016-12-09,-0.04244572392169896,-0.041305723921698956,0.38,50
2016-12-16,0.0001672668657381215,0.0015472668657381216,0.46,50
