date,REV_1D,MOM_5D,MOM_20D,MOM_60D,VOL_20D,TURN_5D,TURN_20D,AMIHUD_20D,VOLUME_RATIO_5_20,BIAS_20,RANGE_20D,SIZE,BETA_60D
2015-01-05,,,,,,,,,,,,0.2273252120550127,
2015-01-06,-0.41406634530061537,,,,,,,,,,,0.24833076741871124,
2015-01-07,0.3579925186855283,,,,,-0.33668844283071186,,,,,,0.23968077852657335,
2015-01-08,-0.26328463479237124,,,,,-0.184749557557967,,,,,,0.08908690370011277,
2015-01-09,-0.20694060949072288,,,,,-0.26701249593350646,,,,,,0.1609781708659488,
2015-01-12,-0.24538237681688185,0.45365637316588125,,,,-0.21491743152431128,,,,,,0.29726570969159655,
2015-01-13,-0.38461468644219937,0.44532259298724347,,,,-0.1154511459825725,,,,,,0.27351994124169887,
2015-01-14,0.06550144023278165,0.3260693198380056,,,,-0.010275847407237918,,,,,,0.23873204337784182,
2015-01-15,0.44336128352130205,0.17155425056163806,,,,0.009131822021774727,,,,,,0.26194413220618024,
2015-01-16,-0.11489168659531841,0.13082497606424756,,,,0.05388340448389777,,,,,,0.20213970995349895,
2015-01-19,0.1576746722907713,-0.1164498172263204,,,,-0.07385936018698998,,,,,,-0.08176097190855197,
2015-01-20,0.24318894361643734,-0.33130932706119254,,,,-0.15550224330043702,,,,,,-0.0817149948778747,
2015-01-21,-0.017132931091564545,-0.035951261246069614,,,,-0.11334924241064961,,,,,,0.1215927322794462,
2015-01-22,0.16342050082539433,-0.10566921536207712,,,,-0.16884074339920918,,,,,,0.08278575932066677,
2015-01-23,0.014251219696415516,-0.00826035740621789,,,,-0.21899087530650946,-0.24701118622281795,,0.0134638361638478,-0.016636411992358907,-0.2527069595591131,0.1557084037890957,
2015-01-26,-0.1680030191008755,0.021765008387575384,,,-0.32221948381398285,-0.044107681600911004,-0.149001328202253,0.3039764002988163,0.20348176310440885,0.1616698781729543,-0.18797088289820973,0.22956034372128326,
2015-01-27,0.009370166263666409,-0.1324707510632296,,,-0.17893353919974794,-0.032369173178954214,-0.10608832998677703,0.2198567481584268,0.1547944766402445,0.13438825095256068,-0.03266599015974668,0.16738817361553668,
2015-01-28,0.20684649838787372,-0.07255002413595725,,,0.06860746754245728,-0.02765020141731201,-0.05910254207329399,0.053402977554895134,0.053055578462832646,-0.03349734865602413,0.14021021190618452,-0.004173068603332962,
2015-01-29,0.03707246328582777,-0.10215162287853868,,,-0.2309690971111139,-0.05669294061947588,-0.11122309089126729,0.25177128402734894,0.09525663867972368,0.12359777714814868,-0.09379679424057158,0.21923305819046138,
2015-01-30,0.043512497950254345,-0.06779611963522945,,,-0.026027686795403203,0.016171073314295167,0.014187027094038296,0.0724536923973786,0.07929938553812889,0.0995377111963122,0.0012463166731853101,0.08860204628594504,
2015-02-02,-0.009628255156551078,-0.030705557487092916,-0.027254242075775495,,-0.035637764489155226,-0.1103107469065287,-0.09058169271856481,0.043400307023279926,-0.05848386588954678,-0.04543427359657089,-0.024209481198170124,0.05469827167061278,
2015-02-03,-0.027876908196470727,-0.06444930248205777,-0.0588968093187546,,0.02235100116000393,-0.071005267909691,-0.060259428628743804,-0.0409954709847801,-0.01936232942253026,-0.09421103980686257,-0.024973820994984283,-0.043915546475588575,
2015-02-04,0.2898933969691253,-0.1202200488597687,0.17885431806584026,,-0.09145956030470496,0.03809842415918308,0.04499482613410273,0.015597084174020724,0.006156759890814125,0.04018367413651559,-0.022583731144846447,0.0992405241433644,
2015-02-05,-0.10646481943184115,-0.10787689352315859,-0.014834212851603449,,0.04663532421617032,0.061653026456493565,0.09972223507805815,-0.08055137550790967,-0.06555505426875419,-0.06955684684516796,0.10331040256671845,-0.007013500928993746,
2015-02-06,0.14649356819808393,-0.18296364775723123,-0.05761323097166716,,0.1626481978725506,0.13064135129100704,0.17744680600928783,-0.09107095590257694,-0.0721322229637804,-0.12823657041768938,0.20007545899096654,-0.02231601078735552,
2015-02-09,0.3907650101808518,-0.10273974236506274,0.23594399555626888,,-0.006199368494504373,0.21635341865525662,0.21488182379301443,-0.012855520008130556,0.05188542259891602,0.022394890709033447,0.10115954906110304,0.02422200834137109,
2015-02-10,0.13927794102134217,-0.04349292093735805,0.19726104413769804,,-0.10600895223405854,0.11279539846347532,0.06508570425200116,0.17725784895559596,0.08248877470608916,0.061774264398397526,-0.010836776612431598,0.15143681345931911,
2015-02-11,0.05914537530335739,-0.17672680974904362,-0.02723551464870927,,-0.11922364415746532,-0.006796695763768715,-0.00484060732340933,0.08239714421836092,0.013653409284361852,-0.10401391306771834,-0.133990595754384,0.039808476164564364,
2015-02-12,0.16452069618741638,-0.29260012432479854,-0.2714547685483925,,-0.007013658602460414,-0.11710177675409748,-0.057637213532090975,-0.14417670149763648,-0.12668381180679403,-0.26648440578974025,-0.07097441673548628,-0.1399822740051987,
2015-02-13,0.008378897393066133,-0.10866698344353104,-0.18376134733647614,,0.05333527775520219,0.006108367298835103,0.04842723016099404,-0.17749935003672945,-0.034144863031110265,-0.09284851404451978,-0.04442898927281773,-0.14991584014603185,
2015-02-16,0.045834230512025335,-0.1408664019155607,-0.16645210340712438,,-0.09182526832344821,-0.1257732135290178,-0.07911409699768472,-0.049202412475923704,-0.1211472869680727,-0.17759640620644393,-0.07804304773326809,-0.06885384336479661,
2015-02-17,0.12348773737522235,-0.16728365940480222,-0.15798021076047233,,-0.17001034001846116,-0.10763321211700554,-0.05248891584531384,0.01158338938849255,-0.17490756712796401,-0.17195288581671067,-0.14080026764371373,0.02496821881309694,
2015-02-25,-0.00481112454460376,-0.08603767204479555,-0.01645311944240568,,-0.0661292880382762,0.066079375481453,0.06627018968726858,0.10891697467111869,0.009343160716911172,-0.03125916896783363,-0.08836080547184437,0.14986423749220382,
2015-02-26,0.2641465082621839,-0.19533287359660875,0.14880057552827045,,-0.08163699843127285,0.1582057258811381,0.1305540962879023,0.2513342199248913,0.11940668112477772,0.0020876803897593565,-0.11026658787608003,0.2552927117796889,
2015-02-27,-0.010926592844875386,-0.17071713095704308,-0.02376600259067818,,-0.27740542127510315,-0.07832197726165298,-0.09950813226582601,0.35405129085626164,0.029004220324033957,-0.1457189084758194,-0.3227921130080955,0.2987906217530922,
2015-03-02,0.08507566331719495,-0.13553546437838662,-0.059514950503389646,,-0.25472921945763993,-0.006878745193991815,-0.04578724041489539,0.25608822986379015,0.11291555804529677,-0.12197940321597585,-0.3057889450506144,0.2048411745586845,
2015-03-03,0.05464482108441247,-0.13179036446221926,-0.07849886053877435,,-0.2355569281915945,-0.03979829837550193,-0.0893499389654383,0.3427926641020385,0.1195211407884786,-0.14909949941459183,-0.290310232022074,0.2472888792532163,
2015-03-04,-0.09286771824839443,-0.056772326321480805,-0.09862893118519064,,-0.13260548962756363,-0.07671273714480167,-0.11792609430639628,0.25359009712503505,0.11515186418560101,-0.06700583020259229,-0.15642118385982254,0.12798122325602304,
2015-03-05,0.1334397817380498,-0.18357379145643224,-0.21996713496976683,,-0.17219859787507236,-0.217324803573578,-0.26569622368463724,0.12686372612472083,0.004385229544653313,-0.18237201078720316,-0.16499518911959965,0.005075276562478677,
2015-03-06,0.13205354539254519,-0.06558308057785144,0.017148884509870028,,0.08725100266900086,-0.05969213874479283,-0.06899772647527014,0.07971339274359723,-0.09298440352472397,-0.037080748630453735,0.06645779279602992,-0.006887466659974135,
2015-03-09,0.12325374623052836,-0.11478286105164151,-0.026041328487912224,,0.02845561046773363,-0.08936723229717272,-0.08571689099803,0.14667045333539888,-0.05660322495324261,-0.07536359617483424,0.022664947234560497,0.04376033852856159,-0.034046711206070765
2015-03-10,-0.024325958841879103,-0.13978912307388014,-0.17915749422298866,,-0.043310241519121294,-0.17738925845562686,-0.11968524211955449,0.030996510188978112,-0.13209785542118777,-0.15023549927918778,-0.08589700802137194,-0.010733919151366698,0.05463736188692079
2015-03-11,0.2479663034578037,-0.26612287039345417,-0.2506084827341236,,-0.08406034876060102,-0.15630797121445955,-0.0960059233018614,-0.018997611777801973,-0.1721737665487841,-0.23337435168664541,-0.11495702267822594,-0.04558247853681834,0.16056694605900337
2015-03-12,0.1955362710791728,-0.23721194239550247,-0.12613478861374727,,0.08014445030923982,-0.02614769514251007,0.031272991818635736,0.05470897553159234,-0.18500191649726103,-0.14764389937311584,0.07210122439306595,0.068817225321377,0.16440861933168335
2015-03-13,0.029819831029562753,-0.16644442323145053,-0.04155617402621329,,0.03685358152835539,0.05454037989230865,0.10092247910775536,-0.06255599804742633,-0.12258892317414222,-0.10001152956270914,0.02518467276041238,-0.02961148341091059,0.08854308259843245
2015-03-16,-0.08448674812197372,-0.1197067751026023,0.00849158901175271,,0.020101889926936723,0.035212715908439225,0.0784831949877272,-0.10658128976821947,-0.111002815574981,-0.04803033316462819,0.02955033105284864,-0.024885444269317873,0.12562237861530212
2015-03-17,0.01730827393975742,-0.038387521353683396,0.08056151151883917,,0.10089485255745813,0.006488260223000465,0.0838660534832122,-0.06401606364131947,-0.16676638951695671,0.011870114075238596,0.11014317501453515,-0.06825924555442675,0.05407064459310383
2015-03-18,0.06888142642357363,-0.055226924731680276,0.07906747336900222,,0.2031619849046767,0.10834042162397937,0.1579501002938634,0.02985414045095483,-0.1654190805606163,0.01034986484596597,0.12764669312800073,-0.010262897226717,-0.10952998661087673
2015-03-19,0.21315193115703185,-0.12963160366210752,-0.06672723787210315,,0.015204226330520886,0.0042931540633367685,0.014976816193049322,-0.024174353604008728,-0.05560068529382948,-0.12368323517633274,-0.03000283169468624,-0.028615192192911906,-0.05827040103951389
2015-03-20,0.039317572017967164,-0.1152637377318812,-0.06530537079380058,,-0.07773975047939373,-0.07870942758652895,-0.07140302630897262,0.0528842097540358,-0.012815789121641961,-0.10909754178086484,-0.10374645224805232,0.042133005368395704,-0.025785233156503662
2015-03-23,0.2073318901934849,-0.22605277781922412,-0.2429384497567474,,-0.31521404631954225,-0.15471819495941913,-0.20768168639181717,-0.0997074585906917,0.15317969095456271,-0.3066619829803219,-0.33431577274143975,-0.07746226259351371,0.044774681001117554
2015-03-24,0.4349148516586061,-0.48780508471130923,-0.3510682510818296,,-0.30442453639846395,-0.13718932749293544,-0.08776558670979691,0.036379235981157956,-0.11455071041062828,-0.47433607081963847,-0.36479465631971203,0.10324643297448799,-0.12258777353282434
2015-03-25,0.18203862162332227,-0.4000770553617578,-0.3031339862995202,,-0.2952773928889659,-0.17405352053855933,-0.1389197098824223,-0.02493543200995366,-0.09467234136113836,-0.38289187014513765,-0.31414063770978357,-0.01646762941212118,0.005736719057450258
2015-03-26,0.1583163938626634,-0.2198782766087776,-0.050139237768891246,,-0.020143868340896733,-0.08009021898575379,-0.010569272642492212,0.203261017476413,-0.17449881707896128,-0.17426497295852644,-0.03354994237735535,0.08358870171016662,0.02623812766257021
2015-03-27,-0.06473920122757573,-0.2128050032692776,-0.03035925737570671,,-0.03564127845221988,-0.05797626088822895,0.015624639829467267,0.15138761702094156,-0.15795924377145998,-0.16613186632471952,-0.07708957194877343,0.05435834355339464,-0.03344951278239061
2015-03-30,0.3590083001318076,-0.29465973544589064,-0.0035628372954137,,0.058541931826254764,-0.004432178807994671,0.09298973597571436,0.33767717933221614,-0.17670234851341515,-0.212570142611368,0.008099432288577655,0.2234907910601872,-0.1143581065827145
2015-03-31,-0.05285277939717564,-0.015550357190276485,0.048526362084182276,,-0.04107537546098862,0.06804802885737923,0.0992804744225493,0.19229273496755858,-0.07646939929251016,-0.024108521707177998,-0.020158470620157277,0.15464703382248685,-0.08469200830768854
2015-04-01,-0.04659871561481554,0.08184746584074327,0.04141816616289094,,-0.06846812350534455,0.018736839856523774,0.04639642782749257,0.13243747257179422,-0.03706197602502483,-0.010699545744725598,-0.013074939007164804,0.11083311970186767,-0.04817608430493653
2015-04-02,0.020780837317831834,0.008847335829639513,-0.014454534180256426,,-0.1013471368979575,-0.0046859249508585344,0.03635569487196746,0.03833898125638213,-0.013294797372923068,-0.03154890402903521,-0.03636061482165317,0.09434769869267677,-0.0755627958446312
2015-04-03,-0.07776925796538556,-0.02510563261901738,-0.11496938238489438,,-0.1266554377232468,-0.05688210882417554,-0.03268579358445579,0.03935604494072626,0.024209973312213192,-0.0825847797148015,-0.1060050671766196,0.08813522350025803,-0.057278047698509645
