Feature,Importance
VOL_20D,0.0054757575754494124
IVOL,0.0050150245837205275
OCF_QUALITY,0.0034071641848685773
ASSET_GROWTH,0.002881568833083256
TURN_1M,0.0028478563660366565
ROE_TTM,0.0026561017026725062
ABTURN_1M,0.0025844992181999964
EP,0.0025220906120518613
BP,0.002459218297294875
AMIHUD,0.002405243635700245
SIZE,0.0021843202585347422
REV_1M,0.0016510026916384639
GPM_change,0.0016211021233763128
BETA_60D,0.0012808290854476672
SP,0.0009706361181708465
MOM_12_1,0.0008183360649497616
