Feature,Importance
TURN_1M,23.282965621267795
SIZE,9.993899158673818
ROE_TTM,8.886779539221102
ASSET_GROWTH,7.141014141353975
ABTURN_1M,7.107756364375795
OCF_QUALITY,6.983806536144555
IVOL,5.615981220463468
GPM_change,5.20814763271715
BETA_60D,4.91058757773354
SP,4.016439175317131
BP,3.177784698559164
MOM_12_1,3.098597918855857
EP,3.0688188498916573
VOL_20D,2.985063213517822
AMIHUD,2.724824367355222
REV_1M,1.7975339845519531
