Feature,Importance
TURN_1M,6.272424563843136
ABTURN_1M,5.187554819664608
SIZE,4.3530209334179135
BETA_60D,3.2617827826567614
ROE_TTM,2.8091707572651408
ASSET_GROWTH,2.755438208580017
IVOL,1.9955560384939115
MOM_12_1,1.9915112935317059
REV_1M,1.748313923055927
BP,1.7239505453035235
VOL_20D,1.6412665692623705
SP,1.6350228552085657
GPM_change,1.5302836174766223
OCF_QUALITY,1.4794193724713598
AMIHUD,1.4058124204942335
EP,0.7545256504478554
