Model,Ann_Return,Ann_Vol,Sharpe,Max_Drawdown,Monthly_WinRate,Months,Avg_Turnover,Benchmark_Ann_Return,Excess_Ann_Return,Tracking_Error,Info_Ratio
LightGBM,0.18496970120906475,0.2102260898811918,0.8798608265681935,-0.22860689907142262,0.5918367346938775,98.0,0.71802468454174,0.017860247584018607,0.16390921951224624,0.10635947632573407,1.5410871242940465
CatBoost,0.2013353130240596,0.2203365165750386,0.9137628031597391,-0.24755345446806254,0.5816326530612245,98.0,0.6906596184021833,0.017860247584018607,0.1821028355794807,0.10712172683276729,1.6999617254468826
XGBoost,0.21085057498034998,0.21094624312867008,0.9995464809095379,-0.22470719460215693,0.5918367346938775,98.0,0.7009911803965077,0.017860247584018607,0.1894885135054467,0.10743045724775135,1.763824881322591
RandomForest,0.21502225034163946,0.2132052569060818,1.008522273146192,-0.2287197957605932,0.5918367346938775,98.0,0.5539031111119206,0.017860247584018607,0.19329471518473618,0.1141484707473544,1.6933622843932505
Ridge,0.20200036677066913,0.1984981126988932,1.0176437650925607,-0.20849115447897548,0.6224489795918368,98.0,0.46108198603589345,0.017860247584018607,0.17868990458512557,0.10089211300066339,1.7710988428198609
