Feature,Mean_Gain
TURN_1M,8.266104588731347
MOM_12_1,4.348728676792234
ROE_TTM,3.784377263177248
REV_1M,3.539075456603314
BP,3.4035857338943365
IVOL,3.3915244149199375
VOL_20D,3.2205356711056083
AMIHUD,3.1824009963311255
GPM_change,2.9295553552219644
EP,2.4864289653487504
SP,1.8549203463286783
