year_month,strategy_ret
2017-10,-0.007257017752214349
2017-11,0.00393401157825478
2017-12,0.061658640714462254
2018-01,-0.03543160950494105
2018-02,-0.024665095963441342
2018-03,-0.028132723136108415
2018-04,0.0008281880776399315
2018-05,-0.07400988429622582
2018-06,0.004495624352704595
2018-07,-0.05326480690086432
2018-08,0.0352812019806153
2018-09,-0.0506026308017726
2018-10,0.01274384619207299
2018-11,-0.03221725892845846
2018-12,0.059160102329519175
2019-01,0.15012697014965296
2019-02,0.04190759283128587
2019-03,0.01065527750599709
2019-04,-0.050511277349644126
2019-05,0.047890337875080756
2019-06,0.02382814841533638
2019-07,0.004439172998322228
2019-08,0.0003178068899277256
2019-09,0.03252902845044525
2019-10,0.0027834398599947035
2019-11,0.09573661992335665
2019-12,0.02001891182283741
2020-01,0.004221329090284381
2020-02,-0.0832270943008359
2020-03,0.07078227476199492
2020-04,0.0010851251827012855
2020-05,0.08725567544077849
2020-06,0.16403072929066753
2020-07,0.03652278269702064
2020-08,-0.027820708439131692
2020-09,0.006430794585314988
2020-10,0.09240843501440003
2020-11,0.09411083947092906
2020-12,0.04502336930539455
2021-01,-0.025107824428240538
2021-02,-0.050907236902785334
2021-03,0.060292338754713494
2021-04,0.06182395258748116
2021-05,-0.004176181275764043
2021-06,-0.03751165668904829
2021-07,0.02989538077575392
2021-08,0.0019407229478355552
2021-09,-0.0032874043650032415
2021-10,-0.01856050989358399
2021-11,0.03223585873413383
2021-12,-0.06836827622599637
2022-01,0.02331215487877722
2022-02,-0.0999226138361262
2022-03,-0.05244182968453525
2022-04,0.02514164398361999
2022-05,0.12066588096852705
2022-06,-0.07109145681984982
2022-07,0.003611664551475463
2022-08,-0.06403786183651916
2022-09,-0.03233288126188803
2022-10,0.09986972351910828
2022-11,-0.00622039028902737
2022-12,0.06132873435320107
2023-01,-0.0005352547269579662
2023-02,0.02626383241859903
2023-03,0.013681472115786514
2023-04,-0.06805429161808348
2023-05,0.009560185137359263
2023-06,0.0691390857699978
2023-07,-0.07767864652232816
2023-08,-0.014730921997529737
2023-09,-0.011092600543569774
2023-10,-0.018177498571169286
2023-11,-0.0032271403510849618
2023-12,-0.07107144263967353
2024-01,0.10804213655177876
2024-02,0.021251939929509817
2024-03,0.02641442375437672
2024-04,-0.00018152615846750994
2024-05,-0.037770870224092326
2024-06,0.02201467387294017
2024-07,-0.05906662327760458
2024-08,0.23998678933376122
2024-09,-0.004423269414557495
2024-10,0.04145148699723859
2024-11,0.006827975918286164
2024-12,-0.05028726768130923
2025-01,0.03274737380886919
2025-02,-0.021532174839086742
2025-03,-0.0297605202054368
2025-04,0.015141977221443052
2025-05,0.021984370903184707
2025-06,0.035397933409765936
2025-07,0.1152318517295333
2025-08,0.027557042471003518
2025-09,0.011440408598176436
2025-10,-0.04239621575822646
2025-11,0.04118936316181402
