year_month,strategy_ret
2017-10,-0.03160911214503984
2017-11,0.008168301438066275
2017-12,0.007968511216228436
2018-01,-0.001196281137016032
2018-02,-0.032306117977440284
2018-03,-0.00834449404683065
2018-04,0.0003977904819032654
2018-05,-0.07234807116337127
2018-06,-0.005039958345612015
2018-07,-0.04605000548983345
2018-08,0.02670320957844171
2018-09,-0.09483474149248479
2018-10,0.017265957735800072
2018-11,-0.03350314786709322
2018-12,0.05724502909366849
2019-01,0.14206937772974387
2019-02,0.10029023423337328
2019-03,0.0024402674639144523
2019-04,-0.07091823980786323
2019-05,0.04558022886511443
2019-06,0.027708280787287133
2019-07,0.008821541570014075
2019-08,0.017465910528648355
2019-09,0.039775140034442824
2019-10,-0.006263017684467874
2019-11,0.08195210326127746
2019-12,0.018148815915518687
2020-01,0.027863490013347716
2020-02,-0.08043040558165838
2020-03,0.10093910375844528
2020-04,0.01357167060975196
2020-05,0.11834082285551634
2020-06,0.14054043749575057
2020-07,-0.0036529109144763975
2020-08,-0.034775325490008856
2020-09,0.007811568809624929
2020-10,0.08251455862902479
2020-11,0.0467145038576826
2020-12,0.043156105745724246
2021-01,-0.018016991953745513
2021-02,-0.03894714396044355
2021-03,0.11147678367778918
2021-04,0.10879137171338112
2021-05,0.014791662928114426
2021-06,-0.017590853255816077
2021-07,0.058995412697978006
2021-08,-0.03508518508558022
2021-09,0.01417370648206185
2021-10,0.011947107741191216
2021-11,0.02304799521382893
2021-12,-0.08838851886276859
2022-01,0.05596081974337461
2022-02,-0.10157929023551633
2022-03,-0.07635423584551465
2022-04,0.08244279636026738
2022-05,0.09770585656012286
2022-06,-0.031166928778257184
2022-07,-0.013301239649266286
2022-08,-0.05233225048282195
2022-09,0.002388231855526126
2022-10,0.06390049039663406
2022-11,-0.02940214225969346
2022-12,0.05996138767870314
2023-01,0.08402306788120538
2023-02,0.0678626786407296
2023-03,0.027202123367624873
2023-04,-0.04091995116556661
2023-05,0.01793835019121808
2023-06,0.014615962125674953
2023-07,-0.041412219836610045
2023-08,-0.0008463525630329151
2023-09,-0.028293570013958935
2023-10,-0.0004373246219247619
2023-11,-0.017099523372464173
2023-12,-0.08010500333610311
2024-01,0.15048805900668044
2024-02,0.03972962610928493
2024-03,0.04218260395627771
2024-04,0.007136008448001426
2024-05,-0.013897349360687164
2024-06,0.008861848740926683
2024-07,-0.0443976107533016
2024-08,0.2650565532715788
2024-09,0.008565850129614552
2024-10,0.020248969781195537
2024-11,-0.012396207261871227
2024-12,-0.04138080557358674
2025-01,0.061191010576306236
2025-02,-0.026399436574272354
2025-03,-0.05111368410435602
2025-04,0.016289595453089955
2025-05,0.09383772466112537
2025-06,0.044803998134396124
2025-07,0.09859053789734026
2025-08,0.04372195113084113
2025-09,-0.002952527130998682
2025-10,-0.054309958042791116
2025-11,0.04509495468478212
