year_month,n_stocks,gross_ret,turnover,cost,net_ret,benchmark_monthly_ret,excess_ret,strategy_nav,benchmark_nav,excess_nav,year_month_ts
2015-07,50,-0.142662172999934,1.0,0.006,-0.148662172999934,-0.11322162675530834,-0.03544054624462567,0.851337827000066,0.8867783732446917,0.9645594537553743,2015-07-01
2015-08,50,-0.03102973658008028,0.9600000000000006,0.005760000000000004,-0.036789736580080286,-0.04482864137086906,0.008038904790788774,0.8200173326040756,0.8470253035750627,0.9723134553691689,2015-08-01
2015-09,50,0.11832879616939414,0.46000000000000024,0.0027600000000000016,0.11556879616939414,0.09963158737786326,0.015937208791530877,0.9147857485711662,0.9314157791194627,0.9878094179182021,2015-09-01
2015-10,50,0.14368990766037718,0.8000000000000005,0.004800000000000003,0.13888990766037718,0.009322651128914838,0.12956725653146234,1.0418402567192444,0.9400990434841598,1.1157971741738042,2015-10-01
2015-11,50,0.04296088060720241,0.22000000000000006,0.0013200000000000004,0.04164088060720241,0.043729253860586015,-0.0020883732533836033,1.0852234024610676,0.9812088732107728,1.1134669731990585,2015-11-01
2015-12,50,-0.25323367840859307,0.20000000000000004,0.0012000000000000003,-0.25443367840859304,-0.20298672566371678,-0.05144695274487626,0.8091060202778093,0.782036496845533,1.0561824904459063,2015-12-01
2016-01,50,-0.014866328400458699,0.3200000000000001,0.0019200000000000007,-0.0167863284004587,-0.022120055517002135,0.0053337271165434345,0.7955241009106379,0.7647378061189879,1.061815879635216,2016-01-01
2016-02,50,0.1492661717622981,0.4000000000000002,0.002400000000000001,0.14686617176229808,0.1116827818681807,0.03518338989411737,0.9123596801560273,0.8501458517061259,1.099174161724187,2016-02-01
2016-03,50,0.012108462142148682,0.5000000000000002,0.0030000000000000014,0.009108462142148681,-0.01803383338653064,0.02714229552867932,0.9206698737627513,0.8348144630622074,1.1290082716591932,2016-03-01
2016-04,50,0.044647354827130184,0.3200000000000001,0.0019200000000000007,0.042727354827130186,0.005525759791971563,0.03720159503515862,0.9600076621376614,0.8394274472559529,1.1710091801728026,2016-04-01
2016-05,50,0.09647421286123195,0.24000000000000007,0.0014400000000000005,0.09503421286123195,0.0017779214481978833,0.09325629141303407,1.0512412346496656,0.8409198833186352,1.2802131535263357,2016-05-01
2016-06,50,0.013648042743463318,0.26000000000000006,0.0015600000000000004,0.012088042743463317,0.024604711197160345,-0.012516668453697028,1.0639486836278018,0.86161047418764,1.2641891499335847,2016-06-01
2016-07,50,0.03191663437481086,0.34000000000000014,0.002040000000000001,0.029876634374810862,0.03731989607117536,-0.0074432616963645,1.095735889442111,0.8937656875381589,1.2547794592569246,2016-07-01
2016-08,50,-0.009046808555684804,0.2800000000000001,0.0016800000000000005,-0.010726808555684805,-0.019886148007590143,0.009159339451905339,1.0839821403284724,0.8759921307916695,1.266272410261537,2016-08-01
2016-09,50,0.061921423495881485,0.3200000000000001,0.0019200000000000007,0.06000142349588149,0.02354216680864263,0.03645925668723886,1.149022611792293,0.8966148836578253,1.312439761103231,2016-09-01
