year_month,n_stocks,gross_ret,turnover,cost,net_ret,benchmark_monthly_ret,excess_ret,strategy_nav,benchmark_nav,excess_nav,year_month_ts
2015-07,50,-0.13791908780045348,1.0,0.006,-0.14391908780045348,-0.11794563836446104,-0.025973449435992446,0.8560809121995465,0.882054361635539,0.9740265505640076,2015-07-01
2015-08,50,-0.04649264320479245,0.8600000000000005,0.005160000000000003,-0.05165264320479245,-0.04859238101122343,-0.003060262193569023,0.8118620702872701,0.8391932400223334,0.9710457739357841,2015-08-01
2015-09,50,0.11609884418401878,0.3200000000000001,0.0019200000000000007,0.11417884418401877,0.10338319573093302,0.010795648453085754,0.9045595431095153,0.9259517190116382,0.9815288427430494,2015-09-01
2015-10,50,0.11282329352525303,0.6400000000000003,0.0038400000000000023,0.10898329352525303,0.009148918289602292,0.09983437523565074,1.0031414213072882,0.9344231756289925,1.0795191615340731,2015-10-01
2015-11,50,0.046303844856489244,0.36000000000000015,0.002160000000000001,0.04414384485648924,0.046150865351507475,-0.002007020495018233,1.0474239405785952,0.9775476137887741,1.0773525444521093,2015-11-01
2015-12,50,-0.2583103949823003,0.18000000000000002,0.0010800000000000002,-0.2593903949823003,-0.2103762927146975,-0.04901410226760283,0.7757322309179959,0.7718947708477929,1.0245470766600715,2015-12-01
2016-01,50,-0.014629399319894345,0.34000000000000014,0.002040000000000001,-0.016669399319894345,-0.02329290686978336,0.0066235075498890135,0.7628012405955114,0.7539150978371625,1.0313331719575463,2016-01-01
2016-02,50,0.1648157858003374,0.38000000000000017,0.002280000000000001,0.1625357858003374,0.11837529327008789,0.04416049253024951,0.886783739645175,0.8431600186443836,1.076877352793976,2016-02-01
2016-03,50,0.00056958677201249,0.46000000000000024,0.0027600000000000016,-0.0021904132279875117,-0.019061939884801204,0.01687152665681369,0.8848413168114919,0.8270877530557165,1.0950459177577585,2016-03-01
2016-04,50,0.03789178716831872,0.48000000000000026,0.0028800000000000015,0.03501178716831872,0.004059561351962282,0.03095222581635644,0.9158211926734307,0.8304453665327027,1.128940026283476,2016-04-01
2016-05,50,0.09482982718694737,0.4000000000000002,0.002400000000000001,0.09242982718694737,-0.004934123348351194,0.09736395053529856,1.00047038724638,0.8263478466601637,1.238858087159859,2016-05-01
2016-06,50,0.021975569862412305,0.3000000000000001,0.0018000000000000006,0.020175569862412306,0.015856135901945567,0.004319433960466738,1.020655447439544,0.8394505304190873,1.2442092528537358,2016-06-01
2016-07,50,0.025560505626891935,0.46000000000000024,0.0027600000000000016,0.022800505626891933,0.03866002066212437,-0.01585951503523244,1.043926907712007,0.8719037052699206,1.2244766975011268,2016-07-01
2016-08,50,0.017789672781431527,0.4400000000000002,0.0026400000000000013,0.015149672781431525,-0.022389907548363897,0.03753958032979542,1.0597420587715756,0.8523818619178511,1.2704430388489327,2016-08-01
2016-09,50,0.03166575051163714,0.48000000000000026,0.0028800000000000015,0.02878575051163714,0.025510522441163364,0.0032752280704737777,1.0902475292820628,0.8741265685347471,1.2746040295517087,2016-09-01
2016-10,50,0.017128247154711583,0.4200000000000002,0.0025200000000000014,0.014608247154711582,0.06046348655597655,-0.04585523940126497,1.1061741346496288,0.9269793085595698,1.216156756634798,2016-10-01
2016-11,50,-0.05193732177450455,0.4400000000000002,0.0026400000000000013,-0.054577321774504556,-0.06442055838876248,0.009843236614257928,1.0458021129642219,0.8672627838873334,1.228127675350383,2016-11-01
2016-12,50,0.010676413654897444,0.5400000000000003,0.0032400000000000016,0.007436413654897443,0.023528125142556755,-0.01609171148765931,1.0535791300773896,0.8876678511981166,1.208364999128635,2016-12-01
2017-01,50,0.03456897261038457,0.5400000000000003,0.0032400000000000016,0.03132897261038457,0.019141011363472016,0.012187961246912557,1.086586681786457,0.9046587116248885,1.2230925049101402,2017-01-01
2017-02,50,-0.008446529746578658,0.6200000000000003,0.003720000000000002,-0.012166529746578659,0.0009372076656404271,-0.013103737412219086,1.0733666926002658,0.9055065647042118,1.2070654218949446,2017-02-01
2017-03,50,-0.023005381340579837,0.4200000000000002,0.0025200000000000014,-0.02552538134057984,-0.004714346973390904,-0.020811034367188935,1.045968598453367,0.9012376925715129,1.1819451419164435,2017-03-01
2017-04,50,-0.025998026856759938,0.4000000000000002,0.002400000000000001,-0.02839802685675994,0.015446457928810498,-0.04384448478557044,1.0162651541031609,0.915158622673677,1.130123366124309,2017-04-01
2017-05,50,0.06553045660877488,0.4200000000000002,0.0025200000000000014,0.06301045660877488,0.049790645841474745,0.013219810767300139,1.0803004854987879,0.9607249615439939,1.1450633831681767,2017-05-01
2017-06,50,0.13249602369734254,0.3000000000000001,0.0018000000000000006,0.13069602369734254,0.01938339663106614,0.1113126270662764,1.221491463351788,0.9793470745269669,1.2725233965060245,2017-06-01
2017-07,50,0.024303723589617778,0.38000000000000017,0.002280000000000001,0.022023723589617777,0.02253153063252822,-0.0005078070429104416,1.2483932537077254,1.0014132631365482,1.2718772001630105,2017-07-01
2017-08,50,0.020624628005513644,0.24000000000000007,0.0014400000000000005,0.019184628005513644,0.003769662328991119,0.015414965676522525,1.2723432138847008,1.0051882529903462,1.291483143548275,2017-08-01
2017-09,50,0.06919780428315013,0.34000000000000014,0.002040000000000001,0.06715780428315013,0.044367771571022674,0.022790032712127456,1.357790990423764,1.0497862157848972,1.3209160866369014,2017-09-01
2017-10,50,0.004722135660140519,0.3000000000000001,0.0018000000000000006,0.002922135660140519,-0.00015449053314953165,0.0030766261932900505,1.3617586398958987,1.0496240337527276,1.3249800516681867,2017-10-01
2017-11,50,0.026069799659375385,0.26000000000000006,0.0015600000000000004,0.024509799659375386,0.006179577688918858,0.01833022197045653,1.3951350713441706,1.056110267013459,1.3492672301216913,2017-11-01
2017-12,50,0.04438763476881226,0.13999999999999999,0.0008399999999999999,0.04354763476881226,0.06079206520700953,-0.017244430438197268,1.4558899038842272,1.1203133912315335,1.3259998852293187,2017-12-01
2018-01,50,-0.004660714072639259,0.13999999999999999,0.0008399999999999999,-0.005500714072639259,-0.05899507916346958,0.05349436509083032,1.4478814698017177,1.054220414027934,1.3969334072001751,2018-01-01
