,ic
Ann_Return,0.1722257997462151
Ann_Vol,0.22282379540630715
Sharpe,0.7729237329979533
Max_Drawdown,-0.2717359122284896
Monthly_WinRate,0.624
Months,125.0
Avg_Turnover,0.3840000000000002
Benchmark_Ann_Return,0.018716159782012465
Excess_Ann_Return,0.1510957566943092
Tracking_Error,0.11837539875958318
Info_Ratio,1.2764118075004762
