Model,Params,Tuning_End,Best_Score,Best_Sharpe,Best_Info_Ratio
CatBoost-local,"{""iterations"": 350, ""learning_rate"": 0.06660490973803591, ""depth"": 3, ""l2_leaf_reg"": 4.716262771234147, ""random_strength"": 1.123672154093113, ""bagging_temperature"": 0.32704080387987894}",2020-09,2.0427363849074527,0.9898916769069686,1.7823177044792202
XGBoost-local,"{""n_estimators"": 400, ""learning_rate"": 0.03749184998940676, ""max_depth"": 5, ""min_child_weight"": 13.65499561805311, ""subsample"": 0.7791334440868156, ""colsample_bytree"": 0.835868543623721, ""reg_alpha"": 0.03739674227300589, ""reg_lambda"": 0.2303817542980049}",2020-09,1.6422589349337533,0.9778828434194544,1.384487034822228
