Feature,Importance
TURN_1M,0.068923794
SIZE,0.06678092
ABTURN_1M,0.06645838
GPM_change,0.064998545
BP,0.064963065
MOM_12_1,0.06340084
ROE_TTM,0.06333574
AMIHUD,0.062417176
ASSET_GROWTH,0.061753158
OCF_QUALITY,0.06145261
SP,0.06066389
IVOL,0.059817523
VOL_20D,0.059120942
BETA_60D,0.05903225
REV_1M,0.05869748
EP,0.0581837
