,icir
Ann_Return,0.17367822255557952
Ann_Vol,0.21824555768152326
Sharpe,0.7957927043308757
Max_Drawdown,-0.26652583849671085
Monthly_WinRate,0.6
Months,125.0
Avg_Turnover,0.3552000000000001
Benchmark_Ann_Return,0.03927727156080696
Excess_Ann_Return,0.1287225630977462
Tracking_Error,0.11843803318637122
Info_Ratio,1.0868346901302515
