year_month,stock_code,ret_next_month,dominant_factor
2015-07,002714,-0.20819456277592752,BIAS_20
2015-07,600115,-0.24766018718502525,RET_6M
2015-07,600760,-0.11927642736009036,VOL_SPIKE_6M
2015-07,601009,-0.07679063360881544,UPSHADOW_20
2015-07,600809,-0.15127113769699763,BIAS_20
2015-07,000596,-0.18461781427668977,BIAS_20
2015-07,302132,-0.1877338058672966,UPSHADOW_20
2015-07,600233,-0.09651541739784408,UPSHADOW_20
2015-07,000301,-0.12757201646090544,VOL_SPIKE_6M
2015-07,300308,-0.271748135874068,RET_6M
2015-08,002179,-0.07571486105517522,BIAS_20
2015-08,600115,-0.06507177033492817,RET_6M
2015-08,600176,-0.1044386422976501,BIAS_20
2015-08,601021,0.14355478685522427,UPSHADOW_20
2015-08,600029,-0.07235338918507239,RET_6M
2015-08,300394,0.0675113838843795,RET_6M
2015-08,302132,-0.024118288692279832,BIAS_20
2015-08,603799,-0.08868299139642621,RET_6M
2015-08,300033,-0.04496598839777377,RET_6M
2015-08,300347,0.1467253858899451,VOL_SPIKE_6M
2015-09,603993,0.2963963963963965,VOL_SPIKE_6M
2015-09,600023,0.06720160481444326,VOL_SPIKE_6M
2015-09,600027,0.020484171322160183,UPSHADOW_20
2015-09,600377,0.0538336052202284,BIAS_20
2015-09,600115,0.12282497441146378,VOL_SPIKE_6M
2015-09,601360,0.24565314311190378,UPSHADOW_20
2015-09,600015,0.044411326378539506,BIAS_20
2015-09,300124,0.28252180232558133,UPSHADOW_20
2015-09,002236,0.032824167756030365,RET_6M
2015-09,600029,0.12972085385878485,RET_6M
2015-10,002179,0.02089701550603018,RET_6M
2015-10,302132,0.3553516166897879,BIAS_20
2015-10,300347,-0.034234493682278155,BIAS_20
2015-10,002714,0.09102666136092319,VOL_SPIKE_6M
2015-10,002460,0.3919545669663984,BIAS_20
2015-10,300251,0.1836728157827312,VOL_SPIKE_6M
2015-10,300442,0.46478873239436624,RET_6M
2015-10,002709,0.5284952849528495,BIAS_20
2015-10,601021,-0.08034270934367926,RET_6M
2015-10,002252,-0.007597445496586586,UPSHADOW_20
2015-11,002460,0.32734938120495016,BIAS_20
2015-11,002709,0.12043991416309008,BIAS_20
2015-11,302132,0.020549563026533324,VOL_SPIKE_6M
2015-11,600346,0.024369848285748397,RET_6M
2015-11,002179,-0.06271435570798634,RET_6M
2015-11,002625,-0.21519615957622906,UPSHADOW_20
2015-11,300033,-0.12273998977166756,BIAS_20
2015-11,603993,-0.1237684729064038,BIAS_20
2015-11,300124,0.07688663883707858,RET_6M
2015-11,300394,0.06524132868416221,BIAS_20
2015-12,002709,-0.3016519032798659,RET_6M
2015-12,300476,-0.29649791326438024,RET_6M
2015-12,600346,-0.38763848396501455,RET_6M
2015-12,600026,-0.3394433129667346,BIAS_20
2015-12,002601,-0.0036295369211515327,BIAS_20
2015-12,603799,-0.41017850360805164,BIAS_20
2015-12,002714,-0.11729307432432434,RET_6M
2015-12,002352,-0.3498896247240617,BIAS_20
2015-12,300394,-0.3212162977000603,BIAS_20
2015-12,000708,-0.2343059239610964,RET_6M
2016-01,002460,-0.0245420282233324,RET_6M
2016-01,300394,-0.17538071065989835,RET_6M
2016-01,302132,-0.11515592767867966,BIAS_20
2016-01,000708,0.10681293302540418,BIAS_20
2016-01,600515,0.03511450381679393,RET_6M
2016-01,601689,0.23389437028438786,BIAS_20
2016-01,600436,-0.029566893194035937,BIAS_20
2016-01,002600,-0.01464713715046595,VOL_SPIKE_6M
2016-01,600015,-0.023079355042680993,BIAS_20
2016-01,600061,-0.1733021077283372,VOL_SPIKE_6M
2016-02,300033,0.4812794675048533,VOL_SPIKE_6M
2016-02,000963,0.03892501477877319,UPSHADOW_20
2016-02,000792,0.18265747341357974,VOL_SPIKE_6M
2016-02,601088,0.03171007927519809,UPSHADOW_20
2016-02,600438,-0.023400056385677992,BIAS_20
2016-02,000333,0.18329997140406062,UPSHADOW_20
