year_month,stock_code,ret_next_month,dominant_factor
2017-10,603799,-0.10776313036200036,RET_6M
2017-10,002600,0.08331115251530474,RET_6M
2017-10,300394,-0.05676049838486397,VOL_SPIKE_6M
2017-10,300308,-0.1199750312109863,BIAS_20
2017-10,002371,0.08303594188121344,VOL_SPIKE_6M
2017-10,000596,-0.1661754327701439,BIAS_20
2017-10,300502,-0.14498105140413953,VOL_SPIKE_6M
2017-10,000661,0.003065379512284361,RET_6M
2017-10,600233,-0.16568831660670325,BIAS_20
2017-10,600588,-0.11719540711269316,VOL_SPIKE_6M
2017-11,600690,0.08964221746537926,VOL_SPIKE_6M
2017-11,300661,-0.07365522666928892,RET_6M
2017-11,601877,0.08633093525179847,VOL_SPIKE_6M
2017-11,000596,0.07920939958179818,RET_6M
2017-11,002384,-0.008339923790351533,BIAS_20
2017-11,002600,-0.1398034398034399,RET_6M
2017-11,600600,0.2819253438113949,UPSHADOW_20
2017-11,601100,0.09246231155778895,BIAS_20
2017-11,601127,-0.007306380905991339,VOL_SPIKE_6M
2017-11,000002,-0.0051249407937769,RET_6M
2017-12,601100,0.11844526218951246,VOL_SPIKE_6M
2017-12,600346,0.20595683106234164,BIAS_20
2017-12,300661,-0.1857749469214437,RET_6M
2017-12,601360,0.11503662214562671,UPSHADOW_20
2017-12,600515,-0.056745584366779345,UPSHADOW_20
2017-12,600188,0.2396737700605105,BIAS_20
2017-12,002600,-0.19937160811196797,RET_6M
2017-12,000100,-0.08508771929824566,UPSHADOW_20
2017-12,000301,0.08890845070422526,BIAS_20
2017-12,002648,0.08503401360544216,BIAS_20
2018-01,600346,0.05649435056494334,VOL_SPIKE_6M
2018-01,601100,0.032901501130989,VOL_SPIKE_6M
2018-01,300413,0.22524337025847596,UPSHADOW_20
2018-01,601360,0.11041344667697062,RET_6M
2018-01,000002,-0.129393703313322,UPSHADOW_20
2018-01,603288,-0.018841591067690122,UPSHADOW_20
2018-01,600845,0.2713308532341294,VOL_SPIKE_6M
2018-01,600760,-0.015437392795883409,BIAS_20
2018-01,002142,0.011636731596256,UPSHADOW_20
2018-01,000596,-0.13930499912907146,UPSHADOW_20
2018-02,601600,-0.19767441860465107,RET_6M
2018-02,000002,0.018043043941188497,RET_6M
2018-02,600346,-0.0687109596819988,RET_6M
2018-02,000876,-0.03832622202260649,UPSHADOW_20
2018-02,601225,-0.11719605695509316,BIAS_20
2018-02,601998,-0.057050592034445624,UPSHADOW_20
2018-02,002027,-0.1418394198061741,RET_6M
2018-02,601100,-0.03882142146127798,RET_6M
2018-02,600690,-0.09917748973471141,RET_6M
2018-02,002142,-0.06176544136034001,BIAS_20
2018-03,601360,-0.13159433851912505,VOL_SPIKE_6M
2018-03,002027,-0.1287861790442002,RET_6M
2018-03,300413,-0.08722358722358736,RET_6M
2018-03,601100,-0.010563380281690127,RET_6M
2018-03,002415,-0.06778727933350459,BIAS_20
2018-03,600426,0.07349100406268128,RET_6M
2018-03,600188,0.04798890429958402,VOL_SPIKE_6M
2018-03,000301,-0.07549759780370624,BIAS_20
2018-03,002142,-0.048240938166311365,VOL_SPIKE_6M
2018-03,002311,0.021477663230240474,UPSHADOW_20
2018-04,600845,-0.14342693044033183,RET_6M
2018-04,600372,-0.0651923519926284,VOL_SPIKE_6M
2018-04,302132,-0.013003289989033329,VOL_SPIKE_6M
2018-04,002179,0.0061736446241469345,BIAS_20
2018-04,300308,0.09734759061241505,RET_6M
2018-04,000301,0.09651076466221231,BIAS_20
2018-04,300413,0.173620457604307,RET_6M
2018-04,601607,0.13350866871993627,UPSHADOW_20
2018-04,601100,0.06635963994138572,RET_6M
2018-04,603993,-0.06204081632653058,VOL_SPIKE_6M
2018-05,300015,-0.02152267567615873,BIAS_20
2018-05,600188,-0.0028232636928289256,UPSHADOW_20
2018-05,600760,0.06217709960350826,VOL_SPIKE_6M
2018-05,601100,-0.08382410679230456,RET_6M
2018-05,601877,-0.16169749727965177,VOL_SPIKE_6M
2018-05,600438,-0.3883115803474936,BIAS_20
2018-05,300413,-0.12178899082568817,RET_6M
2018-05,601360,-0.15515993631495162,RET_6M
2018-05,600036,-0.08130563798219592,UPSHADOW_20
2018-05,000538,-0.06257259001161442,UPSHADOW_20
2018-06,000596,0.05506258645703288,BIAS_20
2018-06,002304,-0.024697226077532997,BIAS_20
2018-06,601607,-0.017426318817040487,VOL_SPIKE_6M
2018-06,600346,0.13296146044624746,UPSHADOW_20
2018-06,300413,0.04256986158265863,RET_6M
2018-06,300308,-0.13398577410079204,RET_6M
2018-06,000895,-0.04467866803469811,BIAS_20
2018-06,000301,-0.04130434782608694,BIAS_20
2018-06,002384,0.049518569463548934,VOL_SPIKE_6M
2018-06,600803,0.06929023190442707,UPSHADOW_20
2018-07,600690,-0.13580513041603792,UPSHADOW_20
2018-07,300661,-0.08739708676377467,BIAS_20
2018-07,000301,0.07558578987150422,VOL_SPIKE_6M
2018-07,000963,-0.028514742818548378,RET_6M
2018-07,300413,-0.06212424849699405,RET_6M
2018-07,300476,0.004581901489117968,BIAS_20
2018-07,600346,-0.018619640139647342,UPSHADOW_20
2018-07,002352,-0.0697424171094223,VOL_SPIKE_6M
2018-07,000999,0.03813897763578278,VOL_SPIKE_6M
2018-07,600372,-0.11188004613610147,BIAS_20
2018-08,300661,-0.04610995450690114,RET_6M
2018-08,600011,0.09825327510917026,VOL_SPIKE_6M
2018-08,601800,0.019016393442622848,BIAS_20
2018-08,002475,-0.17096398906955979,UPSHADOW_20
2018-08,000963,-0.06669853132875636,RET_6M
2018-08,600372,0.12363636363636354,BIAS_20
2018-08,002142,0.05840707964601788,UPSHADOW_20
