month,stock_code,top_risk_score,rank_in_topn
2017-10,603799,1.1628856180641873,1
2017-10,002600,0.7893535980272894,2
2017-10,300308,0.750249834066375,3
2017-10,002371,0.7201216520852921,4
2017-10,000596,0.7096807559439764,5
2017-10,300502,0.7084053816181596,6
2017-10,000661,0.590615320710787,7
2017-10,600233,0.5804196505918229,8
2017-10,600588,0.4288661377463051,9
2017-10,601225,0.4205925028260444,10
2017-11,600690,1.288398947321845,1
2017-11,300661,1.1650114950496127,2
2017-11,601877,1.104351670430479,3
2017-11,000596,0.9982431512319847,4
2017-11,002384,0.9750738896928977,5
2017-11,002600,0.8637847655179481,6
2017-11,600600,0.8334419035947135,7
2017-11,601100,0.7371624597255861,8
2017-11,601127,0.5751351905391365,9
2017-11,000002,0.5576254349714461,10
2017-12,601100,1.435118421850581,1
2017-12,600346,1.238202645812616,2
2017-12,300661,1.2034651014603615,3
2017-12,601360,1.1619767501435587,4
2017-12,600188,0.5837468539460474,5
2017-12,002600,0.5753142543061553,6
2017-12,000100,0.4123437078477132,7
2017-12,000301,0.3837399143681726,8
2017-12,002648,0.23044723870674444,9
2017-12,000876,0.03310508671921841,10
2018-01,300308,1.6467420756461324,1
2018-01,600346,1.5711354038585224,2
2018-01,601100,1.427196624403377,3
2018-01,300413,0.9242959959516562,4
2018-01,601360,0.8597360345963355,5
2018-01,000002,0.7350888841690635,6
2018-01,603288,0.7235929069098972,7
2018-01,600845,0.6039950167563505,8
2018-01,600760,0.5259244263367235,9
2018-01,002142,0.44057311334104426,10
2018-02,601600,1.6611527637715724,1
2018-02,000002,0.9345890288328275,2
2018-02,600346,0.8404796738487756,3
2018-02,000876,0.7129594228746178,4
2018-02,601225,0.6753016635792993,5
2018-02,601998,0.6544987015681648,6
2018-02,002027,0.5853987629568873,7
2018-02,601100,0.5770943889863209,8
2018-02,600690,0.5583269930869286,9
2018-02,002142,0.30009892893676016,10
2018-03,601360,1.596315428504791,1
2018-03,002027,1.1605693756108406,2
2018-03,300413,0.9656374599024393,3
2018-03,601100,0.8669758001782897,4
2018-03,002415,0.7831591096986513,5
2018-03,002179,0.7369604319349314,6
2018-03,600426,0.6924255149167369,7
2018-03,600188,0.656765202003297,8
2018-03,000301,0.5885476750387413,9
2018-03,002142,0.4614042457556682,10
2018-04,600845,1.8824606510123894,1
2018-04,600372,1.3727261357205927,2
2018-04,302132,1.039354622027876,3
2018-04,002179,1.0300715990712879,4
2018-04,300308,0.946410753623002,5
2018-04,000301,0.9311051802029642,6
2018-04,300413,0.8873932252187902,7
2018-04,601607,0.741369801847325,8
