Label,Ann_Return,Ann_Vol,Sharpe,Max_Drawdown,Monthly_WinRate,Months,Avg_Turnover,Benchmark_Ann_Return,Excess_Ann_Return,Tracking_Error,Info_Ratio,Calmar,N_months
ICIR (no filter),0.19269867487531345,0.20229023846446573,0.9525851387493562,-0.23813001381720444,0.5816326530612245,98.0,0.3336734693877553,0.017860247584018607,0.1682859726572461,0.11904444080163905,1.4136399106419177,0.8092162419443464,98
ICIR + TopRisk,0.19552105814921417,0.2000304141564758,0.9774566481488454,-0.22253960856379473,0.6020408163265306,98.0,0.4237244897959185,0.017860247584018607,0.17089093099110175,0.11625918898455563,1.4699133245614129,0.8785899256813187,98
Ridge (no filter),0.20200036677066913,0.1984981126988932,1.0176437650925607,-0.20849115447897548,0.6224489795918368,98.0,0.46108198603589345,0.017860247584018607,0.17868990458512557,0.10089211300066339,1.7710988428198609,0.9688678029313665,98
Ridge + TopRisk,0.18844848823038918,0.19623479340873534,0.9603214850787029,-0.1919890199942833,0.6326530612244898,98.0,0.5668500857207115,0.017860247584018607,0.16533262604904575,0.09741444749623936,1.6972084767552404,0.981558675782607,98
XGBoost (no filter),0.21085057498034998,0.21094624312867008,0.9995464809095379,-0.22470719460215693,0.5918367346938775,98.0,0.7009911803965077,0.017860247584018607,0.1894885135054467,0.10743045724775135,1.763824881322591,0.9383347754114414,98
XGBoost + TopRisk,0.2040885397457528,0.20677238231503456,0.9870203044563626,-0.22434826586269274,0.5816326530612245,98.0,0.7605958636910081,0.017860247584018607,0.18229533855753965,0.10482160355213158,1.7391008378046573,0.9096951962653482,98
