year_month,weight_mode,BIAS_20_weight,UPSHADOW_20_weight,VOL_SPIKE_6M_weight,RET_6M_weight
2015-01,equal_fallback,0.25,0.25,0.25,0.25
2015-02,equal_fallback,0.25,0.25,0.25,0.25
2015-03,equal_fallback,0.25,0.25,0.25,0.25
2015-04,equal_fallback,0.25,0.25,0.25,0.25
2015-05,equal_fallback,0.25,0.25,0.25,0.25
2015-06,equal_fallback,0.25,0.25,0.25,0.25
2015-07,equal_fallback,0.25,0.25,0.25,0.25
2015-08,equal_fallback,0.25,0.25,0.25,0.25
2015-09,equal_fallback,0.25,0.25,0.25,0.25
2015-10,equal_fallback,0.25,0.25,0.25,0.25
2015-11,equal_fallback,0.25,0.25,0.25,0.25
2015-12,equal_fallback,0.25,0.25,0.25,0.25
2016-01,equal_fallback,0.25,0.25,0.25,0.25
2016-02,equal_fallback,0.25,0.25,0.25,0.25
2016-03,equal_fallback,0.25,0.25,0.25,0.25
2016-04,equal_fallback,0.25,0.25,0.25,0.25
2016-05,equal_fallback,0.25,0.25,0.25,0.25
2016-06,equal_fallback,0.25,0.25,0.25,0.25
2016-07,equal_fallback,0.25,0.25,0.25,0.25
2016-08,equal_fallback,0.25,0.25,0.25,0.25
2016-09,equal_fallback,0.25,0.25,0.25,0.25
2016-10,equal_fallback,0.25,0.25,0.25,0.25
2016-11,equal_fallback,0.25,0.25,0.25,0.25
2016-12,equal_fallback,0.25,0.25,0.25,0.25
2017-01,equal_fallback,0.25,0.25,0.25,0.25
2017-02,equal_fallback,0.25,0.25,0.25,0.25
2017-03,equal_fallback,0.25,0.25,0.25,0.25
2017-04,equal_fallback,0.25,0.25,0.25,0.25
2017-05,equal_fallback,0.25,0.25,0.25,0.25
2017-06,equal_fallback,0.25,0.25,0.25,0.25
2017-07,equal_fallback,0.25,0.25,0.25,0.25
2017-08,equal_fallback,0.25,0.25,0.25,0.25
2017-09,equal_fallback,0.25,0.25,0.25,0.25
2017-10,equal_fallback,0.25,0.25,0.25,0.25
2017-11,equal_fallback,0.25,0.25,0.25,0.25
2017-12,equal_fallback,0.25,0.25,0.25,0.25
2018-01,equal_fallback,0.25,0.25,0.25,0.25
2018-02,walk_forward,0.0,0.0,-0.023809523809523836,0.0
2018-03,walk_forward,0.0,0.0,-0.023809523809523836,0.06000000000000005
2018-04,walk_forward,0.06000000000000005,-0.04999999999999999,0.038461538461538436,0.11290322580645162
2018-05,walk_forward,0.017241379310344862,-0.06521739130434784,0.06666666666666665,0.038461538461538436
2018-06,walk_forward,0.0625,0.0,0.09999999999999998,0.07446808510638303
2018-07,walk_forward,0.07894736842105265,-0.0357142857142857,0.10526315789473684,0.0636363636363636
2018-08,walk_forward,0.08139534883720934,0.016129032258064502,0.09999999999999998,0.09322033898305082
