dominant_factor,count,mean_ret_1m,mean_ret_3m,pct_negative_1m,pct_negative_3m
BIAS_20,418,0.017590031584045613,0.06507051073365569,0.5334928229665071,0.5135135135135135
UPSHADOW_20,249,0.029934269719085985,0.06230668930061262,0.46987951807228917,0.46530612244897956
VOL_SPIKE_6M,423,0.019899613762466836,0.04117619707392511,0.4846335697399527,0.5120192307692307
RET_6M,526,0.015561983791936523,0.0646119748773904,0.5076045627376425,0.47572815533980584
ALL,1616,0.019436513897441558,0.05821434099296074,0.5024752475247525,0.4933670246367656
