year_month,const,EP,BP,SP,MOM_12_1,REV_1M,ROE_TTM,GPM_change,VOL_20D,IVOL,TURN_1M,AMIHUD,SIZE,BETA_60D,ABTURN_1M,OCF_QUALITY,ASSET_GROWTH
2015-07,-0.12257314508254946,0.05029256680273466,0.023041664793871652,-0.009864730198825389,-3.094699476192103e-17,-0.0016277361259525447,-0.028943673214434543,2.7775928429833e-17,-0.01988526253786279,-0.007264984421623032,-0.020875294876182848,0.007098748036728772,0.009928400215312654,0.01040369875216738,0.0,0.0,0.0
2015-08,-0.04510292811270453,0.014310759478004594,-0.01664278468920326,0.0074228116683711905,-4.7076821637092525e-18,-0.005917657716199356,-0.0036685862297883105,2.578301326216764e-18,-0.007151873790693278,0.004841061080886616,0.009827753336159194,0.0020048583518803603,0.015113382607375546,-0.0161638567784422,0.0,0.0015468619351603834,0.00879905074976257
2015-09,0.15182651841074168,0.007813060993909859,-0.01647859939227018,0.003612571376082293,-1.481451892306879e-17,-0.0183131972209582,-0.0033872388341160686,2.379101601167104e-18,0.013505625782197366,0.012958592344965826,0.006410594332440393,0.007654367237939287,0.01920773985045954,0.013281151246549494,0.0,0.010462880652974326,0.02380531365148346
2015-10,0.054455368194936474,0.008872386905974644,-0.0001351303364225294,-0.020797022497087196,1.066287875973099e-18,-0.0037227614727954467,0.011771621504912769,1.2878450882476336e-17,0.02208910037804659,-0.029169119353861826,0.049927317878817046,0.0453683021729878,0.005811932353661505,-0.02266965632793724,0.0,0.0007970585343516877,0.020751738081772823
2015-11,0.0458898350419838,0.01642600528323962,-0.02615112854552048,0.010085359847956946,1.4268017815673838e-17,-0.0037373676205137564,-0.02469639440857929,-3.3666378721159608e-18,0.014307523464878737,-0.012049436226642861,-0.020284628250624118,-0.015404688400247031,0.042145342723463236,-0.008783940302702858,0.0,0.000657985444755454,-0.0006918135174715338
2015-12,-0.23591215784691344,0.000851868992510601,-0.010517685037645066,0.023297144873460934,-1.3741018036932526e-18,0.002887652214932172,0.023018598507684104,-6.912318165042418e-18,-0.00809283605283531,-0.007023626311597964,0.007199998754021658,0.011065854064097469,-0.015839011211283373,-0.020391053696024505,0.0,0.0008757902757190678,0.012703060450932783
2016-01,-0.01316808309233608,-0.0004154814129388746,-0.010109770311838361,0.01214649225943814,-1.7237638472832806e-17,0.003280079111016415,-0.010160781360148018,6.110638671693338e-18,0.01234069188763819,-0.014286889967626244,-0.002099925872172328,-0.005285300375522112,0.018236455717640286,-0.023681482296539713,0.012350089636367587,0.005339517491537544,-0.0019412320478850503
2016-02,0.1608104489713349,-0.007178112242595256,0.0006603080069890607,-0.010719349007759804,3.3791625262449627e-18,-0.029616199065666173,-0.00043216009640739857,8.538553099392143e-18,0.006668637036623633,0.008884301007706034,0.015443598040520597,0.009844303050546573,0.00018947994431731466,0.0051493678175589825,-0.006117677817793695,-0.005953911295345891,0.008337440446055227
2016-03,-0.014365293242660533,-0.001376007480666622,0.003261106172106447,-0.006259549350742589,-1.1685084641893353e-17,-0.0044961358635372106,0.005498884068228397,-2.8070159067357698e-18,0.02712451690827257,-0.02400270592620815,-0.0030790129555837565,-0.005124355568748721,0.02777907444588109,-0.021506904954782666,0.0015623360565890122,0.008087475566692991,-0.0021637992904826302
2016-04,0.01113805764537006,0.003986364312914947,-0.014368639007068112,0.002744066705809569,1.3436035092169115e-18,0.012132686955050993,-0.0038639790714000317,-6.599445492373867e-18,0.0224273245247237,-0.03586827486962303,0.0003704716743732541,0.011371566243750283,-0.00868088244527766,0.017482333945921635,0.004183742817185981,-0.014364095797614069,0.008562538482488632
