Factor,Mean,Std,T_simple,T_NW,P_NW,Significant,N_months
EP,-0.00021530558240754623,0.010618565319460121,-0.22669631146693078,-0.22825644114214252,0.8194468856375241,,125
BP,-0.001465631504088221,0.011223195485776789,-1.4600350128712452,-1.2173419965829249,0.22347412192268123,,125
SP,-0.0015076871542618396,0.01429284042856681,-1.1793635360941113,-1.163547623251804,0.24460738787566016,,125
MOM_12_1,0.0015603500480954973,0.01713599172271549,1.0180469367324423,1.1302711921480952,0.25836196945419676,,125
REV_1M,0.0002395975428496415,0.014384503892428926,0.1862269276230321,0.1844605449090756,0.8536521766076226,,125
ROE_TTM,0.001293930242797489,0.0148631805530837,0.9733165693253015,0.9270415078088122,0.3539049836219853,,125
GPM_change,-0.000245507512617889,0.009772569435913222,-0.2808736693049586,-0.26820471127474377,0.788541748737223,,125
VOL_20D,0.0014181232909917325,0.014906792456040251,1.063615827645178,1.024250341333043,0.30571704657487153,,125
IVOL,0.0008375645184127424,0.01228048062075496,0.7625317186476819,0.6668892176633431,0.5048428986984159,,125
TURN_1M,-0.0007429204191276433,0.014437234863201373,-0.5753250448520028,-0.575424263619258,0.5650043983065006,,125
AMIHUD,0.0008130198623502093,0.012381220704111148,0.7341633441155521,0.7187461257236659,0.47229735749670143,,125
SIZE,0.00032401786199150374,0.011743551491786514,0.30847821710659,0.28244668524174993,0.7776010218898524,,125
BETA_60D,0.0013637585069464784,0.016526545131579785,0.922593531239292,1.0018897430059692,0.3163968470023628,,125
ABTURN_1M,0.0007017120984734418,0.010531856827314558,0.7449189532994865,0.6457501266535519,0.5184411917421096,,125
OCF_QUALITY,0.0012424621314542357,0.006566025148332444,2.1156100705055407,2.449222499810309,0.01431649795963551,**,125
ASSET_GROWTH,0.0020551001483697416,0.012021553096898077,1.9112936553557223,1.5294499095785385,0.12615294768661092,,125
