year_month,strategy_ret,benchmark_ret,nav,benchmark_nav,excess_nav
2017-10,-0.02381411310774297,-0.00015449053314953165,0.976185886892257,0.9998455094668505,0.9763367216729217
2017-11,0.014339325122966028,0.006179577688918858,0.990183733704856,1.0060241324695176,0.9842544544873116
2017-12,-0.005785519704469463,0.06079206520700953,0.9844550062024614,1.0671824171304296,0.922480534161708
2018-01,-0.008712500278891077,-0.05899507916346958,0.9758779416863668,1.0042239059499571,0.971773262819534
2018-02,-0.00798072826775869,-0.03110217062054721,0.9680897250112682,0.9729903626858692,0.9949633235204168
2018-03,-0.03992811669604628,-0.03632706750138137,0.929435725498775,0.9376444761023861,0.9912453485166004
2018-04,0.02171704268271715,0.012110856969765216,0.949620320820274,0.9490001542409525,1.0006534947086678
2018-05,-0.08745416724551239,-0.07663392573485628,0.8665720664635207,0.8762745468984842,0.9889275792965746
2018-06,0.004345310545503064,0.0019003214197725882,0.8703375912023631,0.8779397501895568,0.9913409103693592
2018-07,-0.03937873003910215,-0.05206675920932602,0.8360648021555227,0.8322282726161413,1.0046099485749518
2018-08,0.021806329531465777,0.031297308385294986,0.8542963067409859,0.85827477751117,0.9953645721924617
2018-09,-0.055003128248596524,-0.08288839486283994,0.8073073374190091,0.787133758852008,1.0256291619310334
2018-10,0.018058617563501904,0.005982263430763357,0.8218861918816679,0.7918426003527077,1.0379413680390244
2018-11,-0.031571189906685046,-0.05107211861228167,0.7959382668360896,0.7514015211452366,1.0592715671149733
2018-12,0.05997045549588336,0.06343439000296947,0.8436710472448538,0.799066218286388,1.055821192208728
2019-01,0.1655031012422715,0.14609325928362193,0.9833012219921919,0.9158044064992845,1.0737022174319055
2019-02,0.07174711004300403,0.055314945072314936,1.0538502429718861,0.9664620769417764,1.0904206881108427
2019-03,-0.010117105687853291,0.01055433909358694,1.0431883286845698,0.9766624454229123,1.0681155332361025
2019-04,-0.05776924705628523,-0.0724269659877782,0.9829241243985576,0.9059257477067267,1.0849941365357432
2019-05,0.04881144634867273,0.05394197844557902,1.0309020725614537,0.954793174862818,1.0797124442260186
2019-06,0.04065461321523493,0.0025543792364413065,1.0728129975842238,0.9572320787237835,1.120744928455111
2019-07,-0.004590744343963088,-0.009327158161726246,1.067887987383434,0.9483038237280488,1.1261032178329369
2019-08,0.012191494366664071,0.0039325337023559115,1.0809071377658472,0.9520330604749323,1.1353672289769272
2019-09,0.01956788982531368,0.018933928391664745,1.1020582095490445,0.9700587862684621,1.1360736330097543
2019-10,-0.005430803183002674,-0.014943325429561782,1.0960731483167714,0.9555628821394467,1.147044499952458
2019-11,0.08927906708648303,0.06997493386086195,1.193929536457037,1.022428331617049,1.1677390967528702
2019-12,0.020237947865907907,-0.022623982627468564,1.218092220171422,0.9992969308047133,1.2189492258227166
2020-01,0.008188213174576912,-0.015947447252067426,1.2280662189364793,0.9833606957115523,1.2488461500363912
2020-02,-0.08321761813675164,-0.06443930012037913,1.1258694732823789,0.9199936207140107,1.2237796523073574
2020-03,0.1100620861437676,0.06142498077264791,1.2497850162374222,0.9765042111773276,1.2798562483725617
