year_month,strategy_ret,benchmark_ret,nav,benchmark_nav,excess_nav
2017-10,-0.026545307111429384,-0.00015449053314953165,0.9734546928885706,0.9998455094668505,0.9736051056604211
2017-11,0.017091351402281817,0.006179577688918858,0.9900923491189295,1.0060241324695176,0.9841636171177327
2017-12,0.010340306009555943,0.06079206520700953,1.0003302069865394,1.0671824171304296,0.9373563422046902
2018-01,-0.0054835390303589835,-0.05899507916346958,0.9948448572532815,1.0042239059499571,0.9906604008915687
2018-02,-0.02397347404339404,-0.03110217062054721,0.970994969890716,0.9729903626858692,0.9979492162803698
2018-03,-0.031629908770019526,-0.03632706750138137,0.9402824875769248,0.9376444761023861,1.0028134453321844
2018-04,0.01201533317159494,0.012110856969765216,0.9515802949405775,0.9490001542409525,1.0027187990308482
2018-05,-0.07473850645461037,-0.07663392573485628,0.8804606049250812,0.8762745468984842,1.0047771078612442
2018-06,-0.005785956059274459,0.0019003214197725882,0.8753662985530625,0.8779397501895568,0.9970687605431481
2018-07,-0.06790618363078738,-0.05206675920932602,0.8159235139393156,0.8322282726161413,0.9804083095788478
2018-08,0.02775404362088361,0.031297308385294986,0.838568690736492,0.85827477751117,0.977039885953748
2018-09,-0.09618753792057357,-0.08288839486283994,0.75790883299727,0.787133758852008,0.9628717158601341
2018-10,0.022756310222837688,0.005982263430763357,0.7751560415215847,0.7918426003527077,0.9789269245886867
2018-11,-0.03545834352825392,-0.05107211861228167,0.7476702923133108,0.7514015211452366,0.9950343075879872
2018-12,0.0365289256255565,0.06343439000296947,0.7749818848136619,0.799066218286388,0.9698594022353049
2019-01,0.1510634207995198,0.14609325928362193,0.8920532993912732,0.9158044064992845,0.9740653059327359
2019-02,0.09328005193058805,0.055314945072314936,0.9752640774833436,0.9664620769417764,1.0091074453427287
2019-03,0.025185482409780798,0.01055433909358694,0.9998265737516915,0.9766624454229123,1.0237176400478354
2019-04,-0.0486248743262847,-0.0724269659877782,0.9512101322549357,0.9059257477067267,1.049986861133865
2019-05,0.06832564165861171,0.05394197844557902,1.0162021748934271,0.954793174862818,1.0643165469206797
