year_month,strategy_ret,benchmark_ret,nav,benchmark_nav,excess_nav
2017-10,-0.02410398419471905,-0.00015449053314953165,0.975896015805281,0.9998455094668505,0.9760468057966873
2017-11,0.02696307421389132,0.006179577688918858,1.0022091725044797,1.0060241324695176,0.9962078842426243
2017-12,0.026976233274025915,0.06079206520700953,1.0292450009313292,1.0671824171304296,0.9644508608930129
2018-01,-0.03251589374670592,-0.05899507916346958,0.9957781798417179,1.0042239059499571,0.9915897977948952
2018-02,-0.010932315621472692,-0.03110217062054721,0.9848920184907126,0.9729903626858692,1.0122320387346795
2018-03,-0.02983073564745617,-0.03632706750138137,0.9555119650458266,0.9376444761023861,1.0190557182373774
2018-04,-0.008942232822884278,0.012110856969765216,0.9469675545893351,0.9490001542409525,0.9978581672062602
2018-05,-0.06476095040805993,-0.07663392573485628,0.8856410357485334,0.8762745468984842,1.0106889888371187
2018-06,0.0034290956882662704,0.0019003214197725882,0.8886779836055704,0.8779397501895568,1.0122311735101355
2018-07,-0.03883906046115497,-0.05206675920932602,0.8541625656698164,0.8322282726161413,1.0263561017756868
2018-08,0.032058930412257894,0.031297308385294986,0.8815461039233806,0.85827477751117,1.0271140746786163
2018-09,-0.07185682260605422,-0.08288839486283994,0.8182010019147,0.787133758852008,1.0394688230727163
2018-10,0.004541703701220945,0.005982263430763357,0.8219170284334387,0.7918426003527077,1.0379803108185075
2018-11,-0.02537735645427279,-0.05107211861228167,0.8010589470270467,0.7514015211452366,1.0660864058488004
2018-12,0.0448274708714954,0.06343439000296947,0.8369683936412523,0.799066218286388,1.0474330843770947
2019-01,0.1344640511424782,0.14609325928362193,0.9495105545284674,0.9158044064992845,1.0368049638001051
2019-02,0.055618329180537926,0.055314945072314936,1.0023207451106269,0.9664620769417764,1.037103026620889
2019-03,-0.016637530879666837,0.01055433909358694,0.9856446027625182,0.9766624454229123,1.009196787878658
2019-04,-0.05729242069341449,-0.0724269659877782,0.9291746375268546,0.9059257477067267,1.0256631295434315
2019-05,0.040532382706931526,0.05394197844557902,0.9668362995366674,0.954793174862818,1.0126133334327403
2019-06,0.022590047185275283,0.0025543792364413065,0.9886771771636377,0.9572320787237835,1.0328500257552775
2019-07,0.0004264600689517519,-0.009327158161726246,0.989098808500782,0.9483038237280488,1.0430188972689751
2019-08,0.015505801626236581,0.0039325337023559115,1.004435578414142,0.9520330604749323,1.0550427502098176
2019-09,-0.0031589031365139913,0.018933928391664745,1.0012626637150635,0.9700587862684621,1.032166996359709
2019-10,0.0032694336132361194,-0.014943325429561782,1.0045362255234918,0.9555628821394467,1.0512507803509452
2019-11,0.08379519306139444,0.06997493386086195,1.0887115324783974,1.022428331617049,1.0648291902832117
2019-12,0.012699122240388412,-0.022623982627468564,1.1025372133138611,0.9992969308047133,1.1033129186397186
