,EP,BP,SP,MOM_12_1,REV_1M,ROE_TTM,GPM_change,VOL_20D,IVOL,TURN_1M,AMIHUD,SIZE,BETA_60D,ABTURN_1M,OCF_QUALITY,ASSET_GROWTH
2015-07,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
2015-08,0.0974528316162639,0.12718348277863584,-0.04250773516240235,0.0,-0.020801568144986758,-0.0019269200695669307,0.0,-0.20416181949443474,-0.21533117508671526,-0.14936391748389408,-0.05883030651477014,-0.07465855028010973,0.0077816933682203476,0.0,0.0,0.0
2015-09,0.125373101061325,0.07139739439547371,-0.018631135878545493,0.0,-0.036916602908830684,0.06938323525373244,0.0,-0.19637663971506908,-0.10418779534251477,-0.08426634759230814,0.041526704737433494,-0.001041337505407613,-0.09632772708904706,0.0,0.003415596563413136,0.15115638195689943
2015-10,0.03383139728030444,0.04339734183712772,-0.10828013850149142,0.0,-0.13101508665031825,0.008221489125409698,0.0,-0.015195356175974437,0.0076022737609309785,0.009648879309980842,0.20355655246413476,0.19629345620592215,0.044531325499497294,0.0,0.010621286956381445,0.1878054162325266
2015-11,0.04423753602341003,0.020956225290484767,-0.1166516077937981,0.0,-0.030068271736901884,0.030359827428760193,0.0,0.026605938986047652,0.01654655133191276,0.06078641855768366,0.21111451727905692,0.21699502865848938,0.051675274284900256,0.0,0.010942465815157003,0.1630603368133973
2015-12,0.03760419409620167,0.0015636758280918187,-0.10229973879055737,0.0,-0.057124434631045634,0.015439870327381474,0.0,0.0072012610319622085,-0.023177104167776706,0.04362290089022315,0.2589732182604918,0.2687985824979466,0.05975755506853244,0.0,0.004052385327081956,0.12038507908270714
2016-01,0.1010273008465518,0.015327257172889823,-0.06042036683609018,0.0,-0.06297857764755053,0.08911337042402323,0.0,-0.046411978321354776,-0.08062454824250875,-0.01448433018007226,0.19487832351761106,0.16740024249372173,-0.029081428762329976,0.0,0.009491924590193553,0.12876035096510244
2016-02,0.08931377038846865,0.007149961549552793,-0.0506055545628662,0.0,-0.02440771435998573,0.07719608065766587,0.0,-0.09278945216856244,-0.10126322441628538,-0.05178443823224304,0.16676791648819428,0.12642644502709977,-0.07996547808436667,0.0190416783245739,0.025526797272225475,0.08776148846790971
2016-03,0.047646929629743894,0.003154632069368774,-0.09191905524313777,0.0,-0.08647367671188662,0.04027190309767655,0.0,-0.005977023373669034,-0.06293653019374884,0.004536024546710124,0.19838939665275696,0.18274243931597434,0.006784566069377954,-0.15823178674568658,0.008847195837709652,0.10208884051255299
2016-04,0.05108526416600124,-0.00795339233497681,-0.08277224274810475,0.0,-0.09608460597200551,0.048011517896094195,0.0,-0.012171066148354453,-0.0634164782396476,0.009337042942778656,0.1771329400809092,0.17459853131529982,-0.005771281790474089,-0.16401045357260113,0.022505604562632505,0.08514957823011994
2016-05,0.04383454297060144,-0.026785203421715992,-0.11453756236273825,0.0,-0.08942339123461039,0.06582371203639603,0.0,-0.011315279456244831,-0.06596829634825538,0.01294939229228479,0.1729745995935552,0.16406922531620025,0.01077457058725813,-0.11560934885872323,0.00591642672424181,0.10001844879717416
