,Ann_Return,Ann_Vol,Sharpe,Max_Drawdown,Monthly_WinRate,Months,Avg_Turnover,Benchmark_Ann_Return,Excess_Ann_Return,Tracking_Error,Info_Ratio
equal,0.16973407492125592,0.22478911760506257,0.755081370173203,-0.28040751407514075,0.592,125.0,0.4115200000000002,0.03927727156080696,0.12548991052389047,0.1275288369602415,0.9840120361406048
ic,0.1824726312517122,0.21903952261558593,0.8330580210949027,-0.26694899952714823,0.608,125.0,0.3526400000000001,0.03927727156080696,0.13754134974445398,0.1174416515446863,1.171146249523916
icir,0.17367822255557952,0.21824555768152326,0.7957927043308757,-0.26652583849671085,0.6,125.0,0.3552000000000001,0.03927727156080696,0.1287225630977462,0.11843803318637122,1.0868346901302515
