,EP,BP,SP,MOM_12_1,REV_1M,ROE_TTM,GPM_change,VOL_20D,IVOL,TURN_1M,AMIHUD,SIZE,BETA_60D,ABTURN_1M,OCF_QUALITY,ASSET_GROWTH
2015-07,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
2015-08,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
2015-09,0.6582607205450582,0.02392675623491294,-0.01577979984804694,0.0,-0.09307985235809428,0.027586805226851176,0.0,-0.10206186140546075,-0.018482013030122948,-0.024146700198984513,0.010398742368055245,-0.0003270337462158812,-0.02594971503819719,0.0,0.0,0.0
2015-10,0.015416456147929702,0.03127124506864255,-0.09169110405326669,0.0,-0.12566026105385897,0.005076699093332855,0.0,-0.003782912443058547,0.0024977501687527505,0.004235132181167397,0.08509642947596054,0.06626017803563718,0.015027441524193766,0.0,0.17392663066419337,0.38005776009000575
2015-11,0.02980039995977942,0.02250373902488249,-0.11320744956428647,0.0,-0.022389138388968558,0.02641077930602238,0.0,0.00976758349236248,0.008230734755592209,0.03420895607732145,0.10907907564763454,0.09209058139275449,0.02612270403934264,0.0,0.18001368036253124,0.3261751779885215
2015-12,0.04354920851712003,0.0026742020897137595,-0.1309979986610552,0.0,-0.07368025752147683,0.022277610456589703,0.0,0.004611310850233953,-0.019054268976244956,0.04087285779312679,0.23205445653225923,0.19965876007683903,0.05334949102999074,0.0,0.04167188131802293,0.13554769617732684
2016-01,0.09947640025150806,0.027414724773175584,-0.06873148597355457,0.0,-0.08773432104675226,0.09048839333242069,0.0,-0.02996932563646085,-0.06377944236679282,-0.012378166720116266,0.14668320827101655,0.09576452926322389,-0.020637766652898137,0.0,0.09515290582134298,0.1617893298907375
2016-02,0.09544943839369686,0.013891747589033932,-0.06271440492874174,0.0,-0.031162198427282097,0.08505424903309819,0.0,-0.06284199181368445,-0.0874682840956483,-0.045953806973075606,0.13176347318680753,0.07596678474145784,-0.05805375874999522,0.0,0.1454780075507147,0.10420185451676359
2016-03,0.048967778789143775,0.006766296652615273,-0.1110118525695526,0.0,-0.09164732077671982,0.04360041971939514,0.0,-0.0036506861580822237,-0.05522336513349643,0.003822590122489729,0.17061327060550138,0.11546531459810472,0.004348277615211327,-0.17179768570826162,0.03765201709384395,0.13543312445758202
2016-04,0.04846234507620732,-0.015165271610627471,-0.09256803576679258,0.0,-0.09232948711156336,0.047670488288810646,0.0,-0.006880101331859585,-0.05148742901126821,0.007280968026387305,0.140759055272811,0.10215382176577181,-0.003411548776066202,-0.21488094194501245,0.07240531605738196,0.10454518995944016
2016-05,0.04412706510864036,-0.04884806256408152,-0.12579880955480607,0.0,-0.09078914487000608,0.06844298098100539,0.0,-0.006851920577579066,-0.05737423946229748,0.010811463755325674,0.14534627936728817,0.10134667385125051,0.00675400269201019,-0.1466619959406828,0.016116565985207536,0.1307307952898191
2016-06,0.058132111018936006,-0.06773592507739626,-0.12771304244120177,0.0,-0.07840217795007595,0.08300374368179486,0.0,0.006461548800152973,-0.03379845126846112,0.025001052596371854,0.13155776522081047,0.10200772656922988,0.0157407300144921,-0.12056480024609857,-0.012587196381073982,0.1372937287339042
2016-07,0.08021005644195953,-0.015159116735755459,-0.07425266310703033,0.0,-0.10974347559523166,0.09021892105576185,0.0,-0.025730380128559514,-0.06970977361502768,-0.011326889816670464,0.11413588322005497,0.08392612716724318,-0.005234646913596338,-0.17387317924588958,0.019979675300053755,0.12649921165716574
2016-08,0.06757987528138572,-0.035252023353614964,-0.06949035589715742,0.0,-0.12250376157090588,0.0676591567432509,0.0,-0.011027581606942755,-0.050426614945537865,0.00964405531471679,0.1483003283799576,0.10659235110973034,0.003973397638896375,-0.16940888397457643,0.04945650274447319,0.08868511143885381
2016-09,0.0196902565336541,-0.009705601694020181,-0.01732536151061353,-0.09702299461655749,-0.04106447165555204,0.01781198543761987,-0.6059870806474926,-0.005714148779781409,-0.025092654747838682,-0.004204814267772975,0.04799536413686394,0.03206980702966182,0.002118063103822374,-0.04164739067548045,0.021181917620467047,0.011368087542801567
2016-10,0.08106083585877555,-0.010275136770560444,-0.029831730997044236,-0.015252424826940376,-0.11287522719010006,0.059771011704332355,0.08090166884055838,-0.05021318367197408,-0.12664649127478722,-0.03038760197856076,0.11609883943157925,0.0748321047148523,-0.0017130800676830925,-0.14644066004330938,0.05227649482901518,0.01142350779992715
2016-11,0.052447903497841515,0.03346184550009699,0.022557736840078408,-0.11364688870623213,-0.146156017403111,0.019855372199312795,-0.0015267965343253264,-0.07553273522484588,-0.15344570761362936,-0.07259419752497744,0.058514565891502966,0.020640136847897044,-0.0032738878417341083,-0.09023618340348104,0.08231129035009946,-0.053798734620834496
2016-12,0.05816889916825741,0.04945667789337391,0.018841961658496206,-0.10961077547915284,-0.13543005770374755,0.013548608374567735,-0.04481958185697985,-0.07379756013407815,-0.1364446075146072,-0.07955677751234504,0.056397868262360956,-0.0005621280785021584,-0.021286287167771995,-0.07401493648093772,0.08909073475918554,-0.03897253795563577
2017-01,0.04205232478842604,0.06799809160395016,0.03112496265956597,-0.06134832312786683,-0.1449731231611493,-0.025709602568178485,-0.03339450969683516,-0.08228021361507608,-0.1504426620268512,-0.08568908825493769,0.04252368843528691,-0.0006691816021903614,0.00325490046175193,-0.04445373841415579,0.12003725264678315,-0.0640483369369949
2017-02,0.0298409291760189,0.04430118145258385,0.01412021682294544,-0.08592190077949156,-0.2321646634306652,-0.03724114928808883,-0.03506719581378933,-0.043298214999521724,-0.09936202072784618,-0.044681608168144954,0.07313096045329431,0.039719458332088814,0.03014073226707948,-0.06293533516810254,0.08839163568202674,-0.03968279743831211
